Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Isaac Dunn,,MF,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
James Edmondson,eng ENG,MF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Joe Hilton,eng ENG,GK,24.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Matty Litherland,,DF,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Dilan Markanday,eng ENG,"FW,MF",22.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Nicholas Michalski,eng ENG,GK,17.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Harley O'Grady-Macken,eng ENG,MF,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Brandon Powell,eng ENG,MF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Jack Vale,wls WAL,FW,23.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Frank Vare,eng ENG,MF,16.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Opponent Total,,,25.7,46,506,4140.0,46.0,48.0,34.0,82.0,45.0,3.0,4.0,84.0,3.0,53.8,50.5,39.4,89.8,742.0,1652.0,1630.0,1.04,0.74,1.78,0.98,1.72,1.17,0.86,2.02,1.1,1.95,
Casper de Norre,be BEL,MF,27.0,46,44,3606.0,40.1,3.0,4.0,7.0,3.0,0.0,0.0,5.0,0.0,2.2,2.2,2.7,4.9,23.0,187.0,45.0,0.07,0.1,0.17,0.07,0.17,0.06,0.07,0.12,0.06,0.12,Matches
Lukas Jensen,dk DEN,GK,25.0,41,41,3689.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Japhet Tanganga,eng ENG,DF,25.0,40,40,3552.0,39.5,2.0,0.0,2.0,2.0,0.0,0.0,6.0,0.0,2.5,2.5,0.6,3.1,15.0,83.0,14.0,0.05,0.0,0.05,0.05,0.05,0.06,0.01,0.08,0.06,0.08,Matches
Joe Bryan,eng ENG,DF,30.0,39,37,3275.0,36.4,1.0,1.0,2.0,1.0,0.0,0.0,8.0,0.0,1.3,1.3,3.8,5.2,33.0,165.0,73.0,0.03,0.03,0.05,0.03,0.05,0.04,0.11,0.14,0.04,0.14,Matches
George Saville,nir NIR,MF,31.0,45,36,3300.0,36.7,1.0,3.0,4.0,1.0,0.0,0.0,8.0,0.0,2.8,2.8,3.5,6.2,22.0,124.0,43.0,0.03,0.08,0.11,0.03,0.11,0.08,0.09,0.17,0.08,0.17,Matches
Jake Cooper,eng ENG,DF,29.0,36,36,3195.0,35.5,3.0,1.0,4.0,3.0,0.0,0.0,4.0,0.0,2.7,2.7,0.5,3.2,6.0,67.0,15.0,0.08,0.03,0.11,0.08,0.11,0.08,0.02,0.09,0.08,0.09,Matches
Ryan Leonard,eng ENG,DF,32.0,33,29,2631.0,29.2,0.0,1.0,1.0,0.0,0.0,0.0,8.0,0.0,0.9,0.9,2.2,3.1,32.0,120.0,68.0,0.0,0.03,0.03,0.0,0.03,0.03,0.08,0.11,0.03,0.11,Matches
George Honeyman,eng ENG,"MF,FW",29.0,40,28,2422.0,26.9,2.0,5.0,7.0,2.0,0.0,0.0,7.0,0.0,3.7,3.7,4.5,8.2,17.0,70.0,117.0,0.07,0.19,0.26,0.07,0.26,0.14,0.17,0.3,0.14,0.3,Matches
Romain Esse,eng ENG,"FW,MF",19.0,24,24,2018.0,22.4,4.0,1.0,5.0,4.0,0.0,0.0,4.0,0.0,2.2,2.2,4.4,6.6,37.0,73.0,121.0,0.18,0.04,0.22,0.18,0.22,0.1,0.2,0.29,0.1,0.29,Matches
Mihailo Ivanović,rs SRB,"FW,MF",19.0,37,23,2176.0,24.2,12.0,0.0,12.0,11.0,1.0,1.0,2.0,0.0,8.5,7.7,1.3,9.0,10.0,40.0,107.0,0.5,0.0,0.5,0.45,0.45,0.35,0.05,0.4,0.32,0.37,Matches
Femi Azeez,eng ENG,FW,23.0,34,21,1906.0,21.2,2.0,5.0,7.0,2.0,0.0,0.0,4.0,0.0,4.8,4.8,2.2,6.9,81.0,61.0,161.0,0.09,0.24,0.33,0.09,0.33,0.23,0.1,0.33,0.23,0.33,Matches
Duncan Watmore,eng ENG,"FW,MF",30.0,26,19,1578.0,17.5,5.0,1.0,6.0,5.0,0.0,0.0,0.0,0.0,3.6,3.6,2.5,6.0,35.0,36.0,99.0,0.29,0.06,0.34,0.29,0.34,0.2,0.14,0.34,0.2,0.34,Matches
Tristan Crama,fr FRA,DF,22.0,20,18,1634.0,18.2,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.9,0.9,2.6,3.6,25.0,44.0,69.0,0.0,0.11,0.11,0.0,0.11,0.05,0.14,0.2,0.05,0.2,Matches
Macaulay Langstaff,eng ENG,FW,27.0,34,14,1388.0,15.4,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,3.9,3.9,1.6,5.5,21.0,15.0,70.0,0.06,0.13,0.19,0.06,0.19,0.25,0.1,0.35,0.25,0.35,Matches
Josh Coburn,eng ENG,FW,21.0,20,14,1218.0,13.5,5.0,0.0,5.0,5.0,0.0,1.0,0.0,0.0,6.2,5.4,1.3,6.7,10.0,7.0,51.0,0.37,0.0,0.37,0.37,0.37,0.46,0.1,0.55,0.4,0.5,Matches
Luke Cundle,eng ENG,"MF,FW",22.0,16,13,985.0,10.9,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.8,0.8,0.3,1.1,7.0,41.0,41.0,0.09,0.0,0.09,0.09,0.09,0.07,0.03,0.1,0.07,0.1,Matches
Billy Mitchell,eng ENG,MF,24.0,19,9,891.0,9.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.2,0.4,10.0,45.0,7.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.04,0.01,0.04,Matches
Murray Wallace,sct SCO,DF,31.0,11,8,733.0,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.3,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,Matches
Dan McNamara,ie IRL,DF,25.0,13,7,683.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3,0.3,4.0,34.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches
Raees Bangura-Williams,,"FW,MF",,10,7,608.0,6.8,0.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,1.1,1.1,0.5,1.5,8.0,17.0,26.0,0.0,0.44,0.44,0.0,0.44,0.16,0.07,0.23,0.16,0.23,Matches
Aidomo Emakhu,ie IRL,"FW,MF",20.0,25,6,696.0,7.7,0.0,2.0,2.0,0.0,0.0,0.0,3.0,1.0,0.9,0.9,1.1,2.0,37.0,14.0,60.0,0.0,0.26,0.26,0.0,0.26,0.12,0.14,0.26,0.12,0.26,Matches
Aaron Connolly,ie IRL,"FW,MF",24.0,14,6,659.0,7.3,1.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,1.6,0.8,1.0,1.8,13.0,16.0,43.0,0.14,0.0,0.14,0.14,0.14,0.22,0.14,0.35,0.11,0.25,Matches
Tom Bradshaw,wls WAL,FW,32.0,11,4,450.0,5.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.4,1.6,0.0,1.6,2.0,2.0,17.0,0.2,0.0,0.2,0.0,0.0,0.48,0.0,0.48,0.32,0.32,Matches
Shaun Hutchinson,eng ENG,DF,33.0,9,4,396.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,1.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches
George Evans,eng ENG,GK,19.0,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ryan Wintle,eng ENG,MF,27.0,22,3,513.0,5.7,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.3,0.3,0.3,0.6,1.0,18.0,10.0,0.18,0.0,0.18,0.18,0.18,0.05,0.06,0.11,0.05,0.11,Matches
Zak Sturge,eng ENG,DF,20.0,5,3,303.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches
Calum Scanlon,eng ENG,"FW,DF",19.0,4,3,167.0,1.9,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,5.0,3.0,4.0,0.54,0.0,0.54,0.54,0.54,0.12,0.0,0.12,0.12,0.12,Matches
Wes Harding,jm JAM,DF,27.0,5,2,193.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Camiel Neghli,nl NED,"FW,MF",22.0,4,2,193.0,2.1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8,0.8,0.1,0.9,5.0,7.0,11.0,0.47,0.0,0.47,0.47,0.47,0.36,0.06,0.42,0.36,0.42,Matches
