Squad,Player,Rk,Nation,Pos,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,PlSqu
St. Pauli,Maurides,1679,br BRA,FW,de Bundesliga,30,1994,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,MauridesSt. Pauli
Leicester City,Stephy Mavididi,1680,eng ENG,FW,eng Premier League,26,1998,17.9,4,26,7,26.9,1.45,0.39,0.15,0.57,16.1,1,0,0,1.8,1.8,0.07,+2.2,+2.2,Stephy MavididiLeicester City
West Ham,Konstantinos Mavropanos,1681,gr GRE,DF,eng Premier League,26,1997,22.7,0,18,5,27.8,0.79,0.22,0.00,0.00,14.8,0,0,0,1.5,1.5,0.09,-1.5,-1.5,Konstantinos MavropanosWest Ham
Monaco,Christian Mawissa,1682,fr FRA,DF,fr Ligue 1,19,2005,16.7,0,1,1,100.0,0.06,0.06,0.00,0.00,13.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Christian MawissaMonaco
Werder Bremen,Keke Maximilian Topp,1683,de GER,"FW,MF",de Bundesliga,20,2004,2.8,2,7,4,57.1,2.50,1.43,0.29,0.50,12.9,0,0,0,1.0,1.0,0.14,+1.0,+1.0,Keke Maximilian ToppWerder Bremen
Getafe,Borja Mayoral,1684,es ESP,FW,es La Liga,27,1997,12.4,5,19,8,42.1,1.54,0.65,0.21,0.50,13.9,0,1,1,3.4,2.6,0.14,+1.6,+1.4,Borja MayoralGetafe
Paris S-G,Senny Mayulu,1685,fr FRA,MF,fr Ligue 1,18,2006,9.0,2,25,8,32.0,2.78,0.89,0.08,0.25,15.9,0,0,0,2.9,2.9,0.12,-0.9,-0.9,Senny MayuluParis S-G
Manchester Utd,Noussair Mazraoui,1686,ma MAR,DF,eng Premier League,26,1997,31.5,0,13,3,23.1,0.41,0.10,0.00,0.00,20.6,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Noussair MazraouiManchester Utd
Monza,Andrea Mazza,1687,it ITA,GK,it Serie A,20,2004,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Andrea MazzaMonza
Como,Luca Mazzitelli,1688,it ITA,MF,it Serie A,28,1995,3.7,1,7,3,42.9,1.88,0.81,0.14,0.33,17.5,0,0,0,0.2,0.2,0.03,+0.8,+0.8,Luca MazzitelliComo
Napoli,Pasquale Mazzocchi,1689,it ITA,"DF,FW",it Serie A,29,1995,7.8,0,3,1,33.3,0.38,0.13,0.00,0.00,13.4,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Pasquale MazzocchiNapoli
Juventus,Samuel Mbangula,1690,be BEL,FW,it Serie A,20,2004,7.9,3,9,5,55.6,1.14,0.63,0.33,0.60,18.7,0,0,0,0.6,0.6,0.07,+2.4,+2.4,Samuel MbangulaJuventus
Lille,Ethan Mbappe,1691,fr FRA,"MF,FW",fr Ligue 1,17,2006,2.5,0,11,4,36.4,4.46,1.62,0.00,0.00,18.1,0,0,0,1.1,1.1,0.10,-1.1,-1.1,Ethan MbappeLille
Real Madrid,Kylian Mbappe,1692,fr FRA,FW,es La Liga,25,1998,32.3,31,152,75,49.3,4.71,2.32,0.16,0.32,17.3,3,7,9,25.9,18.6,0.12,+5.1,+5.4,Kylian MbappeReal Madrid
Paris S-G,Ibrahim Mbaye,1693,fr FRA,"FW,MF",fr Ligue 1,16,2008,3.8,1,12,7,58.3,3.18,1.85,0.08,0.14,14.4,0,0,0,1.8,1.8,0.15,-0.8,-0.8,Ibrahim MbayeParis S-G
Brentford,Bryan Mbeumo,1694,cm CMR,FW,eng Premier League,24,1999,37.9,20,79,34,43.0,2.08,0.90,0.19,0.44,17.9,6,5,6,12.3,7.5,0.10,+7.7,+7.5,Bryan MbeumoBrentford
Manchester City,James Mcatee,1695,eng ENG,"MF,FW",eng Premier League,21,2002,3.9,3,12,4,33.3,3.09,1.03,0.25,0.75,14.3,0,0,0,2.8,2.8,0.23,+0.2,+0.2,James McateeManchester City
Leicester City,Kasey McAteer,1696,ie IRL,FW,eng Premier League,22,2001,9.5,1,13,7,53.8,1.37,0.74,0.08,0.14,16.4,0,0,0,1.0,1.0,0.08,0.0,0.0,Kasey McAteerLeicester City
Las Palmas,Oliver McBurnie,1697,sct SCO,FW,es La Liga,28,1996,20.4,3,32,12,37.5,1.57,0.59,0.09,0.25,12.3,0,0,0,4.8,4.8,0.15,-1.8,-1.8,Oliver McBurnieLas Palmas
Southampton,Alex McCarthy,1698,eng ENG,GK,eng Premier League,34,1989,5.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Alex McCarthySouthampton
Aston Villa,John McGinn,1699,sct SCO,"MF,FW",eng Premier League,29,1994,24.7,1,31,5,16.1,1.26,0.20,0.03,0.20,17.0,1,0,0,3.1,2.8,0.09,-2.1,-1.8,John McGinnAston Villa
Las Palmas,Scott McKenna,1700,sct SCO,DF,es La Liga,27,1996,27.4,0,10,0,0.0,0.36,0.00,0.00,,12.5,0,0,0,1.1,1.1,0.11,-1.1,-1.1,Scott McKennaLas Palmas
Juventus,Weston McKennie,1701,us USA,"MF,DF",it Serie A,25,1998,25.7,2,22,8,36.4,0.86,0.31,0.09,0.25,12.6,0,0,0,2.9,2.9,0.13,-0.9,-0.9,Weston McKennieJuventus
Toulouse,Mark McKenzie,1702,us USA,DF,fr Ligue 1,25,1999,27.7,1,8,2,25.0,0.29,0.07,0.13,0.50,11.2,0,0,0,1.4,1.4,0.17,-0.4,-0.4,Mark McKenzieToulouse
Everton,Dwight McNeil,1703,eng ENG,"MF,FW",eng Premier League,24,1999,15.2,4,25,10,40.0,1.64,0.66,0.16,0.40,21.9,0,0,0,1.1,1.1,0.04,+2.9,+2.9,Dwight McNeilEverton
Manchester Utd,Scott McTominay,1704,sct SCO,MF,eng Premier League,27,1996,0.2,0,1,0,0.0,4.74,0.00,0.00,,10.7,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Scott McTominayManchester Utd
Napoli,Scott McTominay,1705,sct SCO,MF,it Serie A,27,1996,32.6,12,76,33,43.4,2.33,1.01,0.16,0.36,15.3,2,0,0,7.4,7.4,0.10,+4.6,+4.6,Scott McTominayNapoli
Bochum,Jakov Medic,1706,hr CRO,DF,de Bundesliga,25,1998,17.8,1,14,3,21.4,0.79,0.17,0.07,0.33,14.6,0,0,0,0.9,0.9,0.06,+0.1,+0.1,Jakov MedicBochum
Lens,Facundo Medina,1707,ar ARG,DF,fr Ligue 1,25,1999,28.3,0,27,3,11.1,0.96,0.11,0.00,0.00,18.3,0,0,0,1.8,1.8,0.07,-1.8,-1.8,Facundo MedinaLens
Brentford,Ben Mee,1708,eng ENG,DF,eng Premier League,34,1989,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Ben MeeBrentford
Brentford,Jayden Meghoma,1709,eng ENG,DF,eng Premier League,18,2006,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Jayden MeghomaBrentford
Rennes,Henrik Meister,1710,dk DEN,FW,fr Ligue 1,20,2003,0.7,1,2,1,50.0,2.86,1.43,0.50,1.00,17.4,0,0,0,0.1,0.1,0.03,+0.9,+0.9,Henrik MeisterRennes
Montpellier,Bamo Meite,1711,ci CIV,DF,fr Ligue 1,22,2001,4.7,0,1,0,0.0,0.21,0.00,0.00,,13.1,0,0,0,0.0,0.0,0.02,0.0,0.0,Bamo MeiteMontpellier
Marseille,Bamo Meite,1712,ci CIV,DF,fr Ligue 1,22,2001,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Bamo MeiteMarseille
Rennes,Mohamed Meite,1713,fr FRA,FW,fr Ligue 1,16,2007,6.0,2,15,5,33.3,2.48,0.83,0.13,0.40,10.8,0,0,0,2.5,2.5,0.16,-0.5,-0.5,Mohamed MeiteRennes
Sevilla,Mateo Mejia,1714,es ESP,FW,es La Liga,21,2003,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Mateo MejiaSevilla
Angers,Farid El Melali,1715,dz ALG,FW,fr Ligue 1,27,1997,21.0,2,46,14,30.4,2.19,0.67,0.04,0.14,21.9,7,0,0,3.6,3.6,0.08,-1.6,-1.6,Farid El MelaliAngers
Genoa,Filippo Melegoni,1716,it ITA,"MF,FW",it Serie A,25,1999,1.0,0,1,0,0.0,1.01,0.00,0.00,,21.4,0,0,0,0.0,0.0,0.04,0.0,0.0,Filippo MelegoniGenoa
Girona,Arthur Melo,1717,br BRA,MF,es La Liga,27,1996,10.5,0,6,1,16.7,0.57,0.10,0.00,0.00,26.0,1,0,0,0.2,0.2,0.03,-0.2,-0.2,Arthur MeloGirona
Paris S-G,Nuno Mendes,1718,pt POR,DF,fr Ligue 1,22,2002,18.6,1,21,9,42.9,1.13,0.48,0.05,0.11,20.2,1,0,0,2.2,2.2,0.10,-1.2,-1.2,Nuno MendesParis S-G
Real Sociedad,Brais Mendez,1719,es ESP,MF,es La Liga,27,1997,17.0,3,28,9,32.1,1.65,0.53,0.11,0.33,18.0,4,0,0,3.5,3.5,0.13,-0.5,-0.5,Brais MendezReal Sociedad
Nice,Antoine Mendy,1720,sn SEN,DF,fr Ligue 1,20,2004,9.2,0,9,1,11.1,0.98,0.11,0.00,0.00,14.4,0,0,0,0.6,0.6,0.07,-0.6,-0.6,Antoine MendyNice
Real Madrid,Ferland Mendy,1721,fr FRA,DF,es La Liga,29,1995,11.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Ferland MendyReal Madrid
Lens,Nampalys Mendy,1722,sn SEN,MF,fr Ligue 1,32,1992,6.5,0,3,0,0.0,0.46,0.00,0.00,,23.5,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Nampalys MendyLens
Betis,Nobel Mendy,1723,fr FRA,DF,es La Liga,19,2004,1.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Nobel MendyBetis
Auxerre,Gideon Mensah,1724,gh GHA,DF,fr Ligue 1,26,1998,25.3,0,4,1,25.0,0.16,0.04,0.00,0.00,21.9,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Gideon MensahAuxerre
Napoli,Alex Meret,1725,it ITA,GK,it Serie A,27,1997,33.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Alex MeretNapoli
Arsenal,Mikel Merino,1726,es ESP,"MF,FW",eng Premier League,28,1996,17.6,7,38,13,34.2,2.16,0.74,0.18,0.54,10.7,0,0,0,5.9,5.9,0.16,+1.1,+1.1,Mikel MerinoArsenal
Marseille,Quentin Merlin,1727,fr FRA,DF,fr Ligue 1,22,2002,17.7,1,26,9,34.6,1.47,0.51,0.04,0.11,16.9,0,0,0,2.1,2.1,0.08,-1.1,-1.1,Quentin MerlinMarseille
Valladolid,Victor Meseguer,1728,es ESP,MF,es La Liga,25,1999,4.6,0,6,0,0.0,1.29,0.00,0.00,,19.6,0,0,0,0.7,0.7,0.11,-0.7,-0.7,Victor MeseguerValladolid
Toulouse,Rafik Messali,1729,fr FRA,DF,fr Ligue 1,21,2003,5.1,0,4,0,0.0,0.79,0.00,0.00,,15.1,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Rafik MessaliToulouse
Genoa,Junior Messias,1730,br BRA,"MF,FW",it Serie A,33,1991,9.4,1,17,5,29.4,1.81,0.53,0.06,0.20,21.0,1,0,1,2.4,1.4,0.08,-1.4,-0.4,Junior MessiasGenoa
St. Pauli,Connor Metcalfe,1731,au AUS,"MF,FW",de Bundesliga,24,1999,4.0,0,6,3,50.0,1.51,0.75,0.00,0.00,22.2,0,0,0,0.7,0.7,0.12,-0.7,-0.7,Connor MetcalfeSt. Pauli
St. Pauli,Karol Mets,1732,ee EST,DF,de Bundesliga,31,1993,10.0,0,3,0,0.0,0.30,0.00,0.00,,14.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Karol MetsSt. Pauli
Lille,Thomas Meunier,1733,be BEL,DF,fr Ligue 1,32,1991,21.4,2,28,11,39.3,1.31,0.51,0.07,0.18,16.6,0,0,0,1.9,1.9,0.07,+0.1,+0.1,Thomas MeunierLille
Dortmund,Alexander Meyer,1734,de GER,GK,de Bundesliga,33,1991,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Alexander MeyerDortmund
Chelsea,Shumaira Mheuka,1735,eng ENG,MF,eng Premier League,16,2007,0.0,0,1,1,100.0,90.00,90.00,0.00,0.00,7.2,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Shumaira MheukaChelsea
Monaco,Lucas Michal,1736,fr FRA,"FW,MF",fr Ligue 1,19,2005,1.3,0,3,1,33.3,2.31,0.77,0.00,0.00,12.5,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Lucas MichalMonaco
Hoffenheim,Florian Micheler,1737,at AUT,MF,de Bundesliga,19,2005,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Florian MichelerHoffenheim
Leganes,Miguel,1738,es ESP,FW,es La Liga,24,1999,19.2,1,33,14,42.4,1.72,0.73,0.00,0.00,15.5,0,1,2,4.9,3.3,0.10,-3.9,-3.3,MiguelLeganes
Parma,Valentin Mihaila,1739,ro ROU,"FW,MF",it Serie A,24,2000,14.3,0,31,11,35.5,2.17,0.77,0.00,0.00,22.1,5,0,0,2.4,2.4,0.08,-2.4,-2.4,Valentin MihailaParma
Lyon,Georges Mikautadze,1740,ge GEO,FW,fr Ligue 1,23,2000,16.1,11,52,22,42.3,3.23,1.37,0.15,0.36,14.1,0,3,4,10.3,7.0,0.14,+0.7,+1.0,Georges MikautadzeLyon
Saint-Etienne,Igor Miladinovic,1741,rs SRB,"FW,MF",fr Ligue 1,21,2003,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Igor MiladinovicSaint-Etienne
Nott'ham Forest,Nikola Milenkovic,1742,rs SRB,DF,eng Premier League,26,1997,37.0,5,29,8,27.6,0.78,0.22,0.17,0.63,11.6,0,0,0,4.0,4.0,0.14,+1.0,+1.0,Nikola MilenkovicNott'ham Forest
Newcastle Utd,Lewis Miley,1743,eng ENG,MF,eng Premier League,18,2006,3.5,1,3,2,66.7,0.86,0.58,0.33,0.50,14.6,0,0,0,0.5,0.5,0.18,+0.5,+0.5,Lewis MileyNewcastle Utd
Torino,Vanja Milinkovic-Savic,1744,rs SRB,GK,it Serie A,27,1997,37.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Vanja Milinkovic-SavicTorino
Real Madrid,Eder Militao,1745,br BRA,DF,es La Liga,26,1998,10.4,1,10,3,30.0,0.96,0.29,0.10,0.33,17.3,0,0,0,0.6,0.6,0.06,+0.4,+0.4,Eder MilitaoReal Madrid
Getafe,Luis Milla,1746,es ESP,MF,es La Liga,29,1994,31.9,1,31,7,22.6,0.97,0.22,0.00,0.00,25.3,4,1,1,1.8,1.0,0.03,-0.8,-1.0,Luis MillaGetafe
Espanyol,Pere Milla,1747,es ESP,"MF,FW",es La Liga,31,1992,5.1,3,11,5,45.5,2.17,0.99,0.27,0.60,15.7,1,0,0,1.5,1.5,0.13,+1.5,+1.5,Pere MillaEspanyol
Stuttgart,Enzo Millot,1748,fr FRA,"MF,FW",de Bundesliga,22,2002,20.5,6,43,17,39.5,2.10,0.83,0.14,0.35,16.6,0,0,1,7.6,6.7,0.16,-1.6,-0.7,Enzo MillotStuttgart
Brighton,James Milner,1749,eng ENG,MF,eng Premier League,38,1986,1.9,0,2,0,0.0,1.06,0.00,0.00,,16.0,0,0,0,0.2,0.2,0.08,-0.2,-0.2,James MilnerBrighton
Bayern Munich,Kim Min-jae,1750,kr KOR,DF,de Bundesliga,27,1996,25.4,2,7,5,71.4,0.28,0.20,0.29,0.40,6.0,0,0,0,1.6,1.6,0.23,+0.4,+0.4,Kim Min-jaeBayern Munich
Cagliari,Yerry Mina,1751,co COL,DF,it Serie A,29,1994,28.5,1,26,8,30.8,0.91,0.28,0.04,0.13,11.2,0,0,0,2.3,2.3,0.09,-1.3,-1.3,Yerry MinaCagliari
Monaco,Takumi Minamino,1752,jp JPN,"MF,FW",fr Ligue 1,29,1995,24.8,6,57,20,35.1,2.30,0.81,0.11,0.30,14.7,0,0,0,8.9,8.9,0.16,-2.9,-2.9,Takumi MinaminoMonaco
Montpellier,Lucas Mincarelli,1753,fr FRA,DF,fr Ligue 1,20,2004,7.9,1,7,2,28.6,0.88,0.25,0.14,0.50,15.3,0,0,0,0.6,0.6,0.09,+0.4,+0.4,Lucas MincarelliMontpellier
Aston Villa,Tyrone Mings,1754,eng ENG,DF,eng Premier League,31,1993,12.4,0,9,1,11.1,0.72,0.08,0.00,0.00,11.8,0,0,0,0.8,0.8,0.09,-0.8,-0.8,Tyrone MingsAston Villa
Celta Vigo,Oscar Mingueza,1755,es ESP,"MF,DF",es La Liga,25,1999,30.3,4,33,10,30.3,1.09,0.33,0.12,0.40,23.3,8,0,0,1.5,1.5,0.04,+2.5,+2.5,Oscar MinguezaCelta Vigo
Girona,Kim Minsu,1756,kr KOR,"MF,FW",es La Liga,18,2006,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Kim MinsuGirona
Brighton,Yankuba Minteh,1757,gm GAM,"FW,MF",eng Premier League,20,2004,20.4,6,34,16,47.1,1.66,0.78,0.18,0.38,13.8,0,0,0,4.1,4.1,0.12,+1.9,+1.9,Yankuba MintehBrighton
Girona,Bojan Miovski,1758,mk MKD,FW,es La Liga,25,1999,9.7,2,14,4,28.6,1.45,0.41,0.14,0.50,12.3,0,0,0,2.7,2.7,0.19,-0.7,-0.7,Bojan MiovskiGirona
Valencia,Rafa Mir,1759,es ESP,"FW,MF",es La Liga,27,1997,8.4,1,27,7,25.9,3.23,0.84,0.04,0.14,16.5,0,0,0,3.0,3.0,0.11,-2.0,-2.0,Rafa MirValencia
Bologna,Juan Miranda,1760,es ESP,DF,it Serie A,24,2000,25.3,0,22,5,22.7,0.87,0.20,0.00,0.00,26.1,6,0,0,0.7,0.7,0.03,-0.7,-0.7,Juan MirandaBologna
Genoa,Fabio Miretti,1761,it ITA,"MF,FW",it Serie A,20,2003,18.6,3,24,6,25.0,1.29,0.32,0.13,0.50,17.4,1,0,0,3.1,3.1,0.13,-0.1,-0.1,Fabio MirettiGenoa
Crystal Palace,Tyrick Mitchell,1762,eng ENG,DF,eng Premier League,24,1999,34.4,0,12,3,25.0,0.35,0.09,0.00,0.00,12.8,0,0,0,1.3,1.3,0.11,-1.3,-1.3,Tyrick MitchellCrystal Palace
Brighton,Kaoru Mitoma,1763,jp JPN,"FW,MF",eng Premier League,27,1997,28.9,10,57,27,47.4,1.97,0.93,0.18,0.37,13.9,0,0,0,9.2,9.2,0.16,+0.8,+0.8,Kaoru MitomaBrighton
Stuttgart,Maximilian Mittelstadt,1764,de GER,DF,de Bundesliga,27,1997,27.4,1,21,4,19.0,0.77,0.15,0.05,0.25,23.6,0,0,0,0.9,0.9,0.04,+0.1,+0.1,Maximilian MittelstadtStuttgart
Bochum,Koji Miyoshi,1765,jp JPN,"FW,MF",de Bundesliga,27,1997,5.2,1,12,5,41.7,2.33,0.97,0.08,0.20,21.1,0,0,0,1.1,1.1,0.09,-0.1,-0.1,Koji MiyoshiBochum
Inter,Henrikh Mkhitaryan,1766,am ARM,MF,it Serie A,35,1989,26.6,1,23,2,8.7,0.86,0.08,0.04,0.50,21.0,0,0,0,1.5,1.5,0.07,-0.5,-0.5,Henrikh MkhitaryanInter
Brighton,Jakub Moder,1767,pl POL,MF,eng Premier League,25,1999,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Jakub ModerBrighton
Udinese,Rui Modesto,1768,ao ANG,"DF,MF",it Serie A,24,1999,6.8,0,3,2,66.7,0.44,0.30,0.00,0.00,17.4,0,0,0,0.5,0.5,0.17,-0.5,-0.5,Rui ModestoUdinese
Real Madrid,Luka Modric,1769,hr CRO,MF,es La Liga,38,1985,20.3,2,22,6,27.3,1.08,0.30,0.09,0.33,23.1,1,0,0,1.6,1.6,0.07,+0.4,+0.4,Luka ModricReal Madrid
Hoffenheim,Max Moerstedt,1770,de GER,FW,de Bundesliga,,,5.0,0,12,4,33.3,2.39,0.80,0.00,0.00,12.2,0,0,0,0.8,0.8,0.06,-0.8,-0.8,Max MoerstedtHoffenheim
Nice,Terem Moffi,1771,ng NGA,FW,fr Ligue 1,25,1999,0.6,1,6,4,66.7,9.31,6.21,0.17,0.25,9.2,0,0,0,2.3,2.3,0.46,-1.3,-1.3,Terem MoffiNice
Nantes,Mostafa Mohamed,1772,eg EGY,FW,fr Ligue 1,26,1997,13.9,5,43,16,37.2,3.09,1.15,0.12,0.31,13.7,2,0,0,5.5,5.5,0.13,-0.5,-0.5,Mostafa MohamedNantes
Mallorca,Johan Mojica,1773,co COL,DF,es La Liga,31,1992,30.6,1,17,3,17.6,0.56,0.10,0.06,0.33,24.2,4,0,0,0.9,0.9,0.05,+0.1,+0.1,Johan MojicaMallorca
Hoffenheim,David Mokwa,1774,fr FRA,"DF,FW",de Bundesliga,20,2004,0.2,0,2,2,100.0,8.18,8.18,0.00,0.00,5.4,0,0,0,0.3,0.3,0.15,-0.3,-0.3,David MokwaHoffenheim
Las Palmas,Alberto Moleiro,1775,es ESP,"FW,MF",es La Liga,20,2003,30.2,6,68,24,35.3,2.25,0.80,0.09,0.25,19.0,0,0,0,5.6,5.6,0.08,+0.4,+0.4,Alberto MoleiroLas Palmas
Atletico Madrid,Nahuel Molina,1776,ar ARG,DF,es La Liga,26,1998,17.7,0,9,1,11.1,0.51,0.06,0.00,0.00,19.4,0,0,0,0.8,0.8,0.09,-0.8,-0.8,Nahuel MolinaAtletico Madrid
Nantes,Florent Mollet,1777,fr FRA,"MF,FW",fr Ligue 1,32,1991,2.7,0,6,2,33.3,2.23,0.74,0.00,0.00,15.6,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Florent MolletNantes
Osasuna,Jon Moncayola,1778,es ESP,MF,es La Liga,26,1998,23.3,0,21,9,42.9,0.90,0.39,0.00,0.00,17.9,0,0,0,1.6,1.6,0.08,-1.6,-1.6,Jon MoncayolaOsasuna
Leicester City,Jeremy Monga,1779,,"FW,MF",eng Premier League,,,1.2,0,3,1,33.3,2.41,0.80,0.00,0.00,19.8,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Jeremy MongaLeicester City
Sevilla,Gonzalo Montiel,1780,ar ARG,"DF,MF",es La Liga,27,1997,1.3,0,1,0,0.0,0.80,0.00,0.00,,14.7,0,0,0,0.0,0.0,0.03,0.0,0.0,Gonzalo MontielSevilla
Hellas Verona,Lorenzo Montipo,1781,it ITA,GK,it Serie A,28,1996,36.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Lorenzo MontipoHellas Verona
Tottenham,Mikey Moore,1782,eng ENG,FW,eng Premier League,16,2007,4.1,0,3,0,0.0,0.74,0.00,0.00,,19.5,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Mikey MooreTottenham
Milan,Alvaro Morata,1783,es ESP,"FW,MF",it Serie A,31,1992,12.2,5,27,10,37.0,2.21,0.82,0.19,0.50,11.3,0,0,0,3.9,3.9,0.15,+1.1,+1.1,Alvaro MorataMilan
Nott'ham Forest,Morato,1784,br BRA,DF,eng Premier League,23,2001,10.1,0,2,1,50.0,0.20,0.10,0.00,0.00,8.6,0,0,0,0.2,0.2,0.09,-0.2,-0.2,MoratoNott'ham Forest
Strasbourg,Diego Moreira,1785,pt POR,"DF,MF",fr Ligue 1,19,2004,28.5,2,25,8,32.0,0.88,0.28,0.08,0.25,16.0,1,0,0,2.0,2.0,0.08,0.0,0.0,Diego MoreiraStrasbourg
Como,Alberto Moreno,1786,es ESP,DF,it Serie A,32,1992,19.2,0,14,6,42.9,0.73,0.31,0.00,0.00,25.6,0,0,0,0.4,0.4,0.03,-0.4,-0.4,Alberto MorenoComo
Nott'ham Forest,Alex Moreno,1787,es ESP,"DF,MF",eng Premier League,31,1993,10.6,0,6,0,0.0,0.57,0.00,0.00,,23.7,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Alex MorenoNott'ham Forest
Villarreal,Gerard Moreno,1788,es ESP,FW,es La Liga,32,1992,8.0,3,23,9,39.1,2.87,1.12,0.00,0.00,18.2,0,3,3,4.2,1.8,0.08,-1.2,-1.8,Gerard MorenoVillarreal
Fiorentina,Matias Moreno,1789,ar ARG,DF,it Serie A,20,2003,1.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matias MorenoFiorentina
Valladolid,Xavier Moreno,1790,es ESP,FW,es La Liga,19,2004,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Xavier MorenoValladolid
Lecce,Tete Morente,1791,es ESP,"FW,MF",it Serie A,27,1996,22.5,3,41,13,31.7,1.83,0.58,0.07,0.23,20.8,0,0,0,2.9,2.9,0.07,+0.1,+0.1,Tete MorenteLecce
Mallorca,Mateu Morey,1792,es ESP,DF,es La Liga,24,2000,8.2,0,3,1,33.3,0.36,0.12,0.00,0.00,19.9,0,0,0,0.4,0.4,0.14,-0.4,-0.4,Mateu MoreyMallorca
Celta Vigo,Ilaix Moriba,1793,gn GUI,MF,es La Liga,21,2003,23.7,1,34,11,32.4,1.44,0.46,0.03,0.09,23.7,0,0,0,1.7,1.7,0.05,-0.7,-0.7,Ilaix MoribaCelta Vigo
Mallorca,Manu Morlanes,1794,es ESP,MF,es La Liga,25,1999,14.9,0,11,1,9.1,0.74,0.07,0.00,0.00,22.2,0,0,0,0.6,0.6,0.05,-0.6,-0.6,Manu MorlanesMallorca
Bologna,Nikola Moro,1795,hr CRO,MF,it Serie A,26,1998,13.4,0,14,2,14.3,1.04,0.15,0.00,0.00,26.1,1,0,0,0.5,0.5,0.03,-0.5,-0.5,Nikola MoroBologna
Valladolid,Raul Moro,1796,es ESP,"MF,FW",es La Liga,21,2002,26.0,4,46,16,34.8,1.77,0.62,0.09,0.25,17.8,0,0,0,4.1,4.1,0.09,-0.1,-0.1,Raul MoroValladolid
Ipswich Town,Sam Morsy,1797,eg EGY,MF,eng Premier League,32,1991,30.6,1,13,3,23.1,0.43,0.10,0.08,0.33,27.2,0,0,0,0.4,0.4,0.03,+0.6,+0.6,Sam MorsyIpswich Town
Reims,Gabriel Moscardo,1798,br BRA,"MF,DF",fr Ligue 1,18,2005,0.9,0,2,0,0.0,2.14,0.00,0.00,,20.6,0,0,0,0.2,0.2,0.10,-0.2,-0.2,Gabriel MoscardoReims
Valencia,Cristhian Mosquera,1799,es ESP,DF,es La Liga,20,2004,36.9,1,5,2,40.0,0.14,0.05,0.20,0.50,10.5,0,0,0,0.4,0.4,0.08,+0.6,+0.6,Cristhian MosqueraValencia
Hellas Verona,Daniel Mosquera,1800,co COL,FW,it Serie A,24,1999,15.3,5,57,15,26.3,3.73,0.98,0.09,0.33,13.5,0,0,0,6.6,6.6,0.12,-1.6,-1.6,Daniel MosqueraHellas Verona
Wolves,Yerson Mosquera,1801,co COL,DF,eng Premier League,23,2001,4.9,0,2,0,0.0,0.41,0.00,0.00,,12.4,0,0,0,0.3,0.3,0.17,-0.3,-0.3,Yerson MosqueraWolves
Monza,Dany Mota,1802,pt POR,"FW,MF",it Serie A,26,1998,23.4,5,42,11,26.2,1.80,0.47,0.12,0.45,13.1,0,0,0,5.1,5.1,0.12,-0.1,-0.1,Dany MotaMonza
