Squad,Player,Rk,Nation,Pos,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,PlSqu
Fulham,Raul Jimenez,1260,mx MEX,FW,eng Premier League,33,1991,27.7,4,0,0,39,41,15,23,10,24,1,0,0,80,91,99,47.9,Raul JimenezFulham
Brentford,Kim Jisoo,1261,kr KOR,DF,eng Premier League,19,2004,0.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Kim JisooBrentford
Brighton,Joao Pedro,1262,br BRA,"FW,MF",eng Premier League,22,2001,21.6,4,1,0,26,46,2,22,9,12,3,1,0,59,41,43,48.8,Joao PedroBrighton
Getafe,John Joe,1263,ie IRL,"MF,FW",es La Liga,20,2003,0.5,1,0,0,1,2,0,0,0,0,0,0,0,3,2,2,50.0,John JoeGetafe
Reims,John Joe,1264,ie IRL,MF,fr Ligue 1,20,2003,6.1,0,0,0,14,13,0,5,6,15,0,0,0,31,10,13,43.5,John JoeReims
Newcastle Utd,Joelinton,1265,br BRA,"MF,FW",eng Premier League,27,1996,26.6,10,0,0,58,35,7,16,23,35,0,0,0,149,59,46,56.2,JoelintonNewcastle Utd
Espanyol,Jofre,1266,es ESP,"MF,FW",es La Liga,23,2001,24.1,5,0,0,28,59,3,54,15,16,0,0,0,105,5,17,22.7,JofreEspanyol
Lecce,Thorir Johann Helgason,1267,is ISL,MF,it Serie A,23,2000,12.8,0,0,0,10,10,2,71,6,7,0,0,0,46,17,17,50.0,Thorir Johann HelgasonLecce
Holstein Kiel,Carl Johansson,1268,se SWE,DF,de Bundesliga,30,1994,6.3,0,1,0,5,4,0,0,10,2,0,1,0,18,29,21,58.0,Carl JohanssonHolstein Kiel
Ipswich Town,Ben Johnson,1269,eng ENG,"DF,FW",eng Premier League,24,2000,15.0,5,1,1,27,6,1,37,13,22,0,0,0,57,19,18,51.4,Ben JohnsonIpswich Town
Tottenham,Brennan Johnson,1270,wls WAL,FW,eng Premier League,23,2001,24.2,5,0,0,27,26,12,53,4,26,2,0,0,63,7,20,25.9,Brennan JohnsonTottenham
Strasbourg,Karl-Johan Johnsson,1271,se SWE,GK,fr Ligue 1,34,1990,3.0,0,0,0,1,0,0,0,0,0,0,1,0,2,1,0,100.0,Karl-Johan JohnssonStrasbourg
Wolves,Sam Johnstone,1272,eng ENG,GK,eng Premier League,31,1993,7.0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,100.0,Sam JohnstoneWolves
Auxerre,Paul Joly,1273,fr FRA,DF,fr Ligue 1,24,2000,11.2,3,1,0,10,27,0,55,25,32,0,1,0,56,13,8,61.9,Paul JolyAuxerre
Liverpool,Curtis Jones,1274,eng ENG,"MF,DF",eng Premier League,23,2001,19.0,3,1,1,18,25,1,8,7,22,1,0,0,97,14,13,51.9,Curtis JonesLiverpool
Barcelona,Frenkie de Jong,1275,nl NED,MF,es La Liga,27,1997,12.7,3,0,0,14,18,0,6,12,11,0,1,0,57,10,7,58.8,Frenkie de JongBarcelona
Alaves,Joan Jordan,1276,es ESP,MF,es La Liga,30,1994,15.7,4,0,0,28,11,1,106,9,18,0,0,0,61,16,13,55.2,Joan JordanAlaves
Arsenal,Jorginho,1277,it ITA,MF,eng Premier League,32,1991,7.8,5,0,0,15,17,0,1,7,4,0,0,0,55,1,6,14.3,JorginhoArsenal
Venezia,Jesse Joronen,1278,fi FIN,GK,it Serie A,31,1993,7.8,0,0,0,1,0,0,0,0,0,0,1,1,11,3,0,100.0,Jesse JoronenVenezia
Rennes,Jota,1279,pt POR,"FW,MF",fr Ligue 1,25,1999,3.7,0,0,0,3,2,3,16,3,2,0,0,0,11,1,1,50.0,JotaRennes
Liverpool,Diogo Jota,1280,pt POR,FW,eng Premier League,27,1996,13.3,2,0,0,23,14,1,8,8,8,1,0,0,41,22,32,40.7,Diogo JotaLiverpool
Le Havre,Antoine Joujou,1281,fr FRA,"MF,FW",fr Ligue 1,21,2003,10.5,1,0,0,7,7,2,37,9,11,0,0,0,59,5,18,21.7,Antoine JoujouLe Havre
Milan,Luka Jovic,1282,rs SRB,"FW,MF",it Serie A,26,1997,6.2,1,0,0,4,7,0,2,1,0,0,0,0,9,9,9,50.0,Luka JovicMilan
Getafe,Juanmi,1283,es ESP,"FW,MF",es La Liga,31,1993,7.7,2,0,0,19,10,6,0,2,11,0,0,0,23,6,8,42.9,JuanmiGetafe
Betis,Juanmi,1284,es ESP,"FW,MF",es La Liga,31,1993,2.7,2,0,0,6,7,1,1,1,4,0,0,0,14,6,1,85.7,JuanmiBetis
Girona,Juanpe,1285,es ESP,DF,es La Liga,33,1991,8.1,2,0,0,4,2,0,1,8,5,0,0,0,22,25,9,73.5,JuanpeGirona
Auxerre,Jubal,1286,br BRA,DF,fr Ligue 1,30,1993,29.3,7,0,0,27,21,1,0,25,39,1,2,1,90,72,32,69.2,JubalAuxerre
Werder Bremen,Anthony Jung,1287,de GER,DF,de Bundesliga,32,1991,21.1,1,0,0,9,15,2,4,25,22,0,2,0,81,34,20,63.0,Anthony JungWerder Bremen
Villarreal,Luiz Lucio Reis Junior,1288,br BRA,GK,es La Liga,23,2001,16.2,2,0,0,0,6,0,0,0,0,0,0,0,18,6,1,85.7,Luiz Lucio Reis JuniorVillarreal
Auxerre,Hamed Junior Traore,1289,ci CIV,MF,fr Ligue 1,24,2000,23.3,5,0,0,30,40,7,42,8,20,1,0,0,100,12,20,37.5,Hamed Junior TraoreAuxerre
Real Madrid,Vinicius Junior,1290,br BRA,FW,es La Liga,24,2000,25.0,8,1,0,30,70,10,56,3,10,2,0,0,71,1,7,12.5,Vinicius JuniorReal Madrid
Union Berlin,Josip Juranovic,1291,hr CRO,"DF,MF",de Bundesliga,28,1995,12.9,4,0,0,8,6,1,78,7,13,0,0,0,62,4,5,44.4,Josip JuranovicUnion Berlin
Hoffenheim,David Jurasek,1292,cz CZE,DF,de Bundesliga,23,2000,6.9,0,0,0,1,2,1,55,6,3,0,0,0,40,3,2,60.0,David JurasekHoffenheim
Valladolid,Stanko Juric,1293,hr CRO,MF,es La Liga,27,1996,19.2,7,1,1,38,9,0,0,24,24,0,0,0,92,50,22,69.4,Stanko JuricValladolid
Leicester City,James Justin,1294,eng ENG,DF,eng Premier League,26,1998,32.4,6,0,0,29,44,2,57,46,37,0,0,0,88,69,55,55.6,James JustinLeicester City
Chelsea,Filip Jorgensen,1295,dk DEN,GK,eng Premier League,22,2002,6.0,0,0,0,1,1,0,0,0,0,0,1,0,5,0,0,,Filip JorgensenChelsea
Lecce,Mohamed Kaba,1296,fr FRA,MF,it Serie A,22,2001,5.0,1,0,0,6,10,0,1,4,8,0,0,0,19,8,12,40.0,Mohamed KabaLecce
Augsburg,Yusuf Kabadayi,1297,de GER,"FW,MF",de Bundesliga,20,2004,0.8,0,0,0,1,1,1,1,0,0,0,0,0,6,0,2,0.0,Yusuf KabadayiAugsburg
Dortmund,Almugera Kabar,1298,de GER,DF,de Bundesliga,18,2006,1.5,2,1,1,2,2,0,1,1,3,0,0,0,4,2,3,40.0,Almugera KabarDortmund
Udinese,Christian Kabasele,1299,be BEL,DF,it Serie A,33,1991,12.9,0,0,0,20,16,0,2,14,9,0,2,0,33,35,20,63.6,Christian KabaseleUdinese
Werder Bremen,Issa Kabore,1300,bf BFA,"DF,FW",de Bundesliga,23,2001,3.4,0,0,0,4,8,1,19,2,4,1,0,0,20,6,3,66.7,Issa KaboreWerder Bremen
Reims,Yaya Kader Fofana,1301,ml MLI,"MF,FW",fr Ligue 1,20,2004,7.0,4,0,0,16,7,0,6,3,11,0,0,0,33,4,10,28.6,Yaya Kader FofanaReims
Hoffenheim,Pavel Kaderabek,1302,cz CZE,DF,de Bundesliga,32,1992,17.5,6,0,0,21,8,4,74,20,14,0,0,0,25,57,44,56.4,Pavel KaderabekHoffenheim
Nantes,Tino Kadewere,1303,zw ZIM,"MF,FW",fr Ligue 1,28,1996,5.7,1,0,0,6,3,2,2,6,8,0,0,0,34,15,12,55.6,Tino KadewereNantes
Brighton,Ferdi Kadioglu,1304,tr TUR,"DF,MF",eng Premier League,24,1999,4.3,1,0,0,5,3,1,9,8,6,0,0,0,14,3,1,75.0,Ferdi KadiogluBrighton
Rennes,Arnaud Kalimuendo,1305,fr FRA,"FW,MF",fr Ligue 1,22,2002,28.6,2,0,0,29,40,12,13,4,12,1,0,0,63,22,59,27.2,Arnaud KalimuendoRennes
Juventus,Pierre Kalulu,1306,fr FRA,DF,it Serie A,24,2000,26.0,2,1,0,26,19,2,22,17,25,0,1,0,95,27,47,36.5,Pierre KaluluJuventus
Angers,Justin-Noel Kalumba,1307,fr FRA,"FW,MF",fr Ligue 1,19,2004,0.3,0,0,0,0,1,0,1,1,0,0,0,0,2,0,0,,Justin-Noel KalumbaAngers
Crystal Palace,Daichi Kamada,1308,jp JPN,MF,eng Premier League,27,1996,17.4,4,1,0,28,21,2,32,18,29,0,0,0,89,4,13,23.5,Daichi KamadaCrystal Palace
Toulouse,Waren Kamanzi,1309,no NOR,"DF,MF",fr Ligue 1,23,2000,11.4,3,0,0,16,13,2,16,9,13,0,0,0,56,7,1,87.5,Waren KamanziToulouse
Aston Villa,Boubacar Kamara,1310,fr FRA,MF,eng Premier League,24,1999,19.2,2,0,0,30,35,0,1,19,21,0,0,0,87,21,26,44.7,Boubacar KamaraAston Villa
Rennes,Glen Kamara,1311,fi FIN,MF,fr Ligue 1,28,1995,7.4,0,0,0,7,4,0,0,7,11,0,0,0,42,2,6,25.0,Glen KamaraRennes
Udinese,Hassane Kamara,1312,ci CIV,DF,it Serie A,30,1994,22.2,8,1,1,25,22,1,106,26,25,0,0,0,92,21,11,65.6,Hassane KamaraUdinese
Paris S-G,Noham Kamara,1313,fr FRA,DF,fr Ligue 1,17,2007,0.8,0,0,0,0,0,0,0,1,1,0,0,0,4,2,0,100.0,Noham KamaraParis S-G
Villarreal,Willy Kambwala,1314,fr FRA,DF,es La Liga,19,2004,12.4,1,1,0,5,0,0,0,10,12,0,0,0,30,16,18,47.1,Willy KambwalaVillarreal
Wolfsburg,Jakub Kaminski,1315,pl POL,"DF,MF",de Bundesliga,22,2002,12.6,2,0,0,10,3,0,50,13,8,1,0,1,52,7,19,26.9,Jakub KaminskiWolfsburg
RB Leipzig,Kevin Kampl,1316,si SVN,MF,de Bundesliga,33,1990,17.7,5,0,0,20,7,1,29,24,18,0,0,0,100,3,13,18.8,Kevin KamplRB Leipzig
Strasbourg,Nordine Kandil,1317,fr FRA,MF,fr Ligue 1,22,2001,0.1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,50.0,Nordine KandilStrasbourg
Bayern Munich,Harry Kane,1318,eng ENG,FW,de Bundesliga,31,1993,26.5,5,0,0,9,21,16,13,2,11,2,0,0,61,29,20,59.2,Harry KaneBayern Munich
Paris S-G,Lee Kang-in,1319,kr KOR,"FW,MF",fr Ligue 1,23,2001,18.5,1,0,0,21,28,1,94,3,17,0,0,0,73,5,10,33.3,Lee Kang-inParis S-G
Torino,Yann Karamoh,1320,fr FRA,"MF,FW",it Serie A,26,1998,11.6,2,0,0,12,14,4,23,3,2,0,0,0,42,5,9,35.7,Yann KaramohTorino
Stuttgart,Atakan Karazor,1321,,MF,de Bundesliga,27,1996,29.1,10,1,1,38,59,2,4,32,29,0,0,0,171,57,44,56.4,Atakan KarazorStuttgart
Bologna,Jesper Karlsson,1322,se SWE,FW,it Serie A,26,1998,3.3,1,0,0,6,4,1,4,0,0,0,0,0,8,2,4,33.3,Jesper KarlssonBologna
Lecce,Jesper Karlsson,1323,se SWE,FW,it Serie A,26,1998,5.5,2,0,0,4,0,0,28,0,2,0,1,0,12,1,6,14.3,Jesper KarlssonLecce
Udinese,Jesper Karlstrom,1324,se SWE,MF,it Serie A,29,1995,35.4,9,0,0,42,25,1,15,35,34,0,0,0,146,31,31,50.0,Jesper KarlstromUdinese
Genoa,Lior Kasa,1325,il ISR,"MF,FW",it Serie A,18,2005,2.6,2,0,0,4,3,0,2,3,4,0,0,0,14,1,3,25.0,Lior KasaGenoa
Hellas Verona,Grigoris Kastanos,1326,cy CYP,"MF,FW",it Serie A,26,1998,9.7,4,0,0,15,19,1,23,7,16,0,0,0,48,15,17,46.9,Grigoris KastanosHellas Verona
Heidenheim,Mikkel Kaufmann,1327,dk DEN,FW,de Bundesliga,23,2001,4.1,2,0,0,5,14,0,1,2,4,1,0,0,13,17,19,47.2,Mikkel KaufmannHeidenheim
Southampton,Joachim Kayi Sanda,1328,fr FRA,DF,eng Premier League,17,2006,0.2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0.0,Joachim Kayi SandaSouthampton
Brentford,Michael Kayode,1329,it ITA,DF,eng Premier League,20,2004,5.9,2,0,0,8,3,0,10,7,11,0,0,0,34,9,4,69.2,Michael KayodeBrentford
Fiorentina,Michael Kayode,1330,it ITA,"DF,FW",it Serie A,20,2004,1.4,0,0,0,1,2,0,6,2,1,0,0,0,6,2,0,100.0,Michael KayodeFiorentina
Fiorentina,Moise Kean,1331,it ITA,FW,it Serie A,24,2000,30.0,6,0,0,41,52,57,9,6,5,0,1,0,52,51,48,51.5,Moise KeanFiorentina
Everton,Michael Keane,1332,eng ENG,DF,eng Premier League,31,1993,11.7,5,0,0,9,0,0,1,16,9,0,0,0,26,26,20,56.5,Michael KeaneEverton
Le Havre,Yassine Kechta,1333,ma MAR,"MF,FW",fr Ligue 1,22,2002,23.3,4,0,0,42,33,4,36,26,36,1,0,0,113,10,27,27.0,Yassine KechtaLe Havre
Monaco,Thilo Kehrer,1334,de GER,DF,fr Ligue 1,27,1996,26.5,1,0,0,23,20,1,2,36,23,0,0,0,132,54,34,61.4,Thilo KehrerMonaco
Getafe,Abdoulaye Keita,1335,es ESP,"FW,MF",es La Liga,21,2002,1.1,0,0,0,6,0,0,1,0,2,0,0,0,6,3,3,50.0,Abdoulaye KeitaGetafe
Parma,Mandela Keita,1336,be BEL,MF,it Serie A,22,2002,20.3,6,1,1,28,33,1,0,21,25,0,1,0,94,14,14,50.0,Mandela KeitaParma
Stuttgart,Yannik Keitel,1337,de GER,MF,de Bundesliga,24,2000,3.0,1,0,0,2,6,0,2,4,6,0,0,0,7,4,4,50.0,Yannik KeitelStuttgart
Holstein Kiel,Andu Kelati,1338,de GER,"MF,DF",de Bundesliga,21,2002,3.2,2,1,1,4,5,0,6,3,4,0,0,0,19,0,2,0.0,Andu KelatiHolstein Kiel
Liverpool,Caoimhin Kelleher,1339,ie IRL,GK,eng Premier League,25,1998,10.0,0,0,0,0,3,0,0,0,0,0,0,0,18,1,0,100.0,Caoimhin KelleherLiverpool
Heidenheim,Thomas Keller,1340,de GER,"DF,MF",de Bundesliga,24,1999,1.6,2,0,0,6,4,0,0,4,5,0,0,0,3,4,4,50.0,Thomas KellerHeidenheim
Newcastle Utd,Lloyd Kelly,1341,eng ENG,DF,eng Premier League,25,1998,3.4,2,0,0,5,5,1,1,1,4,0,0,0,19,6,2,75.0,Lloyd KellyNewcastle Utd
Juventus,Lloyd Kelly,1342,eng ENG,DF,it Serie A,25,1998,11.3,1,0,0,14,4,0,14,2,11,0,0,0,55,36,25,59.0,Lloyd KellyJuventus
Union Berlin,Aljoscha Kemlein,1343,de GER,MF,de Bundesliga,19,2004,10.2,3,0,0,15,2,1,5,6,4,0,1,0,58,19,14,57.6,Aljoscha KemleinUnion Berlin
Como,Marc-Oliver Kempf,1344,de GER,DF,it Serie A,29,1995,29.1,6,1,1,21,20,0,4,33,20,0,0,0,106,108,39,73.5,Marc-Oliver KempfComo
Valladolid,Kenedy,1345,br BRA,"MF,FW",es La Liga,28,1996,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,KenedyValladolid
Heidenheim,Luca Kerber,1346,de GER,"MF,DF",de Bundesliga,22,2002,8.7,4,0,0,22,8,0,3,5,16,0,0,0,27,11,17,39.3,Luca KerberHeidenheim
Bournemouth,Milos Kerkez,1347,hu HUN,DF,eng Premier League,20,2003,37.1,4,0,0,30,50,3,142,45,26,0,0,0,169,28,49,36.4,Milos KerkezBournemouth
Reims,Reda Khadra,1348,de GER,"MF,FW",fr Ligue 1,23,2001,0.9,0,0,0,0,3,0,3,0,1,0,0,0,7,0,0,,Reda KhadraReims
Leicester City,Bilal El Khannouss,1349,ma MAR,"MF,FW",eng Premier League,20,2004,24.2,4,0,0,30,13,1,89,6,30,0,0,0,92,19,24,44.2,Bilal El KhannoussLeicester City
Montpellier,Wahbi Khazri,1350,tn TUN,"FW,MF",fr Ligue 1,33,1991,12.4,4,0,0,23,28,7,48,5,18,0,0,0,44,8,21,27.6,Wahbi KhazriMontpellier
Union Berlin,Rani Khedira,1351,de GER,MF,de Bundesliga,30,1994,30.3,7,0,0,45,18,1,22,44,40,0,1,0,108,42,42,50.0,Rani KhediraUnion Berlin
Manchester City,Abdukodir Khusanov,1352,uz UZB,DF,eng Premier League,20,2004,5.6,1,0,0,3,3,0,1,3,4,0,0,1,27,6,4,60.0,Abdukodir KhusanovManchester City
Lens,Abdukodir Khusanov,1353,uz UZB,DF,fr Ligue 1,20,2004,10.8,2,1,0,13,3,0,5,26,11,0,1,0,50,27,12,69.2,Abdukodir KhusanovLens
Lecce,Kialonda,1354,ao ANG,DF,it Serie A,26,1997,23.8,3,0,0,9,20,0,3,32,12,0,1,0,58,90,44,67.2,KialondaLecce
Alaves,Kike,1355,es ESP,FW,es La Liga,34,1989,28.2,5,1,1,49,59,22,13,1,14,1,0,0,90,110,100,52.4,KikeAlaves
West Ham,Max Kilman,1356,eng ENG,DF,eng Premier League,27,1997,37.2,5,0,0,23,13,2,4,38,24,0,0,0,146,113,55,67.3,Max KilmanWest Ham
Bayern Munich,Joshua Kimmich,1357,de GER,MF,de Bundesliga,29,1995,31.6,4,0,0,15,27,2,176,25,29,0,0,0,190,12,9,57.1,Joshua KimmichBayern Munich
Paris S-G,Presnel Kimpembe,1358,fr FRA,DF,fr Ligue 1,28,1995,0.3,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,,Presnel KimpembeParis S-G
Fulham,Joshua King,1359,eng ENG,MF,eng Premier League,17,2007,1.4,0,0,0,3,2,0,2,1,5,0,0,0,5,1,2,33.3,Joshua KingFulham
Toulouse,Joshua King,1360,no NOR,"FW,MF",fr Ligue 1,32,1992,18.6,2,0,0,35,27,7,9,6,11,1,0,0,60,35,51,40.7,Joshua KingToulouse
Wolves,Tom King,1361,wls WAL,GK,eng Premier League,29,1995,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Tom KingWolves
Tottenham,Antonin Kinsky,1362,cz CZE,GK,eng Premier League,21,2003,6.0,0,0,0,0,0,0,0,0,1,0,0,0,6,2,0,100.0,Antonin KinskyTottenham
Reims,Cedric Kipre,1363,ci CIV,DF,fr Ligue 1,27,1996,24.3,4,2,0,24,12,1,12,32,30,0,1,0,73,41,24,63.1,Cedric KipreReims
Arsenal,Jakub Kiwior,1364,pl POL,DF,eng Premier League,24,2000,12.5,1,0,0,10,4,1,2,6,8,0,0,0,31,11,13,45.8,Jakub KiwiorArsenal
Gladbach,Tim Kleindienst,1365,de GER,FW,de Bundesliga,28,1995,30.4,5,1,1,75,25,23,16,12,15,2,1,0,74,149,123,54.8,Tim KleindienstGladbach
RB Leipzig,Lukas Klostermann,1366,de GER,DF,de Bundesliga,28,1996,20.4,5,0,0,13,7,0,11,24,14,0,0,0,74,20,30,40.0,Lukas KlostermannRB Leipzig
Bournemouth,Justin Kluivert,1367,nl NED,MF,eng Premier League,25,1999,26.0,8,0,0,47,33,5,85,14,11,1,0,0,78,8,28,22.2,Justin KluivertBournemouth
Eint Frankfurt,Ansgar Knauff,1368,de GER,"MF,DF",de Bundesliga,22,2002,17.7,3,0,0,27,28,11,32,12,22,0,0,0,76,19,27,41.3,Ansgar KnauffEint Frankfurt
Holstein Kiel,Magnus Knudsen,1369,no NOR,MF,de Bundesliga,23,2001,20.6,7,0,0,28,10,0,8,12,29,0,0,0,79,10,28,26.3,Magnus KnudsenHolstein Kiel
Dortmund,Gregor Kobel,1370,ch SUI,GK,de Bundesliga,26,1997,32.0,1,0,0,0,2,0,0,1,0,0,0,0,61,5,0,100.0,Gregor KobelDortmund
Eint Frankfurt,Robin Koch,1371,de GER,DF,de Bundesliga,28,1996,28.7,3,0,0,24,13,1,1,25,11,0,1,0,112,102,48,68.0,Robin KochEint Frankfurt
Lens,Herve Koffi,1372,bf BFA,GK,fr Ligue 1,27,1996,5.0,2,0,0,0,0,0,0,0,1,0,0,0,3,1,0,100.0,Herve KoffiLens
Venezia,Magnus Kofod Andersen,1373,dk DEN,MF,it Serie A,25,1999,7.7,1,0,0,7,5,0,16,6,4,0,0,0,31,8,7,53.3,Magnus Kofod AndersenVenezia
Werder Bremen,Derrick Kohn,1374,de GER,"DF,FW",de Bundesliga,25,1999,14.9,2,0,0,14,19,4,58,10,10,0,0,0,57,8,13,38.1,Derrick KohnWerder Bremen
Monaco,Philipp Kohn,1375,ch SUI,GK,fr Ligue 1,26,1998,19.0,1,0,0,0,1,0,0,0,0,0,0,0,37,3,0,100.0,Philipp KohnMonaco
Mainz 05,Dominik Kohr,1376,de GER,"DF,MF",de Bundesliga,30,1994,25.5,11,1,0,46,36,1,16,42,46,0,2,0,99,38,34,52.8,Dominik KohrMainz 05
Le Havre,Koka,1377,eg EGY,FW,fr Ligue 1,31,1993,9.5,2,0,0,14,2,1,0,4,1,0,0,0,24,20,21,48.8,KokaLe Havre
Atletico Madrid,Koke,1378,es ESP,MF,es La Liga,32,1992,21.4,4,0,0,23,16,0,22,20,23,0,0,1,122,8,9,47.1,KokeAtletico Madrid
Atalanta,Sead Kolasinac,1379,ba BIH,DF,it Serie A,31,1993,21.1,7,0,0,38,20,3,10,25,26,0,0,1,135,34,26,56.7,Sead KolasinacAtalanta
Juventus,Randal Kolo Muani,1380,fr FRA,FW,it Serie A,25,1998,12.9,0,0,0,27,20,6,8,4,7,0,0,0,33,10,27,27.0,Randal Kolo MuaniJuventus
Paris S-G,Randal Kolo Muani,1381,fr FRA,FW,fr Ligue 1,25,1998,4.0,0,0,0,7,7,2,0,0,4,1,0,0,8,9,3,75.0,Randal Kolo MuaniParis S-G
Holstein Kiel,Marco Komenda,1382,hr CRO,DF,de Bundesliga,27,1996,14.5,3,0,0,16,13,0,16,6,17,0,0,0,37,15,31,32.6,Marco KomendaHolstein Kiel
Augsburg,Mert Komur,1383,de GER,MF,de Bundesliga,19,2005,7.3,1,0,0,7,12,3,26,3,2,0,0,0,32,11,18,37.9,Mert KomurAugsburg
Liverpool,Ibrahima Konate,1384,fr FRA,DF,eng Premier League,25,1999,28.4,5,0,0,27,20,0,0,17,26,0,0,0,98,74,29,71.8,Ibrahima KonateLiverpool
Empoli,Ismael Konate,1385,ci CIV,"FW,MF",it Serie A,18,2006,1.3,0,0,0,5,2,0,1,0,2,0,0,0,3,5,8,38.5,Ismael KonateEmpoli
Marseille,Geoffrey Kondogbia,1386,cf CTA,"DF,MF",fr Ligue 1,31,1993,22.4,1,0,0,19,17,1,4,22,38,0,0,0,108,27,15,64.3,Geoffrey KondogbiaMarseille
Reims,Abdoul Kone,1387,fr FRA,DF,fr Ligue 1,19,2005,1.5,0,0,0,3,3,0,0,1,3,0,0,0,7,2,0,100.0,Abdoul KoneReims
Reims,Amadou Kone,1388,ml MLI,MF,fr Ligue 1,19,2005,14.4,3,1,0,19,52,0,3,19,32,0,1,0,79,22,22,50.0,Amadou KoneReims
Marseille,Ismael Kone,1389,ca CAN,"MF,FW",fr Ligue 1,22,2002,4.0,0,0,0,4,11,1,3,4,4,0,0,0,14,2,5,28.6,Ismael KoneMarseille
Rennes,Ismael Kone,1390,ca CAN,MF,fr Ligue 1,22,2002,5.2,1,0,0,8,8,0,2,4,6,0,1,0,19,2,0,100.0,Ismael KoneRennes
Roma,Manu Kone,1391,fr FRA,MF,it Serie A,23,2001,28.6,6,0,0,28,86,2,2,24,26,0,1,0,131,20,33,37.7,Manu KoneRoma
Aston Villa,Ezri Konsa,1392,eng ENG,DF,eng Premier League,26,1997,32.6,1,0,0,9,47,1,5,24,18,0,0,0,97,31,23,57.4,Ezri KonsaAston Villa
Juventus,Teun Koopmeiners,1393,nl NED,"MF,FW",it Serie A,26,1998,22.2,3,0,0,32,9,3,113,8,16,0,0,0,51,22,22,50.0,Teun KoopmeinersJuventus
Bochum,Kacper Koscierski,1394,de GER,DF,de Bundesliga,17,2007,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Kacper KoscierskiBochum
Atalanta,Odilon Kossounou,1395,ci CIV,DF,it Serie A,23,2001,12.5,1,0,0,15,6,1,3,13,11,0,0,0,62,23,17,57.5,Odilon KossounouAtalanta
Fiorentina,Christian Kouame,1396,ci CIV,"FW,MF",it Serie A,26,1997,6.9,1,0,0,13,14,2,6,2,8,0,0,0,20,29,19,60.4,Christian KouameFiorentina
Empoli,Christian Kouame,1397,ci CIV,"FW,MF",it Serie A,26,1997,5.6,0,0,0,7,15,2,2,0,4,0,0,0,18,48,24,66.7,Christian KouameEmpoli
Augsburg,Henri Koudossou,1398,de GER,DF,de Bundesliga,24,1999,8.3,1,0,0,7,5,2,24,15,10,0,0,0,39,8,7,53.3,Henri KoudossouAugsburg
Wolfsburg,Konstantinos Koulierakis,1399,gr GRE,DF,de Bundesliga,20,2003,27.4,4,0,0,24,13,2,13,33,20,0,0,0,93,59,39,60.2,Konstantinos KoulierakisWolfsburg
Marseille,Emmanuel Koum Mbondo,1400,fr FRA,DF,fr Ligue 1,18,2006,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Emmanuel Koum MbondoMarseille
Barcelona,Jules Kounde,1401,fr FRA,DF,es La Liga,25,1998,28.9,4,0,0,22,19,7,63,20,43,0,0,0,107,30,23,56.6,Jules KoundeBarcelona
Montpellier,Boubakar Kouyate,1402,ml MLI,DF,fr Ligue 1,27,1997,8.4,6,1,1,15,8,4,0,12,17,0,0,0,18,22,15,59.5,Boubakar KouyateMontpellier
Manchester City,Mateo Kovacic,1403,hr CRO,MF,eng Premier League,30,1994,24.4,5,1,0,24,26,0,0,24,38,0,0,0,114,10,9,52.6,Mateo KovacicManchester City
Empoli,Viktor Kovalenko,1404,ua UKR,MF,it Serie A,28,1996,0.9,0,0,0,2,2,0,1,0,1,0,0,0,3,3,3,50.0,Viktor KovalenkoEmpoli
Leverkusen,Matej Kovar,1405,cz CZE,GK,de Bundesliga,24,2000,5.0,0,0,0,0,1,0,0,0,0,0,0,0,6,1,1,50.0,Matej KovarLeverkusen
Parma,Mateusz Kowalski,1406,pl POL,MF,it Serie A,19,2005,0.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0.0,Mateusz KowalskiParma
Lens,Goduine Koyalipou,1407,cf CTA,FW,fr Ligue 1,24,2000,9.8,0,0,0,7,6,6,2,1,2,0,0,0,15,16,24,40.0,Goduine KoyalipouLens
Crystal Palace,Caleb Kporha,1408,eng ENG,DF,eng Premier League,18,2006,0.1,0,0,0,0,0,0,2,0,1,0,0,0,1,0,1,0.0,Caleb KporhaCrystal Palace
Newcastle Utd,Emil Krafth,1409,se SWE,DF,eng Premier League,29,1994,3.8,2,0,0,5,2,0,2,2,2,0,0,0,19,8,8,50.0,Emil KrafthNewcastle Utd
Espanyol,Alex Kral,1410,cz CZE,MF,es La Liga,26,1998,30.2,1,0,0,31,23,0,38,28,37,0,0,0,127,38,28,57.6,Alex KralEspanyol
Hoffenheim,Andrej Kramaric,1411,hr CRO,"MF,FW",de Bundesliga,33,1991,30.7,4,0,0,12,28,9,116,7,8,0,0,0,136,8,23,25.8,Andrej KramaricHoffenheim
