Squad,Player,Rk,Nation,Pos,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,PlSqu
Werder Bremen,Jens Stage,2491,dk DEN,MF,de Bundesliga,27,1996,24.5,10,0,0,38,30,4,23,18,30,0,0,0,114,34,26,56.7,Jens StageWerder Bremen
Bayern Munich,Josip Stanisic,2492,hr CRO,DF,de Bundesliga,24,2000,9.7,0,0,0,2,4,0,11,6,11,0,0,0,64,11,6,64.7,Josip StanisicBayern Munich
Venezia,Filip Stankovic,2493,rs SRB,GK,it Serie A,22,2002,15.2,1,0,0,0,1,0,0,0,0,0,0,0,15,5,0,100.0,Filip StankovicVenezia
Fulham,Jay Stansfield,2494,eng ENG,MF,eng Premier League,21,2002,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Jay StansfieldFulham
Celta Vigo,Carl Starfelt,2495,se SWE,DF,es La Liga,29,1995,25.2,5,0,0,21,11,0,0,31,20,0,0,0,77,60,51,54.1,Carl StarfeltCelta Vigo
Werder Bremen,Niklas Stark,2496,de GER,DF,de Bundesliga,29,1995,23.4,6,1,1,30,28,2,3,36,21,0,0,0,73,48,31,60.8,Niklas StarkWerder Bremen
Saint-Etienne,Lucas Stassin,2497,be BEL,FW,fr Ligue 1,19,2004,21.0,4,0,0,32,26,7,19,3,11,1,0,0,34,15,29,34.1,Lucas StassinSaint-Etienne
Brighton,Jason Steele,2498,eng ENG,GK,eng Premier League,33,1990,2.0,0,0,0,0,1,0,0,0,0,0,0,0,7,1,1,50.0,Jason SteeleBrighton
Real Sociedad,Orri Steinn Oskarsson,2499,is ISL,FW,es La Liga,19,2004,10.5,1,0,0,7,6,10,7,2,6,0,0,0,15,31,55,36.0,Orri Steinn OskarssonReal Sociedad
Stuttgart,Pascal Stenzel,2500,de GER,DF,de Bundesliga,28,1996,3.2,0,0,0,4,2,0,25,2,2,0,0,0,11,3,6,33.3,Pascal StenzelStuttgart
Southampton,Jack Stephens,2501,eng ENG,DF,eng Premier League,30,1994,15.4,2,2,0,13,4,1,1,13,20,0,1,0,44,6,10,37.5,Jack StephensSouthampton
Stuttgart,Leonidas Stergiou,2502,ch SUI,DF,de Bundesliga,22,2002,9.5,0,1,0,6,0,1,13,14,13,0,0,0,35,6,8,42.9,Leonidas StergiouStuttgart
Arsenal,Raheem Sterling,2503,eng ENG,"FW,MF",eng Premier League,29,1994,5.5,1,0,0,12,8,4,16,1,4,0,0,0,16,1,3,25.0,Raheem SterlingArsenal
Marseille,Enzo Sternal,2504,fr FRA,"FW,MF",fr Ligue 1,17,2007,0.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,Enzo SternalMarseille
St. Pauli,Finley Stevens,2505,wls WAL,DF,de Bundesliga,21,2003,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Finley StevensSt. Pauli
Southampton,Ross Stewart,2506,sct SCO,FW,eng Premier League,28,1996,4.3,1,0,0,7,7,1,0,1,4,0,0,0,6,13,23,36.1,Ross StewartSouthampton
Stuttgart,Angelo Stiller,2507,de GER,MF,de Bundesliga,23,2001,30.5,6,0,0,21,48,1,95,26,27,1,0,1,140,18,28,39.1,Angelo StillerStuttgart
Gladbach,Kevin Stoger,2508,at AUT,MF,de Bundesliga,30,1993,17.2,3,0,0,22,40,1,116,16,21,0,0,0,75,5,15,25.0,Kevin StogerGladbach
Alaves,Stoichkov,2509,es ESP,"MF,FW",es La Liga,30,1993,7.8,1,0,0,9,16,5,13,1,9,0,0,0,44,5,15,25.0,StoichkovAlaves
Empoli,Petar Stojanovic,2510,si SVN,MF,it Serie A,28,1995,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Petar StojanovicEmpoli
Leicester City,Jakub Stolarczyk,2511,pl POL,GK,eng Premier League,23,2000,10.0,1,0,0,0,0,0,0,0,1,0,0,0,8,5,0,100.0,Jakub StolarczykLeicester City
Manchester City,John Stones,2512,eng ENG,"DF,MF",eng Premier League,30,1994,6.1,1,0,0,2,2,0,0,4,2,0,0,0,22,8,6,57.1,John StonesManchester City
Wolves,Jorgen Strand Larsen,2513,no NOR,FW,eng Premier League,24,2000,28.7,4,0,0,46,19,16,6,6,6,0,0,0,42,67,100,40.1,Jorgen Strand LarsenWolves
Como,Gabriel Strefezza,2514,br BRA,"FW,MF",it Serie A,27,1997,29.1,5,0,0,46,71,2,123,13,39,0,0,0,108,10,24,29.4,Gabriel StrefezzaComo
Girona,Cristhian Stuani,2515,uy URU,FW,es La Liga,37,1986,12.0,4,0,0,35,7,11,2,7,7,0,0,0,14,22,17,56.4,Cristhian StuaniGirona
Las Palmas,Alex Suarez,2516,es ESP,DF,es La Liga,31,1993,27.3,12,0,0,27,21,1,1,13,23,0,1,2,68,25,48,34.2,Alex SuarezLas Palmas
Villarreal,Denis Suarez,2517,es ESP,MF,es La Liga,30,1994,6.8,0,0,0,1,7,0,25,3,8,0,0,0,25,1,6,14.3,Denis SuarezVillarreal
Toulouse,Gabriel Suazo,2518,cl CHI,DF,fr Ligue 1,26,1997,24.0,0,0,0,32,29,2,78,36,39,0,0,1,125,13,19,40.6,Gabriel SuazoToulouse
Real Sociedad,Luka Sucic,2519,hr CRO,MF,es La Liga,21,2002,19.9,4,0,0,11,15,3,18,15,18,0,0,0,109,26,25,51.0,Luka SucicReal Sociedad
Southampton,Yukinari Sugawara,2520,jp JPN,"DF,MF",eng Premier League,24,2000,17.3,4,0,0,15,10,4,70,11,18,0,2,0,44,5,9,35.7,Yukinari SugawaraSouthampton
Dortmund,Niklas Sule,2521,de GER,DF,de Bundesliga,28,1995,11.7,1,0,0,5,2,0,1,4,12,0,1,0,53,12,6,66.7,Niklas SuleDortmund
Atalanta,Ibrahim Sulemana,2522,gh GHA,MF,it Serie A,21,2003,3.1,1,0,0,2,2,0,0,0,4,0,0,0,13,9,4,69.2,Ibrahim SulemanaAtalanta
Southampton,Kamaldeen Sulemana,2523,gh GHA,"FW,MF",eng Premier League,22,2002,15.6,2,0,0,22,11,3,26,6,17,0,0,0,63,13,27,32.5,Kamaldeen SulemanaSouthampton
West Ham,Crysencio Summerville,2524,nl NED,"FW,MF",eng Premier League,22,2001,8.7,2,0,0,9,23,4,21,0,7,0,0,0,38,4,9,30.8,Crysencio SummervilleWest Ham
Hellas Verona,Tomas Suslov,2525,sk SVK,"MF,FW",it Serie A,22,2002,23.1,7,1,1,54,65,2,49,18,38,0,0,0,88,5,25,16.7,Tomas SuslovHellas Verona
Sevilla,Suso,2526,es ESP,"FW,MF",es La Liga,30,1993,6.7,3,0,0,6,16,2,59,4,7,0,0,0,31,2,5,28.6,SusoSevilla
Parma,Zion Suzuki,2527,jp JPN,GK,it Serie A,21,2002,36.8,2,1,1,3,6,0,0,0,0,0,1,0,44,13,1,92.9,Zion SuzukiParma
Wolfsburg,Mattias Svanberg,2528,se SWE,MF,de Bundesliga,25,1999,13.5,4,0,0,16,22,0,35,15,10,0,0,0,48,12,20,37.5,Mattias SvanbergWolfsburg
Dortmund,Daniel Svensson,2529,se SWE,"DF,FW",de Bundesliga,22,2002,8.7,0,0,0,4,7,1,36,5,11,0,0,0,31,6,15,28.6,Daniel SvenssonDortmund
Venezia,Marin Sverko,2530,hr CRO,DF,it Serie A,26,1998,12.4,3,0,0,9,10,0,2,16,9,0,1,0,44,20,20,50.0,Marin SverkoVenezia
Roma,Mile Svilar,2531,rs SRB,GK,it Serie A,24,1999,38.0,1,0,0,0,8,0,0,0,0,0,0,0,53,6,1,85.7,Mile SvilarRoma
Venezia,Michael Svoboda,2532,at AUT,DF,it Serie A,25,1998,14.6,1,0,0,7,11,0,2,22,14,0,0,0,71,35,28,55.6,Michael SvobodaVenezia
Celta Vigo,Williot Swedberg,2533,se SWE,"FW,MF",es La Liga,20,2004,15.0,1,0,0,21,32,7,18,3,16,0,0,0,46,8,15,34.8,Williot SwedbergCelta Vigo
Strasbourg,Abakar Sylla,2534,ci CIV,DF,fr Ligue 1,21,2002,10.6,2,1,0,17,7,0,1,11,15,0,0,1,39,20,15,57.1,Abakar SyllaStrasbourg
Montpellier,Issiaga Sylla,2535,gn GUI,DF,fr Ligue 1,30,1994,12.8,2,0,0,13,6,3,36,10,10,0,0,0,51,22,18,55.0,Issiaga SyllaMontpellier
