League,Squad,Player,Rk,Nation,Pos,Comp,Age,Born,90s,SCA,SCA90,PassLive_SCA,PassDead_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA,GCA90,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,PlSqu
Big5,Unknown Squad,Ludovic Ajorque,61,fr FRA,FW,fr Ligue 1,30,1994,27.7,60,2.17,49,0,2,5,2,2,8,0.29,3,0,1,3,1,0,Ludovic AjorqueUnknown Squad
Big5,Unknown Squad,Manuel Akanji,62,ch SUI,DF,eng Premier League,29,1995,22.4,37,1.65,37,0,0,0,0,0,3,0.13,3,0,0,0,0,0,Manuel AkanjiUnknown Squad
Big5,Unknown Squad,Umit Akdag,63,ro ROU,DF,fr Ligue 1,20,2003,5.6,5,0.90,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Umit AkdagUnknown Squad
Big5,Unknown Squad,Nathan Ake,64,nl NED,DF,eng Premier League,29,1995,7.5,8,1.06,8,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Nathan AkeUnknown Squad
Big5,Unknown Squad,Ilias Akhomach,65,ma MAR,"MF,FW",es La Liga,20,2004,6.5,29,4.38,17,0,5,1,6,0,1,0.15,0,0,0,0,1,0,Ilias AkhomachUnknown Squad
Big5,Unknown Squad,Sergio Akieme,66,es ESP,DF,fr Ligue 1,26,1997,28.0,37,1.32,29,4,0,2,2,0,3,0.11,3,0,0,0,0,0,Sergio AkiemeUnknown Squad
Big5,Unknown Squad,Maghnes Akliouche,67,fr FRA,"FW,MF",fr Ligue 1,22,2002,26.7,119,4.45,87,3,12,6,8,3,19,0.71,17,0,0,2,0,0,Maghnes AklioucheUnknown Squad
Big5,Unknown Squad,Paul Akouokou,68,ci CIV,MF,fr Ligue 1,26,1997,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Paul AkouokouUnknown Squad
Big5,Unknown Squad,Clement Akpa,69,ci CIV,DF,fr Ligue 1,22,2001,27.6,22,0.80,15,3,0,0,2,2,4,0.14,2,0,0,0,2,0,Clement AkpaUnknown Squad
Big5,Unknown Squad,Jean-Daniel Akpa-Akpro,70,ci CIV,MF,it Serie A,31,1992,10.7,12,1.12,8,0,1,1,1,1,1,0.09,0,0,0,0,0,1,Jean-Daniel Akpa-AkproUnknown Squad
Big5,Unknown Squad,David Akpan Ankeye,71,ng NGA,"FW,MF",it Serie A,22,2002,0.5,1,2.00,0,0,0,0,1,0,1,2.00,0,0,0,0,1,0,David Akpan AnkeyeUnknown Squad
Big5,Unknown Squad,Kevin Akpoguma,72,ng NGA,DF,de Bundesliga,29,1995,24.7,27,1.09,25,1,0,0,1,0,1,0.04,1,0,0,0,0,0,Kevin AkpogumaUnknown Squad
Big5,Unknown Squad,Chuba Akpom,73,eng ENG,FW,fr Ligue 1,28,1995,7.1,17,2.39,8,0,2,5,2,0,3,0.42,1,0,0,1,1,0,Chuba AkpomUnknown Squad
Big5,Unknown Squad,David Alaba,74,at AUT,DF,es La Liga,32,1992,3.5,2,0.57,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,David AlabaUnknown Squad
Big5,Unknown Squad,Ibrahim Alani,75,ng NGA,MF,es La Liga,18,2006,1.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Ibrahim AlaniUnknown Squad
Big5,Unknown Squad,Andreas Albers,76,dk DEN,FW,de Bundesliga,34,1990,0.7,2,2.95,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Andreas AlbersUnknown Squad
Big5,Unknown Squad,Raul Albiol,77,es ESP,DF,es La Liga,38,1985,13.2,5,0.38,4,0,0,1,0,0,3,0.23,3,0,0,0,0,0,Raul AlbiolUnknown Squad
