Squad,Player,Rk,Nation,Pos,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,PlSqu
Southampton,Adam Lallana,1443,eng ENG,MF,eng Premier League,36,1988,4.0,260,255,4,3,1,0,4,0,0,0,0,0,221,1,3,Adam LallanaSouthampton
Hellas Verona,Mathis Lambourde,1444,fr FRA,"FW,MF",it Serie A,18,2006,1.0,23,21,1,0,0,0,1,0,0,0,0,0,13,1,1,Mathis LambourdeHellas Verona
Lille,Mohamed Lamine Bayo,1445,gn GUI,FW,fr Ligue 1,26,1998,3.4,58,49,9,0,0,0,0,0,0,0,0,0,41,0,2,Mohamed Lamine BayoLille
Brighton,Tariq Lamptey,1446,gh GHA,DF,eng Premier League,23,2000,9.6,413,346,66,5,0,1,28,60,1,1,0,0,335,1,6,Tariq LampteyBrighton
Tottenham,Will Lankshear,1447,eng ENG,"FW,MF",eng Premier League,19,2005,0.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Will LankshearTottenham
Cagliari,Gianluca Lapadula,1448,pe PER,"FW,MF",it Serie A,34,1990,3.4,63,60,3,0,0,0,3,0,0,0,0,0,38,0,4,Gianluca LapadulaCagliari
Mallorca,Cyle Larin,1449,ca CAN,FW,es La Liga,29,1995,19.6,317,309,7,0,0,0,6,2,0,0,0,0,214,1,11,Cyle LarinMallorca
Saint-Etienne,Gautier Larsonneur,1450,fr FRA,GK,fr Ligue 1,27,1997,34.0,1185,866,317,112,0,0,0,0,0,0,0,0,782,2,0,Gautier LarsonneurSaint-Etienne
Eint Frankfurt,Hugo Larsson,1451,se SWE,MF,de Bundesliga,20,2004,26.6,1243,1212,27,22,2,5,8,5,0,0,0,0,1080,4,17,Hugo LarssonEint Frankfurt
Valladolid,Juanmi Latasa,1452,es ESP,FW,es La Liga,23,2001,15.5,260,232,26,3,1,3,5,0,0,0,0,0,154,2,1,Juanmi LatasaValladolid
Mallorca,Toni Lato,1453,es ESP,DF,es La Liga,26,1997,6.9,314,256,56,1,0,0,23,55,0,0,0,0,236,2,5,Toni LatoMallorca
Chelsea,Romeo Lavia,1454,be BEL,MF,eng Premier League,20,2004,8.9,424,419,3,3,3,3,0,0,0,0,0,0,389,2,1,Romeo LaviaChelsea
Torino,Valentino Lazaro,1455,at AUT,"DF,FW",it Serie A,28,1996,25.6,1172,979,190,24,0,1,145,109,57,32,22,0,880,3,27,Valentino LazaroTorino
Hellas Verona,Darko Lazovic,1456,rs SRB,"DF,MF",it Serie A,33,1990,16.2,505,435,68,2,2,0,70,54,12,8,3,0,315,2,23,Darko LazovicHellas Verona
Lazio,Manuel Lazzari,1457,it ITA,DF,it Serie A,30,1993,15.6,770,633,136,15,1,3,97,121,0,0,0,0,609,1,23,Manuel LazzariLazio
Brest,Julien Le Cardinal,1458,fr FRA,DF,fr Ligue 1,26,1997,15.3,815,778,35,28,1,12,6,1,0,0,0,0,704,2,2,Julien Le CardinalBrest
Brest,Jeremy Le Douaron,1459,fr FRA,FW,fr Ligue 1,26,1998,1.1,14,14,0,0,0,0,0,0,0,0,0,0,11,0,0,Jeremy Le DouaronBrest
Roma,Enzo Le Fee,1460,fr FRA,MF,it Serie A,24,2000,3.5,263,247,15,9,1,2,7,2,3,2,1,0,226,1,1,Enzo Le FeeRoma
Atletico Madrid,Robin Le Normand,1461,es ESP,DF,es La Liga,27,1996,23.9,1298,1263,34,26,0,5,1,4,0,0,0,0,1174,1,3,Robin Le NormandAtletico Madrid
Genoa,Nicola Leali,1462,it ITA,GK,it Serie A,31,1993,29.0,938,636,300,86,0,1,0,0,0,0,0,0,667,2,2,Nicola LealiGenoa
Milan,Rafael Leao,1463,pt POR,FW,it Serie A,25,1999,25.8,849,814,31,4,10,4,55,19,8,0,0,0,630,4,27,Rafael LeaoMilan
Montpellier,Benjamin Lecomte,1464,fr FRA,GK,fr Ligue 1,33,1991,30.0,1000,729,269,85,0,1,0,0,0,0,0,0,676,2,1,Benjamin LecomteMontpellier
Brest,Pierre Lees-Melou,1465,fr FRA,MF,fr Ligue 1,31,1993,17.0,1057,1015,39,31,8,21,22,6,2,2,0,0,902,3,19,Pierre Lees-MelouBrest
Angers,Jordan Lefort,1466,fr FRA,DF,fr Ligue 1,30,1993,34.0,1749,1649,90,80,5,9,12,5,0,0,0,0,1446,10,21,Jordan LefortAngers
Union Berlin,Diogo Leite,1467,pt POR,DF,de Bundesliga,25,1999,28.3,1398,1311,79,40,0,7,10,26,0,0,0,0,1099,8,19,Diogo LeiteUnion Berlin
Mainz 05,Maxim Leitsch,1468,de GER,DF,de Bundesliga,26,1998,7.5,370,340,30,5,0,0,3,15,0,0,0,0,289,0,2,Maxim LeitschMainz 05
Rayo Vallecano,Florian Lejeune,1469,fr FRA,DF,es La Liga,33,1991,36.9,2062,1955,105,85,0,35,8,6,0,0,0,0,1728,2,19,Florian LejeuneRayo Vallecano
Monza,Stefan Lekovic,1470,rs SRB,DF,it Serie A,20,2004,4.1,188,185,3,1,0,0,0,2,0,0,0,0,162,0,2,Stefan LekovicMonza
Athletic Club,Inigo Lekue,1471,es ESP,DF,es La Liga,31,1993,8.6,439,348,89,10,0,1,16,79,0,0,0,0,345,2,6,Inigo LekueAthletic Club
Venezia,Nunzio Lella,1472,it ITA,MF,it Serie A,24,2000,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Nunzio LellaVenezia
Atletico Madrid,Thomas Lemar,1473,fr FRA,MF,es La Liga,28,1995,0.9,68,61,7,4,0,0,3,1,2,0,0,0,57,0,1,Thomas LemarAtletico Madrid
Strasbourg,Felix Lemarechal,1474,fr FRA,"MF,FW",fr Ligue 1,20,2003,19.8,694,653,35,7,7,0,26,6,9,8,1,0,551,6,20,Felix LemarechalStrasbourg
Wolves,Mario Lemina,1475,ga GAB,"MF,DF",eng Premier League,30,1993,15.2,613,582,26,9,6,4,10,9,0,0,0,0,493,5,7,Mario LeminaWolves
Atletico Madrid,Clement Lenglet,1476,fr FRA,DF,es La Liga,29,1995,21.9,1364,1318,45,35,0,13,4,3,0,0,0,0,1193,1,13,Clement LengletAtletico Madrid
Fulham,Bernd Leno,1477,de GER,GK,eng Premier League,32,1992,38.0,1404,1160,243,71,0,0,0,0,0,0,0,0,1149,1,1,Bernd LenoFulham
Auxerre,Donovan Leon,1478,gf GUF,GK,fr Ligue 1,31,1992,32.0,1132,810,320,124,0,4,0,1,0,0,0,0,670,2,0,Donovan LeonAuxerre
Parma,Giovanni Leoni,1479,it ITA,DF,it Serie A,17,2006,13.3,641,592,48,27,0,3,3,18,0,0,0,0,562,1,4,Giovanni LeoniParma
Angers,Esteban Lepaul,1480,fr FRA,FW,fr Ligue 1,24,2000,18.1,359,331,25,0,1,3,15,2,0,0,0,0,241,3,15,Esteban LepaulAngers
Nantes,Johann Lepenant,1481,fr FRA,MF,fr Ligue 1,21,2002,22.8,725,703,21,3,2,0,16,8,1,1,0,0,582,1,30,Johann LepenantNantes
Crystal Palace,Jefferson Lerma,1482,co COL,"MF,DF",eng Premier League,29,1994,25.3,1119,1050,61,13,8,8,12,46,0,0,0,0,843,8,22,Jefferson LermaCrystal Palace
Nantes,Louis Leroux,1483,fr FRA,"MF,DF",fr Ligue 1,18,2006,9.1,300,282,18,3,0,1,6,13,0,0,0,0,248,0,8,Louis LerouxNantes
Barcelona,Robert Lewandowski,1484,pl POL,FW,es La Liga,35,1988,29.6,522,503,15,1,3,6,5,0,0,0,0,0,383,4,22,Robert LewandowskiBarcelona
Stuttgart,Jamie Leweling,1485,de GER,"MF,FW",de Bundesliga,23,2001,18.5,580,559,16,1,2,1,58,14,0,0,0,0,409,5,31,Jamie LewelingStuttgart
Manchester City,Rico Lewis,1486,eng ENG,"DF,MF",eng Premier League,19,2004,21.0,1312,1185,127,25,3,0,6,102,0,0,0,0,1201,0,22,Rico LewisManchester City
Brentford,Keane Lewis-Potter,1487,eng ENG,"DF,FW",eng Premier League,23,2001,34.4,1273,1112,153,8,5,9,78,139,5,2,0,0,982,8,29,Keane Lewis-PotterBrentford
Arsenal,Myles Lewis-Skelly,1488,eng ENG,DF,eng Premier League,17,2006,15.2,776,660,111,17,3,2,10,94,0,0,0,0,708,5,2,Myles Lewis-SkellyArsenal
Como,Ben Lhassine Kone,1489,ci CIV,MF,it Serie A,24,2000,0.6,24,22,2,2,0,0,0,0,0,0,0,0,23,0,0,Ben Lhassine KoneComo
Milan,Mattia Liberali,1490,it ITA,MF,it Serie A,17,2007,0.7,31,31,0,0,0,0,2,0,0,0,0,0,24,0,2,Mattia LiberaliMilan
Freiburg,Philipp Lienhart,1491,at AUT,DF,de Bundesliga,28,1996,30.8,2253,2089,156,54,0,18,9,48,0,0,0,0,1943,8,12,Philipp LienhartFreiburg
Manchester Utd,Matthijs de Ligt,1492,nl NED,DF,eng Premier League,24,1999,23.6,1380,1350,27,19,0,9,6,1,0,0,0,0,1241,3,11,Matthijs de LigtManchester Utd
Wolves,Pedro Lima,1493,br BRA,DF,eng Premier League,18,2006,0.8,38,31,7,0,0,0,5,7,0,0,0,0,28,0,2,Pedro LimaWolves
Manchester Utd,Victor Lindelof,1494,se SWE,DF,eng Premier League,30,1994,7.8,386,376,10,4,1,0,1,5,0,0,0,0,362,0,1,Victor LindelofManchester Utd
Everton,Jesper Lindstrom,1495,dk DEN,FW,eng Premier League,24,2000,13.8,428,383,42,11,1,0,71,6,25,12,8,2,297,3,18,Jesper LindstromEverton
Torino,Karol Linetty,1496,pl POL,MF,it Serie A,29,1995,17.1,565,542,22,14,1,3,4,1,2,2,0,0,478,1,9,Karol LinettyTorino
Atletico Madrid,Samuel Lino,1497,br BRA,"MF,DF",es La Liga,24,1999,17.2,821,792,28,3,1,3,41,23,2,0,0,0,652,1,31,Samuel LinoAtletico Madrid
Marseille,Pol Lirola,1498,es ESP,DF,fr Ligue 1,26,1997,7.6,397,351,45,3,1,0,14,42,0,0,0,0,330,1,13,Pol LirolaMarseille
Hellas Verona,Dailon Livramento,1499,cv CPV,"FW,MF",it Serie A,23,2001,10.4,180,177,2,0,0,3,18,0,0,0,0,0,97,1,14,Dailon LivramentoHellas Verona
Newcastle Utd,Valentino Livramento,1500,eng ENG,DF,eng Premier League,21,2002,31.6,1643,1387,251,17,1,1,52,233,1,0,0,0,1403,5,27,Valentino LivramentoNewcastle Utd
Union Berlin,Marin Ljubicic,1501,hr CRO,"FW,MF",de Bundesliga,22,2002,3.1,60,56,4,0,0,1,1,1,0,0,0,0,34,0,3,Marin LjubicicUnion Berlin
Mallorca,Javier Llabres,1502,es ESP,FW,es La Liga,21,2002,0.6,24,24,0,0,0,0,4,0,0,0,0,0,20,0,0,Javier LlabresMallorca
Betis,Diego Llorente,1503,es ESP,DF,es La Liga,30,1993,28.0,1595,1533,59,53,0,11,1,5,0,0,0,0,1383,3,9,Diego LlorenteBetis
Atletico Madrid,Marcos Llorente,1504,es ESP,"DF,MF",es La Liga,29,1995,27.9,1563,1371,183,13,1,2,62,170,0,0,0,0,1337,9,34,Marcos LlorenteAtletico Madrid
Le Havre,Gautier Lloris,1505,fr FRA,DF,fr Ligue 1,29,1995,30.8,1511,1464,42,34,0,6,3,4,0,0,0,0,1317,5,10,Gautier LlorisLe Havre
Betis,Giovani Lo Celso,1506,ar ARG,"MF,FW",es La Liga,28,1996,16.2,970,812,157,73,15,8,95,11,67,36,22,0,766,1,21,Giovani Lo CelsoBetis
Napoli,Stanislav Lobotka,1507,sk SVK,MF,it Serie A,29,1994,29.3,1762,1719,38,38,3,10,2,0,0,0,0,0,1600,5,10,Stanislav LobotkaNapoli
Juventus,Manuel Locatelli,1508,it ITA,MF,it Serie A,26,1998,31.4,2431,2314,108,91,3,33,24,8,8,2,4,0,2134,9,14,Manuel LocatelliJuventus
Brest,Bradley Locko,1509,fr FRA,DF,fr Ligue 1,22,2002,1.1,42,35,7,0,0,0,1,7,0,0,0,0,37,0,3,Bradley LockoBrest
Milan,Ruben Loftus-Cheek,1510,eng ENG,MF,it Serie A,28,1996,11.5,485,478,7,7,1,2,7,0,0,0,0,0,435,0,4,Ruben Loftus-CheekMilan
Le Havre,Elysee Logbo,1511,fr FRA,FW,fr Ligue 1,20,2004,0.3,4,3,1,0,0,0,0,0,0,0,0,0,3,0,0,Elysee LogboLe Havre
Las Palmas,Enzo Loiodice,1512,fr FRA,MF,es La Liga,23,2000,7.6,443,429,14,6,0,3,10,1,7,3,1,1,377,0,11,Enzo LoiodiceLas Palmas
Newcastle Utd,Sean Longstaff,1513,eng ENG,MF,eng Premier League,26,1997,8.9,349,344,4,2,2,3,5,0,1,0,0,1,295,1,12,Sean LongstaffNewcastle Utd
Atalanta,Ademola Lookman,1514,ng NGA,"MF,FW",it Serie A,26,1997,25.0,944,842,97,4,3,1,124,9,84,39,23,1,684,5,35,Ademola LookmanAtalanta
Nantes,Anthony Lopes,1515,pt POR,GK,fr Ligue 1,33,1990,17.4,547,376,171,75,0,2,0,0,0,0,0,0,356,0,0,Anthony LopesNantes
Mallorca,David Lopez,1516,es ESP,DF,es La Liga,21,2003,1.9,53,52,0,0,0,0,0,0,0,0,0,0,43,1,1,David LopezMallorca
Girona,David Lopez,1517,es ESP,DF,es La Liga,34,1989,27.0,2041,1946,92,64,0,16,3,9,0,0,0,0,1879,3,8,David LopezGirona
Valencia,Diego Lopez,1518,es ESP,"MF,FW",es La Liga,22,2002,30.4,943,904,36,0,5,3,67,33,0,0,0,0,680,3,47,Diego LopezValencia
Celta Vigo,Fer Lopez,1519,,"FW,MF",es La Liga,,,7.5,260,254,2,0,7,4,2,0,2,1,1,0,220,4,5,Fer LopezCelta Vigo
Barcelona,Fermin Lopez,1520,es ESP,"MF,FW",es La Liga,21,2003,13.9,675,624,48,6,8,5,47,4,28,12,2,1,552,3,12,Fermin LopezBarcelona
Real Sociedad,Javi Lopez,1521,es ESP,DF,es La Liga,22,2002,21.5,1038,783,254,21,0,8,60,233,0,0,0,0,814,1,27,Javi LopezReal Sociedad
Girona,Pau Lopez,1522,es ESP,GK,es La Liga,29,1994,0.5,24,16,8,1,0,0,0,0,0,0,0,0,18,0,0,Pau LopezGirona
Leganes,Roberto Lopez,1523,es ESP,MF,es La Liga,24,2000,4.4,208,176,28,13,0,3,24,1,12,7,3,0,152,4,6,Roberto LopezLeganes
Rayo Vallecano,Unai Lopez,1524,es ESP,MF,es La Liga,28,1995,19.0,1236,1172,62,22,5,8,33,12,19,10,5,0,1041,2,19,Unai LopezRayo Vallecano
Celta Vigo,Iker Losada,1525,es ESP,"FW,MF",es La Liga,22,2001,4.0,128,127,0,0,3,2,5,0,0,0,0,0,96,1,4,Iker LosadaCelta Vigo
Betis,Iker Losada,1526,es ESP,"MF,FW",es La Liga,22,2001,3.7,142,141,1,1,2,1,4,0,0,0,0,0,107,0,6,Iker LosadaBetis
Bochum,Anthony Losilla,1527,fr FRA,MF,de Bundesliga,38,1986,12.6,419,410,8,8,0,1,4,0,0,0,0,0,321,1,8,Anthony LosillaBochum
Nice,Jordan Lotomba,1528,ch SUI,"MF,DF",fr Ligue 1,25,1998,0.4,21,19,2,0,0,0,2,2,0,0,0,0,17,0,0,Jordan LotombaNice
Nice,Tom Louchet,1529,fr FRA,"DF,MF",fr Ligue 1,21,2003,8.6,454,377,74,13,0,0,35,53,8,3,4,0,371,3,10,Tom LouchetNice
Udinese,Sandi Lovric,1530,si SVN,MF,it Serie A,26,1998,25.6,952,847,102,44,3,6,90,9,49,5,31,0,749,3,17,Sandi LovricUdinese
Espanyol,Pol Lozano,1531,es ESP,MF,es La Liga,24,1999,21.6,828,777,47,32,4,8,19,5,10,2,5,0,694,4,14,Pol LozanoEspanyol
Udinese,Lorenzo Lucca,1532,it ITA,FW,it Serie A,23,2000,26.1,375,328,47,1,1,3,5,0,0,0,0,0,240,0,10,Lorenzo LuccaUdinese
Bologna,Jhon Lucumi,1533,co COL,DF,it Serie A,26,1998,29.0,2040,1923,113,69,0,16,4,6,0,0,0,0,1859,4,7,Jhon LucumiBologna
Dortmund,Yannik Luhrs,1534,de GER,DF,de Bundesliga,20,2003,1.4,166,158,7,2,0,0,0,1,0,0,0,0,152,1,1,Yannik LuhrsDortmund
Valencia,Jose Luis Gaya,1535,es ESP,DF,es La Liga,29,1995,20.0,996,823,170,13,1,5,84,157,0,0,0,0,775,3,20,Jose Luis GayaValencia
Cagliari,Jose Luis Palomino,1536,ar ARG,DF,it Serie A,34,1990,12.0,586,543,41,16,0,3,0,24,0,0,0,0,508,2,5,Jose Luis PalominoCagliari
Juventus,Douglas Luiz,1537,br BRA,MF,it Serie A,26,1998,5.9,438,400,37,15,1,4,26,4,18,6,11,0,379,1,1,Douglas LuizJuventus
Napoli,Romelu Lukaku,1538,be BEL,FW,it Serie A,31,1993,31.6,497,452,45,1,6,2,4,0,0,0,0,0,353,0,21,Romelu LukakuNapoli
RB Leipzig,Castello Lukeba,1539,fr FRA,DF,de Bundesliga,21,2002,17.5,1238,1155,82,23,0,9,11,55,0,0,0,0,1054,1,22,Castello LukebaRB Leipzig
Sevilla,Dodi Lukebakio,1540,be BEL,FW,es La Liga,26,1997,34.4,1052,945,101,24,7,12,124,8,64,43,12,0,780,6,30,Dodi LukebakioSevilla
Fulham,Sasa Lukic,1541,rs SRB,MF,eng Premier League,27,1996,26.0,1260,1171,87,38,1,4,62,1,42,12,24,0,1100,2,23,Sasa LukicFulham
Strasbourg,Milos Lukovic,1542,rs SRB,"FW,MF",fr Ligue 1,18,2005,0.1,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,Milos LukovicStrasbourg
Southampton,Joe Lumley,1543,eng ENG,GK,eng Premier League,29,1995,3.0,151,128,22,7,0,0,0,0,0,0,0,0,106,1,0,Joe LumleySouthampton
Mallorca,Daniel Luna,1544,co COL,MF,es La Liga,21,2003,0.2,13,11,2,0,0,0,3,1,1,1,0,0,8,0,0,Daniel LunaMallorca
Real Madrid,Andriy Lunin,1545,ua UKR,GK,es La Liga,25,1999,7.0,202,147,53,8,0,1,0,0,0,0,0,0,174,2,1,Andriy LuninReal Madrid
Ipswich Town,Massimo Luongo,1546,au AUS,MF,eng Premier League,31,1992,2.2,66,64,1,1,0,1,1,0,0,0,0,0,50,1,1,Massimo LuongoIpswich Town
Cagliari,Sebastiano Luperto,1547,it ITA,DF,it Serie A,27,1996,36.0,1568,1492,68,46,1,2,8,7,0,0,0,0,1315,8,12,Sebastiano LupertoCagliari
Cagliari,Zito Luvumbo,1548,ao ANG,"FW,MF",it Serie A,22,2002,17.8,302,287,15,1,0,1,65,4,2,1,0,0,181,0,16,Zito LuvumboCagliari
Bologna,Charalambos Lykogiannis,1549,gr GRE,DF,it Serie A,30,1993,11.6,706,542,161,43,0,11,106,82,36,11,21,0,504,3,20,Charalambos LykogiannisBologna
Werder Bremen,Senne Lynen,1550,be BEL,MF,de Bundesliga,25,1999,30.4,1326,1272,49,44,2,4,5,1,0,0,0,0,1099,5,16,Senne LynenWerder Bremen
Parma,Mathias Lovik,1551,no NOR,"DF,FW",it Serie A,20,2003,1.0,54,45,8,0,0,0,3,8,0,0,0,0,40,1,2,Mathias LovikParma
Montpellier,Othmane Maamma,1552,ma MAR,"FW,MF",fr Ligue 1,18,2005,4.0,78,75,3,0,1,0,12,3,0,0,0,0,51,0,2,Othmane MaammaMontpellier
Aston Villa,Ian Maatsen,1553,nl NED,DF,eng Premier League,22,2002,12.7,747,646,101,16,1,2,51,80,5,2,0,0,609,0,25,Ian MaatsenAston Villa
Liverpool,Alexis Mac Allister,1554,ar ARG,MF,eng Premier League,25,1998,28.9,1524,1403,116,35,6,3,86,9,71,26,36,0,1273,5,31,Alexis Mac AllisterLiverpool
Lens,Deiver Machado,1555,co COL,"DF,MF",fr Ligue 1,30,1993,20.1,913,762,149,8,1,1,51,136,5,3,0,0,763,2,16,Deiver MachadoLens
Angers,Lanroy Machine,1556,fr FRA,FW,fr Ligue 1,18,2005,0.1,5,5,0,0,0,0,1,0,0,0,0,0,3,0,0,Lanroy MachineAngers
Holstein Kiel,Shuto Machino,1557,jp JPN,"FW,MF",de Bundesliga,24,1999,21.7,707,561,143,6,3,0,35,112,7,4,2,0,454,3,27,Shuto MachinoHolstein Kiel
Valladolid,Darwin Machis,1558,ve VEN,"MF,FW",es La Liga,31,1993,7.1,268,222,45,14,1,4,68,7,24,14,5,0,160,1,7,Darwin MachisValladolid
Saint-Etienne,Yvann Macon,1559,fr FRA,DF,fr Ligue 1,25,1998,8.8,408,345,62,6,0,1,23,56,0,0,0,0,301,1,11,Yvann MaconSaint-Etienne
Tottenham,James Maddison,1560,eng ENG,MF,eng Premier League,27,1996,20.1,1256,1118,132,48,12,5,98,5,59,37,8,0,1021,6,15,James MaddisonTottenham
Auxerre,Eros Maddy,1561,nl NED,DF,fr Ligue 1,23,2001,0.2,6,6,0,0,0,0,0,0,0,0,0,0,6,0,0,Eros MaddyAuxerre
Chelsea,Noni Madueke,1562,eng ENG,FW,eng Premier League,22,2002,22.6,685,660,20,1,1,4,63,18,1,0,0,0,530,5,15,Noni MaduekeChelsea
Mallorca,Pablo Maffeo,1563,es ESP,DF,es La Liga,27,1997,26.3,1039,804,226,10,4,2,96,216,0,0,0,0,736,9,33,Pablo MaffeoMallorca
Arsenal,Gabriel Magalhaes,1564,br BRA,DF,eng Premier League,26,1997,26.3,1641,1560,80,51,1,8,9,3,0,0,0,0,1480,1,8,Gabriel MagalhaesArsenal
Monaco,Soungoutou Magassa,1565,fr FRA,MF,fr Ligue 1,20,2003,11.4,638,621,13,13,4,7,7,0,0,0,0,0,540,4,9,Soungoutou MagassaMonaco
Brentford,Edmond-Paris Maghoma,1566,eng ENG,"MF,FW",eng Premier League,23,2001,1.3,84,83,1,1,0,0,3,0,0,0,0,0,76,0,2,Edmond-Paris MaghomaBrentford
Hellas Verona,Giangiacomo Magnani,1567,it ITA,DF,it Serie A,28,1995,11.8,393,373,19,14,0,2,2,5,0,0,0,0,317,1,2,Giangiacomo MagnaniHellas Verona
Brest,Hugo Magnetti,1568,fr FRA,MF,fr Ligue 1,26,1998,25.8,1083,1026,52,38,0,8,18,11,0,0,0,0,920,5,17,Hugo MagnettiBrest
Toulouse,Frank Magri,1569,cm CMR,"FW,MF",fr Ligue 1,24,1999,16.8,251,223,25,0,3,1,4,3,0,0,0,0,178,3,9,Frank MagriToulouse
Manchester Utd,Harry Maguire,1570,eng ENG,DF,eng Premier League,31,1993,19.5,1128,1083,41,26,0,9,4,1,0,0,0,0,965,4,5,Harry MaguireManchester Utd
Real Sociedad,Jon Magunazelaia,1571,es ESP,MF,es La Liga,23,2001,0.1,13,13,0,0,1,0,0,0,0,0,0,0,7,0,1,Jon MagunazelaiaReal Sociedad
Augsburg,Arne Maier,1572,de GER,MF,de Bundesliga,25,1999,10.4,588,511,75,24,2,3,67,0,46,15,23,0,450,2,17,Arne MaierAugsburg
Milan,Mike Maignan,1573,fr FRA,GK,it Serie A,29,1995,36.6,1553,1281,268,73,2,2,0,1,0,0,0,0,1338,4,1,Mike MaignanMilan
Heidenheim,Patrick Mainka,1574,de GER,DF,de Bundesliga,29,1994,34.0,1669,1631,33,28,1,1,4,3,0,0,0,0,1425,5,17,Patrick MainkaHeidenheim
Manchester Utd,Kobbie Mainoo,1575,eng ENG,MF,eng Premier League,19,2005,18.3,836,808,23,13,2,4,7,6,0,0,0,0,723,5,17,Kobbie MainooManchester Utd
Lyon,Ainsley Maitland-Niles,1576,eng ENG,DF,fr Ligue 1,26,1997,22.1,1234,1051,176,17,4,7,48,148,11,7,2,0,1049,7,28,Ainsley Maitland-NilesLyon
Monaco,Radoslaw Majecki,1577,pl POL,GK,fr Ligue 1,24,1999,15.0,407,293,114,27,0,0,0,0,0,0,0,0,304,0,0,Radoslaw MajeckiMonaco
Wolfsburg,Lovro Majer,1578,hr CRO,MF,de Bundesliga,26,1998,3.4,141,125,15,3,1,2,17,2,10,5,5,0,98,1,3,Lovro MajerWolfsburg
Brest,Hamidou Makalou,1579,ml MLI,"FW,MF",fr Ligue 1,18,2006,0.4,18,18,0,0,1,0,0,0,0,0,0,0,17,0,0,Hamidou MakalouBrest
Freiburg,Jordy Makengo,1580,fr FRA,DF,de Bundesliga,22,2001,8.3,306,268,36,1,0,0,25,35,0,0,0,0,242,2,3,Jordy MakengoFreiburg
Cagliari,Antoine Makoumbou,1581,cg CGO,MF,it Serie A,26,1998,23.9,1183,1141,39,37,3,2,7,2,0,0,0,0,1051,3,11,Antoine MakoumbouCagliari
Montpellier,Nikola Maksimovic,1582,rs SRB,DF,fr Ligue 1,32,1991,6.5,310,290,19,9,0,2,0,1,0,0,0,0,288,1,2,Nikola MaksimovicMontpellier
Manchester Utd,Tyrell Malacia,1583,nl NED,DF,eng Premier League,24,1999,1.1,55,49,6,0,0,0,1,6,0,0,0,0,49,0,2,Tyrell MalaciaManchester Utd
Stuttgart,Jarzinho Malanga,1584,de GER,DF,de Bundesliga,18,2006,0.0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,Jarzinho MalangaStuttgart
Werder Bremen,Julian Malatini,1585,ar ARG,DF,de Bundesliga,23,2001,5.0,302,296,6,4,1,0,3,2,0,0,0,0,261,0,4,Julian MalatiniWerder Bremen
Monza,Daniel Maldini,1586,it ITA,"MF,FW",it Serie A,22,2001,14.5,382,344,37,9,1,4,38,2,11,4,7,0,261,1,14,Daniel MaldiniMonza
Atalanta,Daniel Maldini,1587,it ITA,"FW,MF",it Serie A,22,2001,2.9,97,94,3,0,0,1,5,0,3,0,3,0,61,0,5,Daniel MaldiniAtalanta
Empoli,Youssef Maleh,1588,ma MAR,MF,it Serie A,25,1998,16.8,560,542,13,8,1,1,16,4,0,0,0,0,398,5,12,Youssef MalehEmpoli
Aston Villa,Donyell Malen,1589,nl NED,FW,eng Premier League,25,1999,3.4,77,71,5,0,0,2,8,1,0,0,0,0,53,1,3,Donyell MalenAston Villa
Dortmund,Donyell Malen,1590,nl NED,"FW,MF",de Bundesliga,25,1999,6.8,190,180,9,3,1,3,13,5,1,0,0,0,136,1,10,Donyell MalenDortmund
Genoa,Ruslan Malinovskyi,1591,ua UKR,"MF,FW",it Serie A,31,1993,4.3,201,194,7,3,6,1,3,2,2,1,1,0,164,0,4,Ruslan MalinovskyiGenoa
Heidenheim,Lennard Maloney,1592,us USA,MF,de Bundesliga,24,1999,8.4,271,267,3,3,0,2,1,0,0,0,0,0,194,1,6,Lennard MaloneyHeidenheim
Mainz 05,Lennard Maloney,1593,us USA,MF,de Bundesliga,24,1999,0.3,14,14,0,0,1,0,0,0,0,0,0,0,8,0,1,Lennard MaloneyMainz 05
Lille,Aaron Malouda,1594,fr FRA,FW,fr Ligue 1,18,2005,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aaron MaloudaLille
Valencia,Giorgi Mamardashvili,1595,ge GEO,GK,es La Liga,23,2000,34.0,1080,742,336,117,0,3,0,0,0,0,0,0,732,2,1,Giorgi MamardashviliValencia
Parma,Dennis Man,1596,ro ROU,"FW,MF",it Serie A,25,1998,22.2,793,736,56,8,4,3,33,12,30,7,1,0,631,1,28,Dennis ManParma
Brest,Hianga Mananga Mbock,1597,fr FRA,MF,fr Ligue 1,24,1999,0.2,17,17,0,0,0,0,0,0,0,0,0,0,14,0,0,Hianga Mananga MbockBrest
Roma,Gianluca Mancini,1598,it ITA,DF,it Serie A,28,1996,34.9,1965,1856,107,84,1,4,33,22,0,0,0,0,1689,2,19,Gianluca ManciniRoma
Rennes,Steve Mandanda,1599,fr FRA,GK,fr Ligue 1,39,1985,16.5,499,388,111,38,0,0,0,0,0,0,0,0,353,0,0,Steve MandandaRennes
