Squad,Player,Rk,Nation,Pos,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,PlSqu
Stuttgart,Jacob Bruun Larsen,403,dk DEN,"MF,FW",de Bundesliga,25,1998,4.6,163,154,8,1,2,3,18,2,5,3,1,0,115,1,6,Jacob Bruun LarsenStuttgart
Inter,Tajon Buchanan,404,ca CAN,"DF,FW",it Serie A,25,1999,1.1,48,41,7,2,0,0,3,5,0,0,0,0,40,0,1,Tajon BuchananInter
Villarreal,Tajon Buchanan,405,ca CAN,MF,es La Liga,25,1999,4.6,144,136,7,1,0,0,16,6,0,0,0,0,106,1,4,Tajon BuchananVillarreal
Osasuna,Ante Budimir,406,hr CRO,FW,es La Liga,33,1991,32.8,426,399,24,1,1,0,6,1,0,0,0,0,239,3,9,Ante BudimirOsasuna
Aston Villa,Emi Buendia,407,ar ARG,"MF,FW",eng Premier League,27,1996,1.1,60,59,1,1,1,0,0,0,0,0,0,0,49,0,0,Emi BuendiaAston Villa
Leverkusen,Emi Buendia,408,ar ARG,MF,de Bundesliga,27,1996,2.9,157,155,1,1,3,1,3,0,0,0,0,0,123,1,2,Emi BuendiaLeverkusen
Sevilla,Manu Bueno,409,es ESP,"MF,FW",es La Liga,20,2004,1.6,74,72,2,2,0,0,1,0,0,0,0,0,67,0,0,Manu BuenoSevilla
Wolves,Santiago Bueno,410,uy URU,DF,eng Premier League,25,1998,18.7,842,807,34,21,1,3,0,4,0,0,0,0,741,1,9,Santiago BuenoWolves
Athletic Club,Endika Bujan,411,es ESP,FW,es La Liga,21,2003,0.1,5,5,0,0,0,0,1,0,0,0,0,0,4,0,0,Endika BujanAthletic Club
Hoffenheim,Marius Bulter,412,de GER,"FW,DF",de Bundesliga,31,1993,19.2,586,530,55,2,3,3,84,46,0,0,0,0,394,1,31,Marius BulterHoffenheim
Leicester City,Facundo Buonanotte,413,ar ARG,"FW,MF",eng Premier League,19,2004,16.9,572,501,67,24,7,4,43,10,26,19,1,0,437,4,9,Facundo BuonanotteLeicester City
Napoli,Alessandro Buongiorno,414,it ITA,DF,it Serie A,25,1999,21.4,1279,1223,53,39,0,2,1,3,0,0,0,0,1161,3,8,Alessandro BuongiornoNapoli
Ipswich Town,Cameron Burgess,415,au AUS,DF,eng Premier League,28,1995,17.1,774,710,60,28,1,1,0,0,0,0,0,0,626,4,7,Cameron BurgessIpswich Town
Mainz 05,Jonathan Burkardt,416,de GER,FW,de Bundesliga,24,2000,23.4,523,475,47,0,2,8,27,6,0,0,0,0,379,1,24,Jonathan BurkardtMainz 05
Werder Bremen,Oliver Burke,417,sct SCO,FW,de Bundesliga,27,1997,10.1,299,292,5,0,0,0,20,4,0,0,0,0,179,2,16,Oliver BurkeWerder Bremen
Newcastle Utd,Dan Burn,418,eng ENG,DF,eng Premier League,32,1992,37.0,2006,1968,37,25,0,12,3,8,0,0,0,0,1774,1,16,Dan BurnNewcastle Utd
Lecce,Rares-Catalin Burnete,419,ro ROU,FW,it Serie A,20,2004,0.3,11,9,2,0,0,0,0,0,0,0,0,0,7,0,0,Rares-Catalin BurneteLecce
Ipswich Town,Wes Burns,420,wls WAL,"FW,DF",eng Premier League,29,1994,10.3,253,244,9,1,0,1,46,8,0,0,0,0,153,0,24,Wes BurnsIpswich Town
Heidenheim,Marnon Busch,421,de GER,"DF,MF",de Bundesliga,29,1994,15.5,845,698,142,25,1,13,52,116,1,0,1,0,614,5,16,Marnon BuschHeidenheim
Venezia,Gianluca Busio,422,us USA,MF,it Serie A,22,2002,28.0,917,895,19,9,3,8,29,5,1,1,0,0,696,3,39,Gianluca BusioVenezia
Reims,Aurelio Buta,423,pt POR,DF,fr Ligue 1,27,1997,21.9,991,792,196,14,0,0,32,181,0,0,0,0,819,3,18,Aurelio ButaReims
Como,Jean Butez,424,fr FRA,GK,it Serie A,29,1995,18.5,752,666,86,43,0,0,0,0,0,0,0,0,588,0,1,Jean ButezComo
