Squad,Player,Rk,Nation,Pos,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,PlSqu
Real Sociedad,Brais Mendez,1719,es ESP,MF,es La Liga,27,1997,17.0,1020,17,129,527,369,58,1020,50,14,28.0,31,62.0,554,2635,1127,32,17,8,37,34,744,86,Brais MendezReal Sociedad
Nice,Antoine Mendy,1720,sn SEN,DF,fr Ligue 1,20,2004,9.2,595,44,222,323,59,11,595,12,5,41.7,5,41.7,314,1608,871,12,10,1,11,4,365,15,Antoine MendyNice
Real Madrid,Ferland Mendy,1721,fr FRA,DF,es La Liga,29,1995,11.2,739,30,188,408,149,4,739,6,3,50.0,3,50.0,447,1626,717,12,10,1,10,9,535,40,Ferland MendyReal Madrid
Lens,Nampalys Mendy,1722,sn SEN,MF,fr Ligue 1,32,1992,6.5,357,11,77,222,58,3,357,4,1,25.0,3,75.0,204,808,338,2,5,0,7,9,245,3,Nampalys MendyLens
Betis,Nobel Mendy,1723,fr FRA,DF,es La Liga,19,2004,1.2,71,18,43,28,0,0,71,0,0,,0,,35,131,68,0,0,0,1,0,38,0,Nobel MendyBetis
Auxerre,Gideon Mensah,1724,gh GHA,DF,fr Ligue 1,26,1998,25.3,1627,95,542,767,338,15,1627,54,29,53.7,23,42.6,880,4696,2499,52,32,7,39,31,888,101,Gideon MensahAuxerre
Napoli,Alex Meret,1725,it ITA,GK,it Serie A,27,1997,33.4,1290,1010,1284,6,0,0,1290,0,0,,0,,775,3529,1930,0,0,0,1,0,769,0,Alex MeretNapoli
Arsenal,Mikel Merino,1726,es ESP,"MF,FW",eng Premier League,28,1996,17.6,783,37,140,330,323,79,783,23,9,39.1,10,43.5,388,1518,747,11,13,4,24,27,504,94,Mikel MerinoArsenal
Marseille,Quentin Merlin,1727,fr FRA,DF,fr Ligue 1,22,2002,17.7,1296,17,207,566,535,49,1296,19,4,21.1,13,68.4,732,3338,1591,40,30,9,20,9,924,169,Quentin MerlinMarseille
Valladolid,Victor Meseguer,1728,es ESP,MF,es La Liga,25,1999,4.6,234,5,59,124,51,11,234,4,1,25.0,3,75.0,100,349,151,2,1,0,7,3,151,22,Victor MeseguerValladolid
Toulouse,Rafik Messali,1729,fr FRA,DF,fr Ligue 1,21,2003,5.1,298,12,71,132,100,12,298,9,4,44.4,5,55.6,155,897,454,13,7,5,16,12,176,29,Rafik MessaliToulouse
Genoa,Junior Messias,1730,br BRA,"MF,FW",it Serie A,33,1991,9.4,397,23,63,192,151,18,396,44,10,22.7,25,56.8,226,1782,1027,32,26,5,34,5,251,49,Junior MessiasGenoa
St. Pauli,Connor Metcalfe,1731,au AUS,"MF,FW",de Bundesliga,24,1999,4.0,156,10,38,69,52,4,156,6,3,50.0,1,16.7,58,296,165,6,5,2,5,0,80,11,Connor MetcalfeSt. Pauli
St. Pauli,Karol Mets,1732,ee EST,DF,de Bundesliga,31,1993,10.0,736,99,360,346,32,8,736,1,0,0.0,1,100.0,343,1424,736,5,6,0,4,0,466,2,Karol MetsSt. Pauli
Lille,Thomas Meunier,1733,be BEL,DF,fr Ligue 1,32,1991,21.4,1736,71,393,840,514,58,1736,28,14,50.0,13,46.4,899,5120,2521,64,49,5,24,11,1122,148,Thomas MeunierLille
Dortmund,Alexander Meyer,1734,de GER,GK,de Bundesliga,33,1991,2.0,87,64,86,1,0,0,87,0,0,,0,,51,295,130,0,0,0,0,0,42,0,Alexander MeyerDortmund
Chelsea,Shumaira Mheuka,1735,eng ENG,MF,eng Premier League,16,2007,0.0,2,0,0,0,2,1,2,0,0,,0,,1,0,0,0,0,0,0,0,2,0,Shumaira MheukaChelsea
Monaco,Lucas Michal,1736,fr FRA,"FW,MF",fr Ligue 1,19,2005,1.3,64,2,7,25,35,6,64,4,1,25.0,2,50.0,38,269,140,4,6,1,1,3,44,11,Lucas MichalMonaco
Hoffenheim,Florian Micheler,1737,at AUT,MF,de Bundesliga,19,2005,0.4,12,0,2,6,4,0,12,1,1,100.0,0,0.0,11,48,28,1,1,0,0,0,10,1,Florian MichelerHoffenheim
Leganes,Miguel,1738,es ESP,FW,es La Liga,24,1999,19.2,472,26,51,205,222,60,470,36,8,22.2,25,69.4,258,1047,343,14,17,9,72,26,327,90,MiguelLeganes
Parma,Valentin Mihaila,1739,ro ROU,"FW,MF",it Serie A,24,2000,14.3,582,5,58,226,311,31,582,27,10,37.0,14,51.9,332,1995,835,25,26,11,29,20,389,72,Valentin MihailaParma
Lyon,Georges Mikautadze,1740,ge GEO,FW,fr Ligue 1,23,2000,16.1,653,9,45,259,357,119,649,59,17,28.8,39,66.1,402,2305,919,37,16,21,49,20,510,140,Georges MikautadzeLyon
Saint-Etienne,Igor Miladinovic,1741,rs SRB,"FW,MF",fr Ligue 1,21,2003,0.3,20,2,7,8,5,0,20,1,0,0.0,1,100.0,10,41,10,0,1,0,1,1,14,1,Igor MiladinovicSaint-Etienne
Nott'ham Forest,Nikola Milenkovic,1742,rs SRB,DF,eng Premier League,26,1997,37.0,1412,257,775,552,89,64,1412,1,1,100.0,0,0.0,547,2345,1116,3,3,2,4,2,727,6,Nikola MilenkovicNott'ham Forest
Newcastle Utd,Lewis Miley,1743,eng ENG,MF,eng Premier League,18,2006,3.5,235,5,44,124,68,6,235,3,1,33.3,1,33.3,112,544,202,2,2,0,8,1,163,8,Lewis MileyNewcastle Utd
Torino,Vanja Milinkovic-Savic,1744,rs SRB,GK,it Serie A,27,1997,37.0,1737,1199,1706,32,0,0,1737,0,0,,0,,1112,6083,3843,0,0,0,1,1,889,0,Vanja Milinkovic-SavicTorino
Real Madrid,Eder Militao,1745,br BRA,DF,es La Liga,26,1998,10.4,819,92,395,395,33,13,819,8,5,62.5,3,37.5,533,2738,1593,7,7,0,6,3,603,1,Eder MilitaoReal Madrid
Getafe,Luis Milla,1746,es ESP,MF,es La Liga,29,1994,31.9,1802,43,251,1049,524,20,1801,39,21,53.8,14,35.9,799,3920,2139,32,37,4,46,17,890,30,Luis MillaGetafe
Espanyol,Pere Milla,1747,es ESP,"MF,FW",es La Liga,31,1992,5.1,239,5,44,107,91,17,239,7,2,28.6,4,57.1,117,536,239,9,5,4,16,6,140,27,Pere MillaEspanyol
Stuttgart,Enzo Millot,1748,fr FRA,"MF,FW",de Bundesliga,22,2002,20.5,1397,9,180,760,470,75,1396,67,31,46.3,35,52.2,848,4659,1826,44,34,12,46,36,1067,123,Enzo MillotStuttgart
Brighton,James Milner,1749,eng ENG,MF,eng Premier League,38,1986,1.9,93,3,13,49,31,4,93,1,1,100.0,0,0.0,47,223,97,1,1,0,0,0,59,10,James MilnerBrighton
Bayern Munich,Kim Min-jae,1750,kr KOR,DF,de Bundesliga,27,1996,25.4,2764,161,911,1762,101,14,2764,5,3,60.0,2,40.0,1644,6867,3311,16,23,1,14,5,2098,5,Kim Min-jaeBayern Munich
Cagliari,Yerry Mina,1751,co COL,DF,it Serie A,29,1994,28.5,1797,332,1047,686,89,43,1797,8,3,37.5,2,25.0,948,4858,2737,17,11,0,20,13,969,9,Yerry MinaCagliari
Monaco,Takumi Minamino,1752,jp JPN,"MF,FW",fr Ligue 1,29,1995,24.8,1016,24,95,451,479,135,1016,40,12,30.0,24,60.0,567,3076,1496,51,28,27,56,23,709,193,Takumi MinaminoMonaco
Montpellier,Lucas Mincarelli,1753,fr FRA,DF,fr Ligue 1,20,2004,7.9,462,35,181,207,77,8,462,5,1,20.0,4,80.0,255,1441,819,15,11,2,5,2,297,16,Lucas MincarelliMontpellier
Aston Villa,Tyrone Mings,1754,eng ENG,DF,eng Premier League,31,1993,12.4,794,146,405,346,47,17,794,3,2,66.7,1,33.3,484,2662,1365,7,13,1,3,1,532,1,Tyrone MingsAston Villa
Celta Vigo,Oscar Mingueza,1755,es ESP,"MF,DF",es La Liga,25,1999,30.3,2460,63,598,1123,759,42,2460,60,25,41.7,31,51.7,1386,6489,3345,69,62,12,41,14,1692,194,Oscar MinguezaCelta Vigo
Girona,Kim Minsu,1756,kr KOR,"MF,FW",es La Liga,18,2006,0.2,18,0,0,8,10,0,18,2,0,0.0,2,100.0,12,62,9,0,0,0,3,1,15,2,Kim MinsuGirona
Brighton,Yankuba Minteh,1757,gm GAM,"FW,MF",eng Premier League,20,2004,20.4,836,30,135,228,491,146,836,98,46,46.9,43,43.9,481,3573,2105,90,24,67,53,28,511,201,Yankuba MintehBrighton
Girona,Bojan Miovski,1758,mk MKD,FW,es La Liga,25,1999,9.7,182,5,20,73,89,29,182,7,3,42.9,2,28.6,88,325,83,4,1,4,17,6,121,33,Bojan MiovskiGirona
Valencia,Rafa Mir,1759,es ESP,"FW,MF",es La Liga,27,1997,8.4,294,12,48,137,111,27,294,14,2,14.3,11,78.6,145,652,266,10,7,0,12,8,203,28,Rafa MirValencia
Bologna,Juan Miranda,1760,es ESP,DF,it Serie A,24,2000,25.3,2080,62,588,848,655,20,2080,20,7,35.0,12,60.0,1047,3726,1792,34,27,4,23,8,1270,88,Juan MirandaBologna
Genoa,Fabio Miretti,1761,it ITA,"MF,FW",it Serie A,20,2003,18.6,847,15,137,407,316,56,847,73,25,34.2,38,52.1,461,2721,1209,33,22,14,63,36,549,100,Fabio MirettiGenoa
Crystal Palace,Tyrick Mitchell,1762,eng ENG,DF,eng Premier League,24,1999,34.4,1754,114,622,671,475,43,1754,38,16,42.1,17,44.7,820,3812,1761,62,36,9,38,30,902,171,Tyrick MitchellCrystal Palace
Brighton,Kaoru Mitoma,1763,jp JPN,"FW,MF",eng Premier League,27,1997,28.9,1375,17,155,468,782,164,1375,131,52,39.7,74,56.5,830,6659,3906,146,82,56,53,23,966,291,Kaoru MitomaBrighton
Stuttgart,Maximilian Mittelstadt,1764,de GER,DF,de Bundesliga,27,1997,27.4,2385,106,525,1225,646,32,2385,38,21,55.3,14,36.8,1251,6049,2909,62,52,2,24,8,1541,155,Maximilian MittelstadtStuttgart
Bochum,Koji Miyoshi,1765,jp JPN,"FW,MF",de Bundesliga,27,1997,5.2,201,3,31,90,85,21,201,14,5,35.7,9,64.3,120,684,303,11,6,3,14,5,124,23,Koji MiyoshiBochum
Inter,Henrikh Mkhitaryan,1766,am ARM,MF,it Serie A,35,1989,26.6,1747,45,259,954,541,44,1747,26,7,26.9,19,73.1,1036,5328,2799,72,56,13,27,15,1301,93,Henrikh MkhitaryanInter
Brighton,Jakub Moder,1767,pl POL,MF,eng Premier League,25,1999,0.1,27,2,7,12,9,1,27,0,0,,0,,13,93,62,2,3,0,0,0,14,0,Jakub ModerBrighton
Udinese,Rui Modesto,1768,ao ANG,"DF,MF",it Serie A,24,1999,6.8,388,9,76,165,153,14,388,8,3,37.5,5,62.5,166,915,518,16,6,4,9,3,212,43,Rui ModestoUdinese
Real Madrid,Luka Modric,1769,hr CRO,MF,es La Liga,38,1985,20.3,2124,39,315,1170,659,26,2124,24,14,58.3,9,37.5,1419,7207,3491,62,58,13,23,13,1649,63,Luka ModricReal Madrid
Hoffenheim,Max Moerstedt,1770,de GER,FW,de Bundesliga,,,5.0,159,6,15,62,85,31,159,4,1,25.0,3,75.0,84,310,128,6,2,3,13,11,125,36,Max MoerstedtHoffenheim
Nice,Terem Moffi,1771,ng NGA,FW,fr Ligue 1,25,1999,0.6,17,0,0,5,12,5,17,1,1,100.0,0,0.0,9,51,20,1,0,1,0,1,15,4,Terem MoffiNice
Nantes,Mostafa Mohamed,1772,eg EGY,FW,fr Ligue 1,26,1997,13.9,452,34,69,177,217,76,452,26,12,46.2,14,53.8,239,1011,438,11,15,2,47,22,285,50,Mostafa MohamedNantes
Mallorca,Johan Mojica,1773,co COL,DF,es La Liga,31,1992,30.6,1949,96,593,818,569,18,1949,89,33,37.1,48,53.9,1024,5088,2228,66,53,5,52,27,1115,142,Johan MojicaMallorca
Hoffenheim,David Mokwa,1774,fr FRA,"DF,FW",de Bundesliga,20,2004,0.2,11,0,2,4,5,2,11,1,1,100.0,0,0.0,5,29,9,0,0,0,2,2,5,0,David MokwaHoffenheim
Las Palmas,Alberto Moleiro,1775,es ESP,"FW,MF",es La Liga,20,2003,30.2,1416,4,153,682,607,102,1416,150,64,42.7,78,52.0,946,5912,3126,97,71,28,76,48,1097,179,Alberto MoleiroLas Palmas
Atletico Madrid,Nahuel Molina,1776,ar ARG,DF,es La Liga,26,1998,17.7,1366,59,420,606,349,24,1366,30,15,50.0,13,43.3,782,3387,1971,35,28,4,21,3,883,96,Nahuel MolinaAtletico Madrid
Nantes,Florent Mollet,1777,fr FRA,"MF,FW",fr Ligue 1,32,1991,2.7,125,5,19,64,42,5,125,3,2,66.7,1,33.3,85,406,164,3,3,0,2,1,84,12,Florent MolletNantes
Osasuna,Jon Moncayola,1778,es ESP,MF,es La Liga,26,1998,23.3,1198,37,215,635,356,33,1198,12,4,33.3,7,58.3,571,2284,1070,25,15,6,24,8,727,51,Jon MoncayolaOsasuna
Leicester City,Jeremy Monga,1779,,"FW,MF",eng Premier League,,,1.2,51,1,9,16,27,5,51,7,2,28.6,3,42.9,37,336,157,6,2,3,5,2,32,10,Jeremy MongaLeicester City
Sevilla,Gonzalo Montiel,1780,ar ARG,"DF,MF",es La Liga,27,1997,1.3,99,9,41,42,16,2,99,1,0,0.0,0,0.0,37,153,90,3,0,0,2,0,57,3,Gonzalo MontielSevilla
Hellas Verona,Lorenzo Montipo,1781,it ITA,GK,it Serie A,28,1996,36.0,1170,919,1150,20,0,0,1170,0,0,,0,,508,3248,1873,0,0,0,1,0,412,0,Lorenzo MontipoHellas Verona
Tottenham,Mikey Moore,1782,eng ENG,FW,eng Premier League,16,2007,4.1,143,4,17,44,83,13,143,18,2,11.1,14,77.8,106,778,373,12,5,5,10,6,107,40,Mikey MooreTottenham
Milan,Alvaro Morata,1783,es ESP,"FW,MF",it Serie A,31,1992,12.2,383,6,34,180,170,61,383,17,6,35.3,7,41.2,215,1182,519,18,13,7,24,16,292,63,Alvaro MorataMilan
Nott'ham Forest,Morato,1784,br BRA,DF,eng Premier League,23,2001,10.1,457,90,270,170,19,2,457,2,2,100.0,0,0.0,164,789,417,1,2,0,6,3,206,1,MoratoNott'ham Forest
Strasbourg,Diego Moreira,1785,pt POR,"DF,MF",fr Ligue 1,19,2004,28.5,1701,82,408,736,588,81,1701,125,57,45.6,59,47.2,953,5886,3285,99,63,36,65,33,1098,245,Diego MoreiraStrasbourg
Como,Alberto Moreno,1786,es ESP,DF,it Serie A,32,1992,19.2,1224,58,391,563,283,17,1224,7,3,42.9,3,42.9,722,3027,1350,23,30,4,18,3,805,58,Alberto MorenoComo
Nott'ham Forest,Alex Moreno,1787,es ESP,"DF,MF",eng Premier League,31,1993,10.6,559,60,210,202,158,8,559,21,8,38.1,8,38.1,229,1470,864,26,16,4,13,6,258,34,Alex MorenoNott'ham Forest
Villarreal,Gerard Moreno,1788,es ESP,FW,es La Liga,32,1992,8.0,404,8,30,183,195,48,401,31,18,58.1,13,41.9,243,1387,601,19,14,9,17,9,324,60,Gerard MorenoVillarreal
Fiorentina,Matias Moreno,1789,ar ARG,DF,it Serie A,20,2003,1.6,98,8,41,48,10,1,98,3,3,100.0,0,0.0,55,251,145,1,0,0,1,1,55,1,Matias MorenoFiorentina
Valladolid,Xavier Moreno,1790,es ESP,FW,es La Liga,19,2004,0.5,17,1,5,7,6,2,17,1,0,0.0,1,100.0,8,50,27,1,1,0,0,1,9,5,Xavier MorenoValladolid
Lecce,Tete Morente,1791,es ESP,"FW,MF",it Serie A,27,1996,22.5,983,24,146,465,388,40,983,55,30,54.5,22,40.0,560,3477,1689,48,43,6,43,15,643,144,Tete MorenteLecce
Mallorca,Mateu Morey,1792,es ESP,DF,es La Liga,24,2000,8.2,502,38,177,227,101,7,502,17,9,52.9,6,35.3,254,1238,581,17,8,6,8,10,272,32,Mateu MoreyMallorca
Celta Vigo,Ilaix Moriba,1793,gn GUI,MF,es La Liga,21,2003,23.7,1305,36,218,740,364,39,1305,49,15,30.6,21,42.9,769,3643,1535,34,36,9,51,25,905,64,Ilaix MoribaCelta Vigo
Mallorca,Manu Morlanes,1794,es ESP,MF,es La Liga,25,1999,14.9,845,32,172,519,163,8,845,8,3,37.5,5,62.5,459,2371,1125,16,23,0,8,10,534,39,Manu MorlanesMallorca
Bologna,Nikola Moro,1795,hr CRO,MF,it Serie A,26,1998,13.4,923,19,148,579,201,3,923,12,7,58.3,4,33.3,486,2144,968,17,11,0,11,4,592,21,Nikola MoroBologna
Valladolid,Raul Moro,1796,es ESP,"MF,FW",es La Liga,21,2002,26.0,1050,17,124,389,559,108,1050,132,57,43.2,67,50.8,607,5692,2999,112,69,60,47,11,713,190,Raul MoroValladolid
Ipswich Town,Sam Morsy,1797,eg EGY,MF,eng Premier League,32,1991,30.6,1683,97,498,953,248,6,1683,29,17,58.6,9,31.0,852,4649,2101,22,24,3,17,13,1137,13,Sam MorsyIpswich Town
Reims,Gabriel Moscardo,1798,br BRA,"MF,DF",fr Ligue 1,18,2005,0.9,54,0,14,31,9,2,54,2,1,50.0,1,50.0,29,151,62,1,0,0,3,3,36,3,Gabriel MoscardoReims
Valencia,Cristhian Mosquera,1799,es ESP,DF,es La Liga,20,2004,36.9,2367,233,1159,1144,74,7,2367,9,5,55.6,4,44.4,1401,7430,4283,35,11,0,18,10,1583,6,Cristhian MosqueraValencia
Hellas Verona,Daniel Mosquera,1800,co COL,FW,it Serie A,24,1999,15.3,509,12,36,246,236,74,509,25,16,64.0,8,32.0,250,1249,490,17,15,9,43,17,352,83,Daniel MosqueraHellas Verona
Wolves,Yerson Mosquera,1801,co COL,DF,eng Premier League,23,2001,4.9,294,43,170,115,12,7,294,0,0,,0,,168,683,322,0,1,0,4,1,182,0,Yerson MosqueraWolves
Monza,Dany Mota,1802,pt POR,"FW,MF",it Serie A,26,1998,23.4,820,24,85,376,368,80,820,39,13,33.3,22,56.4,501,3114,1295,53,29,12,63,29,605,139,Dany MotaMonza
Montpellier,Yael Mouanga,1803,fr FRA,DF,fr Ligue 1,19,2005,10.5,589,92,316,253,22,4,589,5,5,100.0,0,0.0,337,1862,945,4,5,2,9,3,386,2,Yael MouangaMontpellier
Saint-Etienne,Aimen Moueffek,1804,fr FRA,MF,fr Ligue 1,23,2001,11.5,554,35,112,301,150,25,554,24,11,45.8,13,54.2,302,1371,635,20,13,4,34,13,350,31,Aimen MoueffekSaint-Etienne
Nice,Youssoufa Moukoko,1805,de GER,"FW,MF",fr Ligue 1,19,2004,2.3,75,0,9,30,37,14,75,7,2,28.6,5,71.4,43,202,80,2,1,1,3,4,46,12,Youssoufa MoukokoNice
Augsburg,Steve Mounie,1806,bj BEN,"FW,MF",de Bundesliga,29,1994,3.9,164,5,14,58,92,36,164,4,1,25.0,3,75.0,86,349,152,8,5,3,12,5,129,27,Steve MounieAugsburg
Manchester Utd,Mason Mount,1807,eng ENG,MF,eng Premier League,25,1999,6.9,339,11,45,161,137,31,339,10,1,10.0,8,80.0,215,1067,490,15,11,2,16,9,249,41,Mason MountManchester Utd
Alaves,Santiago Mourino,1808,uy URU,DF,es La Liga,22,2002,20.5,952,116,465,442,57,14,952,11,4,36.4,5,45.5,442,2624,1513,14,15,0,7,11,440,1,Santiago MourinoAlaves
Saint-Etienne,Louis Mouton,1809,fr FRA,MF,fr Ligue 1,22,2002,11.6,703,20,153,349,211,24,703,24,12,50.0,12,50.0,366,1633,776,18,9,2,14,13,456,51,Louis MoutonSaint-Etienne
Manchester City,Divin Mubama,1810,eng ENG,FW,eng Premier League,19,2004,0.3,5,0,0,2,3,1,5,0,0,,0,,2,14,0,0,0,0,0,1,3,0,Divin MubamaManchester City
Chelsea,Mykhailo Mudryk,1811,ua UKR,FW,eng Premier League,23,2001,1.7,62,3,12,15,38,6,62,8,3,37.5,5,62.5,39,468,227,7,8,0,3,7,42,12,Mykhailo MudrykChelsea
Lille,Ngal'Ayel Mukau,1812,cd COD,MF,fr Ligue 1,19,2004,13.2,778,19,115,466,201,16,778,17,9,52.9,8,47.1,426,1779,851,19,18,3,18,8,570,43,Ngal'Ayel MukauLille
Leverkusen,Nordi Mukiele,1813,fr FRA,DF,de Bundesliga,26,1997,10.0,725,27,184,407,141,22,725,17,9,52.9,7,41.2,363,1750,992,20,14,6,10,3,441,28,Nordi MukieleLeverkusen
Freiburg,Florian Muller,1814,de GER,GK,de Bundesliga,26,1997,8.4,337,258,332,5,0,0,337,0,0,,0,,190,1027,552,0,0,0,0,0,164,0,Florian MullerFreiburg
Heidenheim,Kevin Muller,1815,de GER,GK,de Bundesliga,33,1991,32.7,1393,1157,1372,21,0,0,1393,0,0,,0,,779,3495,1897,0,0,0,2,0,690,0,Kevin MullerHeidenheim
Wolfsburg,Marius Muller,1816,de GER,GK,de Bundesliga,31,1993,5.3,231,171,228,3,0,0,231,0,0,,0,,147,695,400,0,0,0,0,0,122,0,Marius MullerWolfsburg
Bayern Munich,Thomas Muller,1817,de GER,"MF,FW",de Bundesliga,34,1989,13.6,763,13,46,274,443,103,763,17,8,47.1,8,47.1,386,1527,828,24,19,7,24,20,619,143,Thomas MullerBayern Munich
Rayo Vallecano,Abdul Mumin,1818,gh GHA,DF,es La Liga,26,1998,22.4,1351,253,874,447,39,13,1351,10,5,50.0,4,40.0,725,3467,1525,12,5,2,16,5,819,6,Abdul MuminRayo Vallecano
Wolves,Marshall Munetsi,1819,zw ZIM,"MF,FW",eng Premier League,28,1996,12.0,364,21,58,182,128,36,364,11,3,27.3,7,63.6,148,580,215,9,4,4,32,12,182,35,Marshall MunetsiWolves
Reims,Marshall Munetsi,1820,zw ZIM,MF,fr Ligue 1,28,1996,18.8,594,40,139,271,187,60,594,12,6,50.0,6,50.0,206,666,247,8,7,2,26,5,294,48,Marshall MunetsiReims
Fulham,Rodrigo Muniz,1821,br BRA,FW,eng Premier League,23,2001,10.7,311,14,27,161,127,55,311,18,6,33.3,9,50.0,157,651,187,6,4,3,47,24,237,31,Rodrigo MunizFulham
Real Sociedad,Aihen Munoz,1822,es ESP,DF,es La Liga,26,1997,12.2,763,44,245,349,173,4,763,12,7,58.3,4,33.3,356,1491,703,26,16,3,10,3,404,28,Aihen MunozReal Sociedad
Las Palmas,Alex Munoz,1823,es ESP,DF,es La Liga,30,1994,15.7,974,82,392,418,169,19,974,9,2,22.2,6,66.7,398,1740,1027,15,8,1,10,1,544,53,Alex MunozLas Palmas
Crystal Palace,Daniel Munoz,1824,co COL,DF,eng Premier League,28,1996,35.9,2009,119,567,827,637,107,2009,56,21,37.5,33,58.9,805,4034,1794,62,40,18,54,20,957,208,Daniel MunozCrystal Palace
Osasuna,Iker Munoz,1825,es ESP,MF,es La Liga,21,2002,6.8,365,14,56,235,75,7,365,4,2,50.0,2,50.0,184,706,314,6,3,0,6,4,242,10,Iker MunozOsasuna
Las Palmas,Javier Munoz,1826,es ESP,"MF,DF",es La Liga,29,1995,28.8,1411,44,272,814,342,32,1411,36,21,58.3,13,36.1,700,3825,1599,36,29,7,29,15,939,91,Javier MunozLas Palmas
Real Madrid,Victor Munoz,1827,es ESP,"FW,DF",es La Liga,21,2003,0.4,17,0,1,0,16,4,17,2,0,0.0,2,100.0,15,142,40,3,1,2,1,1,16,9,Victor MunozReal Madrid
Ipswich Town,Arijanet Muric,1828,xk KVX,GK,eng Premier League,25,1998,18.0,689,559,672,18,0,0,689,0,0,,0,,405,2088,1178,0,0,0,3,1,321,0,Arijanet MuricIpswich Town
Nott'ham Forest,Murillo,1829,br BRA,DF,eng Premier League,22,2002,35.4,1918,421,989,840,105,24,1918,37,27,73.0,10,27.0,821,4254,2531,22,25,1,19,10,989,5,MurilloNott'ham Forest
Mallorca,Vedat Muriqi,1830,xk KVX,FW,es La Liga,30,1994,22.9,733,48,75,358,307,114,730,26,9,34.6,15,57.7,334,1463,476,23,12,10,55,26,550,103,Vedat MuriqiMallorca
Newcastle Utd,Jacob Murphy,1831,eng ENG,FW,eng Premier League,29,1995,26.2,1271,27,188,474,622,92,1271,69,35,50.7,31,44.9,733,4416,2339,79,40,27,32,37,911,231,Jacob MurphyNewcastle Utd
Milan,Bob Murphy Omoregbe,1832,it ITA,MF,it Serie A,20,2003,0.0,2,0,0,0,2,1,2,0,0,,0,,1,13,9,0,0,0,0,0,1,1,Bob Murphy OmoregbeMilan
Milan,Yunus Musah,1833,us USA,"MF,FW",it Serie A,21,2002,17.5,888,19,144,468,293,37,888,37,21,56.8,12,32.4,581,4052,2074,51,44,12,46,13,671,74,Yunus MusahMilan
Bayern Munich,Jamal Musiala,1834,de GER,MF,de Bundesliga,21,2003,20.0,1278,7,94,565,636,163,1278,141,72,51.1,59,41.8,792,4412,2300,71,48,36,67,33,1031,156,Jamal MusialaBayern Munich
Freiburg,Florent Muslija,1835,xk KVX,"FW,MF",de Bundesliga,26,1998,1.9,121,3,17,42,62,3,121,7,4,57.1,2,28.6,83,435,191,5,7,2,7,1,86,14,Florent MuslijaFreiburg
Monaco,Almoatasem Al Musrati,1836,ly LBY,MF,fr Ligue 1,28,1996,4.3,339,6,55,209,76,7,339,4,2,50.0,2,50.0,195,757,401,2,5,0,3,2,237,5,Almoatasem Al MusratiMonaco
Atalanta,Juan Musso,1837,ar ARG,GK,it Serie A,30,1994,1.0,35,30,35,0,0,0,35,0,0,,0,,12,91,48,0,0,0,0,0,10,0,Juan MussoAtalanta
Atletico Madrid,Juan Musso,1838,ar ARG,GK,es La Liga,30,1994,2.0,61,58,61,0,0,0,61,0,0,,0,,42,224,157,0,0,0,0,0,31,0,Juan MussoAtletico Madrid
Cagliari,Kingstone Mutandwa,1839,zm ZAM,"FW,MF",it Serie A,21,2003,1.4,44,0,4,24,16,4,44,3,1,33.3,2,66.7,25,183,41,1,1,0,7,0,31,7,Kingstone MutandwaCagliari
Le Havre,Junior Mwanga,1840,fr FRA,MF,fr Ligue 1,21,2003,10.6,555,27,156,322,88,12,555,16,7,43.8,9,56.3,315,1751,844,15,7,2,9,15,342,15,Junior MwangaLe Havre
Strasbourg,Junior Mwanga,1841,fr FRA,MF,fr Ligue 1,21,2003,3.3,177,6,55,113,13,1,177,6,2,33.3,4,66.7,99,428,138,2,2,0,5,6,119,2,Junior MwangaStrasbourg
Mainz 05,Phillipp Mwene,1842,at AUT,DF,de Bundesliga,30,1994,29.0,1555,68,356,628,586,49,1555,50,22,44.0,25,50.0,775,4375,1993,62,49,12,47,26,893,144,Phillipp MweneMainz 05
Everton,Vitaliy Mykolenko,1843,ua UKR,DF,eng Premier League,25,1999,34.2,1678,125,525,713,452,32,1678,20,8,40.0,9,45.0,697,2825,1506,33,28,1,23,11,860,99,Vitaliy MykolenkoEverton
Wolfsburg,Joakim Maehle,1844,dk DEN,DF,de Bundesliga,27,1997,24.3,1464,65,442,639,395,43,1464,60,19,31.7,38,63.3,791,4166,2155,59,42,6,37,8,844,117,Joakim MaehleWolfsburg
Roma,Obite N'Dicka,1845,ci CIV,DF,it Serie A,24,1999,38.0,2823,360,1348,1401,85,26,2823,3,0,0.0,2,66.7,1734,8749,4009,29,19,0,20,3,2065,5,Obite N'DickaRoma
Lecce,Konan N'dri,1846,ci CIV,"FW,MF",it Serie A,23,2000,3.4,122,1,5,36,82,9,122,20,7,35.0,9,45.0,78,819,424,16,13,2,11,8,84,22,Konan N'driLecce
Auxerre,Loic N'Gatta,1847,fr FRA,DF,fr Ligue 1,20,2003,0.1,19,2,3,13,3,0,19,0,0,,0,,12,101,60,2,0,0,1,2,13,0,Loic N'GattaAuxerre
