Squad,Player,Rk,Nation,Pos,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,PlSqu
Nott'ham Forest,Ola Aina,57,ng NGA,DF,eng Premier League,27,1996,33.3,1708,156,613,717,409,22,1708,72,33,45.8,27,37.5,749,4798,2787,67,46,10,44,22,822,67,Ola AinaNott'ham Forest
Wolves,Rayan Ait-Nouri,58,dz ALG,DF,eng Premier League,23,2001,34.5,2148,96,577,916,685,96,2148,137,63,46.0,56,40.9,1129,6166,3205,89,62,28,52,47,1321,176,Rayan Ait-NouriWolves
Hellas Verona,Junior Ajayi,59,ci CIV,FW,it Serie A,19,2004,0.1,5,0,0,3,2,0,5,0,0,,0,,5,25,7,0,0,0,1,0,5,0,Junior AjayiHellas Verona
Brentford,Kristoffer Ajer,60,no NOR,DF,eng Premier League,26,1998,16.0,795,53,265,368,168,38,795,16,7,43.8,8,50.0,387,2098,1180,27,11,2,15,12,491,44,Kristoffer AjerBrentford
Brest,Ludovic Ajorque,61,fr FRA,FW,fr Ligue 1,30,1994,27.7,914,32,84,446,389,125,913,17,8,47.1,9,52.9,410,1319,449,10,11,4,60,11,658,124,Ludovic AjorqueBrest
Manchester City,Manuel Akanji,62,ch SUI,DF,eng Premier League,29,1995,22.4,1881,119,559,920,405,19,1881,2,2,100.0,0,0.0,1254,6953,4234,46,64,0,5,5,1483,7,Manuel AkanjiManchester City
Toulouse,Umit Akdag,63,ro ROU,DF,fr Ligue 1,20,2003,5.6,400,29,145,232,27,1,400,1,1,100.0,0,0.0,217,947,452,4,3,0,1,0,240,9,Umit AkdagToulouse
Manchester City,Nathan Ake,64,nl NED,DF,eng Premier League,29,1995,7.5,596,51,205,331,61,5,596,1,1,100.0,0,0.0,403,2244,1501,12,12,1,4,3,449,2,Nathan AkeManchester City
Villarreal,Ilias Akhomach,65,ma MAR,"MF,FW",es La Liga,20,2004,6.5,293,8,44,89,163,29,293,43,19,44.2,17,39.5,200,1310,759,30,18,20,15,10,209,64,Ilias AkhomachVillarreal
Reims,Sergio Akieme,66,es ESP,DF,fr Ligue 1,26,1997,28.0,1436,100,524,548,377,34,1436,31,13,41.9,17,54.8,710,4339,2357,55,36,5,31,19,817,97,Sergio AkiemeReims
Monaco,Maghnes Akliouche,67,fr FRA,"FW,MF",fr Ligue 1,22,2002,26.7,1566,22,150,644,794,156,1565,103,50,48.5,50,48.5,999,6581,3653,127,98,47,78,47,1149,226,Maghnes AklioucheMonaco
Lyon,Paul Akouokou,68,ci CIV,MF,fr Ligue 1,26,1997,0.2,18,2,5,13,0,0,18,0,0,,0,,14,38,10,0,0,0,1,0,14,0,Paul AkouokouLyon
Auxerre,Clement Akpa,69,ci CIV,DF,fr Ligue 1,22,2001,27.6,1532,171,797,636,117,10,1532,23,8,34.8,11,47.8,895,4510,2340,27,20,1,9,4,929,24,Clement AkpaAuxerre
Monza,Jean-Daniel Akpa-Akpro,70,ci CIV,MF,it Serie A,31,1992,10.7,505,29,157,258,99,7,505,38,12,31.6,19,50.0,306,1832,818,21,15,2,24,2,290,22,Jean-Daniel Akpa-AkproMonza
