League,Squad,Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,PlSqu
EFL Championship,Sheffield United,Alfie Gilchrist,eng ENG,DF,20.0,23.4,1151.0,952.0,199.0,23.0,1.0,1.0,22,176.0,0.0,0.0,0.0,0.0,927.0,0.0,17.0,Alfie GilchristSheffield United
EFL Championship,Sheffield United,Jesurun Rak Sakyi,eng ENG,"FW,MF",21.0,19.2,468.0,444.0,23.0,1.0,2.0,0.0,34,1.0,21.0,17.0,0.0,0.0,359.0,1.0,13.0,Jesurun Rak SakyiSheffield United
EFL Championship,Sheffield United,Harry Souttar,au AUS,DF,25.0,19.6,1221.0,1181.0,38.0,34.0,0.0,14.0,3,3.0,0.0,0.0,0.0,0.0,1045.0,2.0,3.0,Harry SouttarSheffield United
EFL Championship,Sheffield United,Tyrese Campbell,eng ENG,FW,24.0,17.6,290.0,280.0,10.0,0.0,0.0,6.0,16,0.0,0.0,0.0,0.0,0.0,211.0,0.0,12.0,Tyrese CampbellSheffield United
EFL Championship,Sheffield United,Kieffer Moore,wls WAL,FW,31.0,19.6,369.0,364.0,4.0,0.0,2.0,4.0,6,0.0,0.0,0.0,0.0,0.0,227.0,1.0,7.0,Kieffer MooreSheffield United
EFL Championship,Sheffield United,Rhian Brewster,eng ENG,"MF,FW",24.0,17.3,413.0,377.0,33.0,6.0,4.0,3.0,30,6.0,7.0,5.0,1.0,0.0,313.0,3.0,12.0,Rhian BrewsterSheffield United
EFL Championship,Sheffield United,Hamza Choudhury,bd BAN,"MF,DF",26.0,12.3,609.0,556.0,52.0,10.0,0.0,1.0,5,42.0,0.0,0.0,0.0,0.0,490.0,1.0,16.0,Hamza ChoudhurySheffield United
EFL Championship,Sheffield United,Ben Brereton,cl CHI,"FW,MF",25.0,10.9,293.0,289.0,3.0,1.0,1.0,1.0,10,1.0,1.0,0.0,0.0,0.0,208.0,1.0,11.0,Ben BreretonSheffield United
EFL Championship,Sheffield United,Oliver Arblaster,eng ENG,MF,20.0,10.9,599.0,581.0,17.0,9.0,1.0,0.0,18,0.0,8.0,5.0,1.0,0.0,510.0,1.0,14.0,Oliver ArblasterSheffield United
EFL Championship,Sheffield United,Andre Brooks,eng ENG,"FW,MF",20.0,10.6,303.0,286.0,16.0,1.0,0.0,2.0,16,9.0,4.0,1.0,0.0,0.0,245.0,1.0,3.0,Andre BrooksSheffield United
EFL Championship,Sheffield United,Sam McCallum,eng ENG,"DF,MF",23.0,11.7,519.0,445.0,72.0,4.0,2.0,4.0,30,68.0,0.0,0.0,0.0,0.0,371.0,2.0,24.0,Sam McCallumSheffield United
EFL Championship,Sheffield United,Femi Seriki,eng ENG,DF,22.0,12.1,573.0,448.0,123.0,8.0,1.0,2.0,31,113.0,2.0,0.0,0.0,0.0,456.0,2.0,13.0,Femi SerikiSheffield United
EFL Championship,Sheffield United,Thomas Cannon,ie IRL,FW,21.0,7.6,88.0,82.0,6.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,62.0,0.0,4.0,Thomas CannonSheffield United
EFL Championship,Sheffield United,Tom Davies,eng ENG,MF,26.0,7.5,373.0,367.0,6.0,3.0,0.0,4.0,5,0.0,3.0,0.0,0.0,0.0,324.0,0.0,5.0,Tom DaviesSheffield United
EFL Championship,Sheffield United,Harry Clarke,eng ENG,DF,23.0,5.2,241.0,187.0,53.0,5.0,0.0,1.0,9,48.0,0.0,0.0,0.0,0.0,183.0,1.0,4.0,Harry ClarkeSheffield United
EFL Championship,Sheffield United,Rob Holding,eng ENG,DF,28.0,4.7,263.0,254.0,8.0,4.0,0.0,9.0,1,3.0,0.0,0.0,0.0,0.0,226.0,1.0,3.0,Rob HoldingSheffield United
EFL Championship,Sheffield United,Adam Davies,wls WAL,GK,32.0,3.0,97.0,72.0,24.0,7.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,73.0,1.0,0.0,Adam DaviesSheffield United
EFL Championship,Sheffield United,Ryan One,sct SCO,FW,18.0,3.2,50.0,48.0,2.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,32.0,0.0,3.0,Ryan OneSheffield United
EFL Championship,Sheffield United,Jamie Shackleton,eng ENG,"DF,FW",24.0,3.2,165.0,140.0,25.0,3.0,0.0,0.0,1,22.0,0.0,0.0,0.0,0.0,136.0,0.0,4.0,Jamie ShackletonSheffield United
EFL Championship,Sheffield United,Rhys Norrington-Davies,wls WAL,DF,25.0,2.8,150.0,125.0,25.0,2.0,0.0,0.0,6,23.0,0.0,0.0,0.0,0.0,115.0,0.0,7.0,Rhys Norrington-DaviesSheffield United
EFL Championship,Sheffield United,Auston Trusty,us USA,DF,25.0,1.0,50.0,48.0,2.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,Auston TrustySheffield United
