League,Squad,Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,PlSqu
Liga MX,Queretaro,Federico Lertora,ar ARG,MF,34.0,25.9,1019.0,837.0,175.0,37.0,2.0,5.0,23,138.0,0.0,0.0,0.0,0.0,718.0,7.0,14.0,Federico LertoraQueretaro
Liga MX,Queretaro,Guillermo Allison,mx MEX,GK,33.0,25.0,744.0,412.0,328.0,64.0,0.0,2.0,0,1.0,0.0,0.0,0.0,0.0,445.0,4.0,1.0,Guillermo AllisonQueretaro
Liga MX,Queretaro,Pablo Barrera,mx MEX,"MF,FW",37.0,23.4,866.0,739.0,118.0,38.0,0.0,7.0,168,17.0,62.0,12.0,44.0,0.0,583.0,9.0,33.0,Pablo BarreraQueretaro
Liga MX,Queretaro,Francisco Eduardo Venegas,mx MEX,DF,26.0,21.5,875.0,721.0,151.0,31.0,3.0,16.0,30,113.0,7.0,1.0,6.0,0.0,658.0,3.0,12.0,Francisco Eduardo VenegasQueretaro
Liga MX,Queretaro,Lucas Rodriguez,ar ARG,"MF,FW",27.0,21.0,560.0,523.0,35.0,7.0,0.0,4.0,41,3.0,13.0,5.0,8.0,0.0,454.0,2.0,22.0,Lucas RodriguezQueretaro
Liga MX,Queretaro,Kevin Escamilla,mx MEX,"MF,DF",30.0,22.1,817.0,773.0,39.0,39.0,0.0,11.0,1,0.0,0.0,0.0,0.0,0.0,698.0,5.0,7.0,Kevin EscamillaQueretaro
Liga MX,Queretaro,Omar Israel Mendoza,mx MEX,DF,35.0,21.8,962.0,764.0,190.0,23.0,2.0,6.0,40,167.0,0.0,0.0,0.0,0.0,702.0,8.0,24.0,Omar Israel MendozaQueretaro
Liga MX,Queretaro,Jose Dominguez,py PAR,DF,28.0,20.5,708.0,661.0,45.0,29.0,0.0,16.0,1,11.0,0.0,0.0,0.0,0.0,592.0,2.0,7.0,Jose DominguezQueretaro
Liga MX,Queretaro,Adonis Preciado,ec ECU,"FW,MF",27.0,13.7,290.0,274.0,14.0,0.0,1.0,0.0,31,5.0,0.0,0.0,0.0,0.0,190.0,2.0,22.0,Adonis PreciadoQueretaro
Liga MX,Queretaro,Oscar Manzanarez,mx MEX,DF,29.0,13.5,402.0,368.0,33.0,8.0,0.0,4.0,1,25.0,0.0,0.0,0.0,0.0,342.0,1.0,2.0,Oscar ManzanarezQueretaro
Liga MX,Queretaro,Jaime Gomez Valencia,mx MEX,"DF,MF",31.0,11.8,473.0,407.0,65.0,16.0,0.0,0.0,19,49.0,0.0,0.0,0.0,0.0,390.0,1.0,8.0,Jaime Gomez ValenciaQueretaro
Liga MX,Queretaro,Josue Colman,py PAR,"MF,FW",26.0,8.4,255.0,207.0,48.0,13.0,0.0,4.0,35,3.0,28.0,14.0,8.0,0.0,194.0,0.0,7.0,Josue ColmanQueretaro
Liga MX,Queretaro,Jorge Hernandez,mx MEX,GK,25.0,9.0,223.0,113.0,109.0,24.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,123.0,1.0,0.0,Jorge HernandezQueretaro
Liga MX,Queretaro,Aldahir Perez,mx MEX,MF,19.0,8.0,248.0,231.0,16.0,4.0,0.0,4.0,7,3.0,8.0,1.0,5.0,0.0,195.0,1.0,8.0,Aldahir PerezQueretaro
Liga MX,Queretaro,Ronaldo Cisneros,mx MEX,FW,27.0,8.2,130.0,109.0,19.0,1.0,0.0,0.0,6,1.0,0.0,0.0,0.0,0.0,93.0,2.0,4.0,Ronaldo CisnerosQueretaro
Liga MX,Queretaro,Rodrigo Bogarin,py PAR,"MF,FW",27.0,7.9,265.0,246.0,19.0,11.0,0.0,1.0,7,1.0,6.0,2.0,2.0,0.0,199.0,0.0,5.0,Rodrigo BogarinQueretaro
Liga MX,Queretaro,Pablo Ortiz,mx MEX,DF,22.0,9.4,381.0,314.0,62.0,8.0,0.0,2.0,13,52.0,2.0,0.0,2.0,0.0,292.0,5.0,5.0,Pablo OrtizQueretaro
Liga MX,Queretaro,Martin Rio,ar ARG,"MF,DF",23.0,7.3,327.0,317.0,10.0,9.0,0.0,4.0,2,1.0,0.0,0.0,0.0,0.0,265.0,0.0,1.0,Martin RioQueretaro
Liga MX,Queretaro,Samuel Sosa,ve VEN,FW,24.0,7.1,128.0,99.0,28.0,2.0,0.0,4.0,14,5.0,6.0,1.0,5.0,0.0,90.0,1.0,5.0,Samuel SosaQueretaro
Liga MX,Queretaro,Sebastian Hernandez,mx MEX,"MF,FW",20.0,6.5,159.0,142.0,17.0,4.0,0.0,0.0,8,13.0,0.0,0.0,0.0,0.0,118.0,0.0,8.0,Sebastian HernandezQueretaro
Liga MX,Queretaro,Alan Medina,mx MEX,"MF,DF",26.0,7.9,270.0,245.0,22.0,2.0,0.0,2.0,13,16.0,1.0,0.0,0.0,0.0,196.0,3.0,6.0,Alan MedinaQueretaro
Liga MX,Queretaro,Jonathan Perlaza,ec ECU,"DF,MF",26.0,6.0,229.0,191.0,37.0,6.0,0.0,0.0,29,28.0,3.0,0.0,2.0,0.0,175.0,1.0,8.0,Jonathan PerlazaQueretaro
Liga MX,Queretaro,Juan Robles,mx MEX,"MF,DF",20.0,5.4,147.0,126.0,19.0,2.0,0.0,1.0,19,17.0,0.0,0.0,0.0,0.0,103.0,2.0,5.0,Juan RoblesQueretaro
Liga MX,Queretaro,Dario Benedetto,ar ARG,FW,34.0,4.7,107.0,95.0,11.0,0.0,0.0,6.0,4,1.0,0.0,0.0,0.0,0.0,64.0,1.0,1.0,Dario BenedettoQueretaro
Liga MX,Queretaro,Rubio Rubin,gt GUA,"FW,MF",28.0,4.7,81.0,79.0,2.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,60.0,0.0,6.0,Rubio RubinQueretaro
Liga MX,Queretaro,Brian Rubio,mx MEX,FW,27.0,3.3,66.0,63.0,3.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,52.0,0.0,3.0,Brian RubioQueretaro
Liga MX,Queretaro,Brayton Vazquez,mx MEX,DF,26.0,3.3,127.0,120.0,6.0,1.0,0.0,2.0,3,5.0,0.0,0.0,0.0,0.0,90.0,1.0,2.0,Brayton VazquezQueretaro
Liga MX,Queretaro,Antonio Maria,mx MEX,"FW,MF",20.0,2.7,47.0,43.0,4.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,31.0,0.0,2.0,Antonio MariaQueretaro
Liga MX,Queretaro,Arnaud Ake,ci CIV,FW,26.0,2.6,51.0,43.0,7.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,35.0,1.0,3.0,Arnaud AkeQueretaro
Liga MX,Queretaro,Eduardo Armenta,mx MEX,MF,22.0,2.3,75.0,72.0,3.0,0.0,0.0,1.0,1,2.0,0.0,0.0,0.0,0.0,58.0,0.0,4.0,Eduardo ArmentaQueretaro
Liga MX,Queretaro,Jesus Pinuelas,mx MEX,DF,26.0,2.4,87.0,83.0,4.0,4.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,1.0,Jesus PinuelasQueretaro
Liga MX,Queretaro,Fernando Gonzalez,mx MEX,"FW,MF",23.0,2.0,92.0,82.0,8.0,2.0,0.0,1.0,13,1.0,5.0,3.0,1.0,0.0,60.0,2.0,3.0,Fernando GonzalezQueretaro
Liga MX,Queretaro,Ayrton Preciado,ec ECU,"MF,DF",30.0,1.5,63.0,59.0,4.0,0.0,0.0,0.0,10,2.0,2.0,1.0,1.0,0.0,50.0,0.0,1.0,Ayrton PreciadoQueretaro
Liga MX,Queretaro,Diego Araujo,mx MEX,MF,21.0,1.2,45.0,44.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,Diego AraujoQueretaro
Liga MX,Queretaro,Misael Dominguez,mx MEX,"FW,MF",24.0,0.9,30.0,25.0,4.0,0.0,1.0,0.0,0,3.0,0.0,0.0,0.0,0.0,23.0,1.0,2.0,Misael DominguezQueretaro
Liga MX,Queretaro,Christian Castillo,mx MEX,FW,21.0,0.5,,,,,,,0,,,,,,,,,Christian CastilloQueretaro
Liga MX,Queretaro,Victor Lopez,mx MEX,MF,21.0,0.5,24.0,21.0,3.0,0.0,0.0,0.0,4,0.0,3.0,1.0,2.0,0.0,16.0,0.0,0.0,Victor LopezQueretaro
Liga MX,Queretaro,Carlo Soldati,mx MEX,DF,19.0,0.1,8.0,7.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,Carlo SoldatiQueretaro
Liga MX,Queretaro,Daniel Lopez,mx MEX,"FW,MF",24.0,0.1,2.0,2.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Daniel LopezQueretaro
Liga MX,Queretaro,Angel Zapata,mx MEX,"MF,FW",23.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Angel ZapataQueretaro
Liga MX,Queretaro,Opponent Total,,,26.9,34.0,19083.0,17285.0,1751.0,445.0,22.0,173.0,783,737.0,218.0,96.0,69.0,1.0,15939.0,47.0,235.0,Opponent TotalQueretaro
Liga MX,Mazatlan,Hugo Gonzalez Duran,mx MEX,GK,33.0,33.5,1114.0,748.0,364.0,77.0,0.0,6.0,0,0.0,0.0,0.0,0.0,0.0,801.0,2.0,0.0,Hugo Gonzalez DuranMazatlan
Liga MX,Mazatlan,Bryan Colula,mx MEX,DF,28.0,24.5,1213.0,968.0,239.0,6.0,0.0,4.0,39,233.0,0.0,0.0,0.0,0.0,927.0,6.0,37.0,Bryan ColulaMazatlan
Liga MX,Mazatlan,Jair Diaz,mx MEX,DF,25.0,22.7,958.0,819.0,131.0,24.0,2.0,7.0,33,105.0,0.0,0.0,0.0,0.0,712.0,8.0,19.0,Jair DiazMazatlan
Liga MX,Mazatlan,Jordan Sierra,ec ECU,MF,27.0,22.3,481.0,471.0,7.0,6.0,2.0,0.0,3,1.0,0.0,0.0,0.0,0.0,405.0,3.0,7.0,Jordan SierraMazatlan
Liga MX,Mazatlan,Edgar Yoel Barcenas,pa PAN,"MF,FW",30.0,22.3,1067.0,901.0,159.0,29.0,2.0,3.0,123,51.0,79.0,18.0,46.0,1.0,795.0,7.0,18.0,Edgar Yoel BarcenasMazatlan
Liga MX,Mazatlan,Roberto Meraz,mx MEX,MF,24.0,19.8,925.0,882.0,40.0,32.0,0.0,11.0,8,5.0,1.0,1.0,0.0,0.0,781.0,3.0,11.0,Roberto MerazMazatlan
Liga MX,Mazatlan,Facundo Almada,ar ARG,DF,26.0,19.5,835.0,766.0,67.0,29.0,0.0,15.0,4,32.0,0.0,0.0,0.0,0.0,672.0,2.0,9.0,Facundo AlmadaMazatlan
Liga MX,Mazatlan,Lucas Merolla,ar ARG,DF,29.0,17.5,735.0,697.0,35.0,24.0,0.0,6.0,1,7.0,0.0,0.0,0.0,0.0,612.0,3.0,5.0,Lucas MerollaMazatlan
Liga MX,Mazatlan,Luis Sanchez,mx MEX,DF,24.0,20.6,768.0,727.0,40.0,22.0,1.0,3.0,1,17.0,0.0,0.0,0.0,0.0,658.0,1.0,8.0,Luis SanchezMazatlan
Liga MX,Mazatlan,Rodolfo Pizarro,mx MEX,"MF,FW",30.0,17.2,640.0,608.0,28.0,8.0,3.0,1.0,36,18.0,0.0,0.0,0.0,0.0,503.0,4.0,44.0,Rodolfo PizarroMazatlan
Liga MX,Mazatlan,Luis Amarilla,py PAR,FW,28.0,15.5,448.0,403.0,43.0,3.0,1.0,2.0,3,3.0,0.0,0.0,0.0,0.0,312.0,2.0,4.0,Luis AmarillaMazatlan
Liga MX,Mazatlan,Nicolas Benedetti,co COL,"FW,MF",27.0,14.2,591.0,476.0,112.0,34.0,1.0,4.0,116,14.0,58.0,17.0,32.0,0.0,425.0,3.0,14.0,Nicolas BenedettiMazatlan
Liga MX,Mazatlan,Alan Torres,mx MEX,MF,24.0,12.4,720.0,696.0,22.0,17.0,0.0,15.0,11,4.0,1.0,1.0,0.0,0.0,632.0,2.0,8.0,Alan TorresMazatlan
Liga MX,Mazatlan,Ramiro Arciga,mx MEX,"MF,FW",19.0,10.6,416.0,404.0,12.0,1.0,4.0,3.0,47,11.0,0.0,0.0,0.0,0.0,307.0,0.0,21.0,Ramiro ArcigaMazatlan
Liga MX,Mazatlan,Jefferson Intriago,ec ECU,MF,28.0,10.4,472.0,449.0,22.0,18.0,0.0,1.0,0,4.0,0.0,0.0,0.0,0.0,429.0,1.0,2.0,Jefferson IntriagoMazatlan
Liga MX,Mazatlan,Alonso Escoboza,mx MEX,"DF,MF",31.0,9.6,431.0,337.0,93.0,11.0,0.0,2.0,59,58.0,24.0,5.0,11.0,0.0,291.0,1.0,16.0,Alonso EscobozaMazatlan
Liga MX,Mazatlan,Brian Rubio,mx MEX,FW,27.0,9.6,277.0,258.0,18.0,0.0,0.0,3.0,8,1.0,0.0,0.0,0.0,0.0,210.0,1.0,7.0,Brian RubioMazatlan
Liga MX,Mazatlan,Jose Joaquin Esquivel,mx MEX,DF,26.0,9.0,405.0,352.0,49.0,15.0,0.0,3.0,8,34.0,0.0,0.0,0.0,0.0,306.0,4.0,10.0,Jose Joaquin EsquivelMazatlan
Liga MX,Mazatlan,Anderson Duarte,uy URU,"FW,MF",20.0,6.5,89.0,76.0,13.0,2.0,1.0,0.0,6,4.0,0.0,0.0,0.0,0.0,68.0,0.0,5.0,Anderson DuarteMazatlan
Liga MX,Mazatlan,Samir Santos,br BRA,DF,29.0,5.7,217.0,190.0,24.0,12.0,1.0,0.0,0,8.0,0.0,0.0,0.0,0.0,195.0,3.0,0.0,Samir SantosMazatlan
Liga MX,Mazatlan,Omar Moreno,mx MEX,"FW,MF",19.0,4.6,76.0,73.0,3.0,0.0,0.0,1.0,10,0.0,1.0,0.0,1.0,0.0,53.0,0.0,4.0,Omar MorenoMazatlan
Liga MX,Mazatlan,Josue Colman,py PAR,"MF,DF",26.0,6.1,248.0,213.0,33.0,6.0,5.0,0.0,34,3.0,23.0,7.0,5.0,0.0,177.0,2.0,5.0,Josue ColmanMazatlan
Liga MX,Mazatlan,Salvador Rodriguez,mx MEX,"DF,FW",22.0,5.8,227.0,194.0,32.0,2.0,0.0,0.0,9,29.0,1.0,0.0,0.0,0.0,160.0,1.0,10.0,Salvador RodriguezMazatlan
Liga MX,Mazatlan,Ventura Alvarado,us USA,DF,31.0,4.4,173.0,164.0,9.0,7.0,0.0,1.0,0,1.0,0.0,0.0,0.0,0.0,152.0,0.0,0.0,Ventura AlvaradoMazatlan
Liga MX,Mazatlan,Ramiro Franco,mx MEX,DF,20.0,4.1,182.0,171.0,10.0,8.0,0.0,5.0,1,2.0,0.0,0.0,0.0,0.0,155.0,1.0,1.0,Ramiro FrancoMazatlan
Liga MX,Mazatlan,Raul Camacho,mx MEX,"FW,DF",22.0,3.8,59.0,51.0,6.0,0.0,0.0,1.0,1,0.0,1.0,0.0,0.0,0.0,43.0,2.0,3.0,Raul CamachoMazatlan
Liga MX,Mazatlan,Gilberto Adame,mx MEX,"DF,MF",19.0,4.6,147.0,126.0,21.0,0.0,0.0,0.0,23,19.0,2.0,0.0,2.0,0.0,96.0,0.0,9.0,Gilberto AdameMazatlan
Liga MX,Mazatlan,Gustavo Del Prete,ar ARG,"MF,FW",28.0,2.6,97.0,91.0,6.0,2.0,0.0,0.0,6,0.0,4.0,2.0,1.0,0.0,77.0,0.0,2.0,Gustavo Del PreteMazatlan
Liga MX,Mazatlan,Said Godinez,mx MEX,MF,19.0,2.3,74.0,71.0,3.0,3.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,58.0,0.0,1.0,Said GodinezMazatlan
Liga MX,Mazatlan,Mauro Lainez,mx MEX,"MF,DF",28.0,7.4,321.0,295.0,26.0,3.0,0.0,0.0,57,22.0,1.0,0.0,1.0,0.0,231.0,0.0,17.0,Mauro LainezMazatlan
Liga MX,Mazatlan,Christopher Castro,mx MEX,DF,19.0,1.2,34.0,27.0,7.0,1.0,0.0,0.0,0,6.0,0.0,0.0,0.0,0.0,25.0,0.0,1.0,Christopher CastroMazatlan
Liga MX,Mazatlan,William Vargas,ec ECU,DF,27.0,1.8,63.0,47.0,16.0,0.0,0.0,0.0,4,15.0,1.0,0.0,0.0,0.0,41.0,0.0,4.0,William VargasMazatlan
Liga MX,Mazatlan,Ricardo Gutierrez,mx MEX,GK,27.0,0.5,15.0,11.0,4.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,Ricardo GutierrezMazatlan
Liga MX,Mazatlan,Angel Saavedra,mx MEX,"FW,DF",21.0,0.4,26.0,25.0,1.0,0.0,0.0,0.0,2,0.0,1.0,0.0,0.0,0.0,20.0,0.0,1.0,Angel SaavedraMazatlan
Liga MX,Mazatlan,Angel Leyva,mx MEX,DF,17.0,0.1,5.0,5.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,Angel LeyvaMazatlan
Liga MX,Mazatlan,Opponent Total,,,27.0,34.0,16713.0,14943.0,1726.0,464.0,16.0,123.0,613,756.0,163.0,74.0,66.0,0.0,13606.0,44.0,267.0,Opponent TotalMazatlan
Liga MX,Puebla,Efrain Orona,mx MEX,DF,25.0,31.1,1127.0,1043.0,80.0,40.0,1.0,17.0,13,39.0,0.0,0.0,0.0,0.0,835.0,4.0,17.0,Efrain OronaPuebla
Liga MX,Puebla,Brayan Angulo,co COL,"DF,MF",34.0,28.1,1395.0,1136.0,245.0,18.0,1.0,14.0,54,223.0,3.0,0.0,3.0,0.0,1071.0,14.0,35.0,Brayan AnguloPuebla
Liga MX,Puebla,Emanuel Gularte,uy URU,DF,26.0,27.9,909.0,852.0,53.0,33.0,2.0,10.0,11,15.0,0.0,0.0,0.0,0.0,699.0,4.0,14.0,Emanuel GulartePuebla
Liga MX,Puebla,Miguel Jimenez Ponce,mx MEX,GK,34.0,24.0,671.0,382.0,287.0,32.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,346.0,2.0,2.0,Miguel Jimenez PoncePuebla
Liga MX,Puebla,Gustavo Ferrareis,br BRA,"DF,MF",28.0,23.2,877.0,679.0,193.0,10.0,0.0,12.0,45,183.0,0.0,0.0,0.0,0.0,657.0,5.0,27.0,Gustavo FerrareisPuebla
Liga MX,Puebla,Emiliano Gomez,uy URU,"FW,MF",22.0,22.8,430.0,399.0,31.0,0.0,0.0,2.0,35,8.0,1.0,1.0,0.0,0.0,308.0,0.0,30.0,Emiliano GomezPuebla
Liga MX,Puebla,Pablo Gonzalez Diaz,mx MEX,MF,32.0,21.1,619.0,596.0,22.0,13.0,0.0,7.0,11,2.0,4.0,1.0,2.0,0.0,499.0,1.0,13.0,Pablo Gonzalez DiazPuebla
Liga MX,Puebla,Raul Castillo,mx MEX,"MF,FW",22.0,16.6,604.0,509.0,95.0,26.0,2.0,9.0,82,9.0,56.0,23.0,27.0,0.0,469.0,0.0,15.0,Raul CastilloPuebla
Liga MX,Puebla,Jose Pachuca,mx MEX,DF,19.0,16.9,502.0,469.0,33.0,15.0,0.0,15.0,3,18.0,0.0,0.0,0.0,0.0,373.0,0.0,7.0,Jose PachucaPuebla
Liga MX,Puebla,Diego De Buen,mx MEX,MF,33.0,15.9,519.0,468.0,49.0,29.0,1.0,2.0,2,8.0,0.0,0.0,0.0,0.0,405.0,2.0,9.0,Diego De BuenPuebla
Liga MX,Puebla,Facundo Waller,uy URU,MF,27.0,17.5,762.0,658.0,101.0,51.0,4.0,11.0,64,16.0,34.0,7.0,19.0,0.0,577.0,3.0,15.0,Facundo WallerPuebla
Liga MX,Puebla,Luis Enrique Quinones,co COL,"FW,MF",33.0,15.2,631.0,575.0,53.0,14.0,1.0,2.0,43,11.0,14.0,5.0,5.0,0.0,451.0,3.0,21.0,Luis Enrique QuinonesPuebla
Liga MX,Puebla,Franco Moyano,ar ARG,MF,26.0,13.8,638.0,582.0,55.0,35.0,0.0,4.0,24,0.0,20.0,8.0,8.0,0.0,553.0,1.0,12.0,Franco MoyanoPuebla
Liga MX,Puebla,Alberto Herrera,mx MEX,"MF,FW",23.0,10.6,367.0,339.0,27.0,7.0,0.0,8.0,24,10.0,9.0,3.0,6.0,0.0,268.0,1.0,14.0,Alberto HerreraPuebla
Liga MX,Puebla,Ricardo Marin,mx MEX,"FW,MF",26.0,11.5,202.0,176.0,23.0,0.0,2.0,2.0,6,3.0,0.0,0.0,0.0,0.0,119.0,3.0,7.0,Ricardo MarinPuebla
Liga MX,Puebla,Juan Fedorco,ar ARG,DF,23.0,9.2,228.0,219.0,8.0,8.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,180.0,1.0,0.0,Juan FedorcoPuebla
Liga MX,Puebla,Jesus Rivas,mx MEX,DF,21.0,9.5,376.0,284.0,91.0,6.0,0.0,1.0,28,85.0,0.0,0.0,0.0,0.0,251.0,1.0,14.0,Jesus RivasPuebla
Liga MX,Puebla,Jorge Rodriguez,mx MEX,DF,22.0,6.7,280.0,198.0,78.0,2.0,0.0,0.0,14,76.0,0.0,0.0,0.0,0.0,203.0,4.0,8.0,Jorge RodriguezPuebla
Liga MX,Puebla,Sebastian Olmedo,py PAR,DF,23.0,6.2,247.0,241.0,6.0,3.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,213.0,0.0,2.0,Sebastian OlmedoPuebla
Liga MX,Puebla,Julio Jose Gonzalez,mx MEX,GK,33.0,6.0,180.0,99.0,81.0,12.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,130.0,0.0,0.0,Julio Jose GonzalezPuebla
Liga MX,Puebla,Daniel Alvarez,mx MEX,"MF,FW",30.0,5.9,174.0,161.0,12.0,1.0,1.0,0.0,23,11.0,0.0,0.0,0.0,0.0,109.0,1.0,9.0,Daniel AlvarezPuebla
Liga MX,Puebla,Santiago Ormeno,pe PER,FW,30.0,5.4,111.0,99.0,12.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,4.0,Santiago OrmenoPuebla
Liga MX,Puebla,Jesus Rodriguez,mx MEX,GK,31.0,4.0,161.0,119.0,42.0,4.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,136.0,0.0,0.0,Jesus RodriguezPuebla
Liga MX,Puebla,Kevin Velasco,co COL,"MF,DF",27.0,3.7,116.0,101.0,14.0,1.0,2.0,1.0,15,13.0,0.0,0.0,0.0,0.0,84.0,1.0,4.0,Kevin VelascoPuebla
Liga MX,Puebla,Lucas Cavallini,ca CAN,FW,31.0,3.6,72.0,60.0,12.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,Lucas CavalliniPuebla
Liga MX,Puebla,Angel Robles,mx MEX,"MF,FW",22.0,2.7,69.0,63.0,4.0,2.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,53.0,2.0,4.0,Angel RoblesPuebla
Liga MX,Puebla,Cristian Mares,mx MEX,"FW,MF",19.0,2.2,57.0,55.0,2.0,0.0,0.0,0.0,1,2.0,0.0,0.0,0.0,0.0,47.0,0.0,1.0,Cristian MaresPuebla
Liga MX,Puebla,Bryan Garnica,mx MEX,"FW,DF",28.0,2.3,84.0,70.0,13.0,3.0,0.0,0.0,10,6.0,3.0,0.0,3.0,0.0,63.0,1.0,0.0,Bryan GarnicaPuebla
Liga MX,Puebla,Fernando Arce Jr.,us USA,"MF,FW",27.0,2.2,54.0,50.0,3.0,2.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,39.0,1.0,1.0,Fernando Arce Jr.Puebla
Liga MX,Puebla,Jair Gonzalez,mx MEX,"MF,FW",22.0,1.9,54.0,50.0,3.0,0.0,0.0,2.0,7,3.0,0.0,0.0,0.0,0.0,34.0,1.0,2.0,Jair GonzalezPuebla
Liga MX,Puebla,Rafael Duran,mx MEX,"MF,FW",26.0,1.7,25.0,25.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,13.0,0.0,3.0,Rafael DuranPuebla
Liga MX,Puebla,Luis Garcia,mx MEX,"MF,FW",31.0,1.3,45.0,40.0,5.0,0.0,0.0,0.0,20,5.0,0.0,0.0,0.0,0.0,19.0,0.0,4.0,Luis GarciaPuebla
Liga MX,Puebla,Denilson Paz,mx MEX,MF,19.0,0.4,11.0,10.0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,Denilson PazPuebla
Liga MX,Puebla,Tristhan Jaimes,mx MEX,"MF,FW",21.0,0.3,11.0,10.0,1.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,Tristhan JaimesPuebla
Liga MX,Puebla,Mateo Gonzalez Mora,mx MEX,DF,15.0,0.2,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mateo Gonzalez MoraPuebla
Liga MX,Puebla,Dylan Torres,mx MEX,MF,20.0,0.1,4.0,4.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Dylan TorresPuebla
Liga MX,Puebla,Joan Nungaray,mx MEX,FW,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Joan NungarayPuebla
Liga MX,Puebla,Opponent Total,,,26.9,34.0,19714.0,17870.0,1805.0,486.0,30.0,203.0,756,771.0,201.0,72.0,75.0,1.0,16416.0,39.0,287.0,Opponent TotalPuebla
Liga MX,Santos Laguna,Carlos Acevedo,mx MEX,GK,28.0,33.0,1137.0,727.0,405.0,96.0,0.0,4.0,0,0.0,0.0,0.0,0.0,0.0,831.0,5.0,0.0,Carlos AcevedoSantos Laguna
Liga MX,Santos Laguna,Ramiro Sordo,ar ARG,"FW,MF",24.0,23.1,727.0,656.0,68.0,23.0,1.0,13.0,99,15.0,30.0,16.0,11.0,1.0,491.0,3.0,31.0,Ramiro SordoSantos Laguna
Liga MX,Santos Laguna,Emmanuel Echeverria,mx MEX,DF,20.0,24.0,1084.0,872.0,211.0,19.0,0.0,4.0,79,192.0,0.0,0.0,0.0,0.0,826.0,1.0,49.0,Emmanuel EcheverriaSantos Laguna
Liga MX,Santos Laguna,Aldo Lopez,mx MEX,"MF,DF",24.0,22.3,864.0,761.0,101.0,31.0,2.0,6.0,14,67.0,2.0,0.0,2.0,0.0,758.0,2.0,17.0,Aldo LopezSantos Laguna
Liga MX,Santos Laguna,Anderson Santamaria,pe PER,DF,32.0,20.1,884.0,812.0,65.0,32.0,0.0,6.0,3,1.0,0.0,0.0,0.0,0.0,746.0,7.0,2.0,Anderson SantamariaSantos Laguna
Liga MX,Santos Laguna,Bruno Amione,ar ARG,DF,22.0,16.9,809.0,696.0,113.0,27.0,0.0,4.0,9,71.0,0.0,0.0,0.0,0.0,660.0,0.0,9.0,Bruno AmioneSantos Laguna
Liga MX,Santos Laguna,Jose Abella,mx MEX,DF,30.0,16.8,885.0,674.0,206.0,44.0,0.0,10.0,74,145.0,17.0,2.0,11.0,0.0,658.0,5.0,23.0,Jose AbellaSantos Laguna
Liga MX,Santos Laguna,Fran Villalba,es ESP,"MF,FW",26.0,14.3,538.0,506.0,30.0,9.0,4.0,11.0,39,5.0,15.0,6.0,7.0,0.0,414.0,2.0,14.0,Fran VillalbaSantos Laguna
Liga MX,Santos Laguna,Javier Guemez,mx MEX,MF,32.0,15.4,774.0,737.0,34.0,26.0,2.0,7.0,11,5.0,3.0,1.0,0.0,0.0,640.0,3.0,9.0,Javier GuemezSantos Laguna
