League,Squad,Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,PlSqu
EFL Championship,Sheffield United,Harry Souttar,au AUS,DF,25.0,19.6,0,9,2,22.2,0.46,0.1,0.0,0.0,9.8,0.0,0,0,0.8,0.8,0.08,-0.8,-0.8,Harry SouttarSheffield United
EFL Championship,Sheffield United,Tyrese Campbell,eng ENG,FW,24.0,17.6,10,47,25,53.2,2.68,1.42,0.21,0.4,13.2,0.0,0,0,8.2,8.2,0.17,1.8,1.8,Tyrese CampbellSheffield United
EFL Championship,Sheffield United,Kieffer Moore,wls WAL,FW,31.0,19.6,5,55,15,27.3,2.8,0.76,0.07,0.27,13.3,0.0,1,3,9.2,6.8,0.12,-4.2,-2.8,Kieffer MooreSheffield United
EFL Championship,Sheffield United,Rhian Brewster,eng ENG,"MF,FW",24.0,17.3,4,37,7,18.9,2.14,0.4,0.11,0.57,17.4,0.0,0,0,4.3,4.3,0.12,-0.3,-0.3,Rhian BrewsterSheffield United
EFL Championship,Sheffield United,Hamza Choudhury,bd BAN,"MF,DF",26.0,12.3,0,5,1,20.0,0.41,0.08,0.0,0.0,20.2,0.0,0,0,0.2,0.2,0.05,-0.2,-0.2,Hamza ChoudhurySheffield United
EFL Championship,Sheffield United,Ben Brereton,cl CHI,"FW,MF",25.0,10.9,4,22,8,36.4,2.01,0.73,0.18,0.5,13.9,0.0,0,0,4.2,4.2,0.19,-0.2,-0.2,Ben BreretonSheffield United
EFL Championship,Sheffield United,Oliver Arblaster,eng ENG,MF,20.0,10.9,2,10,3,30.0,0.92,0.28,0.2,0.67,20.7,0.0,0,0,0.7,0.7,0.07,1.3,1.3,Oliver ArblasterSheffield United
EFL Championship,Sheffield United,Andre Brooks,eng ENG,"FW,MF",20.0,10.6,3,21,9,42.9,1.99,0.85,0.14,0.33,16.5,0.0,0,0,2.7,2.7,0.13,0.3,0.3,Andre BrooksSheffield United
EFL Championship,Sheffield United,Sam McCallum,eng ENG,"DF,MF",23.0,11.7,2,15,3,20.0,1.28,0.26,0.13,0.67,12.6,0.0,0,0,1.5,1.5,0.1,0.5,0.5,Sam McCallumSheffield United
EFL Championship,Sheffield United,Femi Seriki,eng ENG,DF,22.0,12.1,0,8,3,37.5,0.66,0.25,0.0,0.0,14.1,0.0,0,0,0.5,0.5,0.06,-0.5,-0.5,Femi SerikiSheffield United
EFL Championship,Sheffield United,Thomas Cannon,ie IRL,FW,21.0,7.6,1,21,5,23.8,2.77,0.66,0.05,0.2,16.3,0.0,0,0,1.7,1.7,0.08,-0.7,-0.7,Thomas CannonSheffield United
EFL Championship,Sheffield United,Tom Davies,eng ENG,MF,26.0,7.5,1,10,4,40.0,1.34,0.53,0.1,0.25,18.1,0.0,0,0,1.0,1.0,0.1,0.0,0.0,Tom DaviesSheffield United
EFL Championship,Sheffield United,Harry Clarke,eng ENG,DF,23.0,5.2,0,2,1,50.0,0.38,0.19,0.0,0.0,11.4,0.0,0,0,0.2,0.2,0.08,-0.2,-0.2,Harry ClarkeSheffield United
EFL Championship,Sheffield United,Rob Holding,eng ENG,DF,28.0,4.7,0,3,0,0.0,0.64,0.0,0.0,,10.4,0.0,0,0,0.3,0.3,0.09,-0.3,-0.3,Rob HoldingSheffield United
EFL Championship,Sheffield United,Adam Davies,wls WAL,GK,32.0,3.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Adam DaviesSheffield United
EFL Championship,Sheffield United,Ryan One,sct SCO,FW,18.0,3.2,1,7,2,28.6,2.16,0.62,0.14,0.5,13.7,0.0,0,0,1.0,1.0,0.14,0.0,0.0,Ryan OneSheffield United
EFL Championship,Sheffield United,Jamie Shackleton,eng ENG,"DF,FW",24.0,3.2,0,4,2,50.0,1.24,0.62,0.0,0.0,15.9,0.0,0,0,0.3,0.3,0.07,-0.3,-0.3,Jamie ShackletonSheffield United
EFL Championship,Sheffield United,Rhys Norrington-Davies,wls WAL,DF,25.0,2.8,0,1,0,0.0,0.36,0.0,0.0,,29.0,0.0,0,0,0.0,0.0,0.04,0.0,0.0,Rhys Norrington-DaviesSheffield United
EFL Championship,Sheffield United,Auston Trusty,us USA,DF,25.0,1.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Auston TrustySheffield United
EFL Championship,Sheffield United,Anis Ben Slimane,tn TUN,MF,23.0,0.5,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Anis Ben SlimaneSheffield United
EFL Championship,Sheffield United,Jamal Baptiste,eng ENG,DF,20.0,0.1,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Jamal BaptisteSheffield United
EFL Championship,Sheffield United,Billy Blacker,eng ENG,MF,18.0,0.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Billy BlackerSheffield United
EFL Championship,Sheffield United,Sai Sachdev,eng ENG,DF,19.0,0.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Sai SachdevSheffield United
EFL Championship,Sheffield United,Opponent Total,,,26.0,46.0,35,495,144,29.1,10.76,3.13,0.06,0.22,17.3,13.0,4,5,46.1,42.1,0.09,-11.1,-11.1,Opponent TotalSheffield United
EFL Championship,Burnley,Maxime Esteve,fr FRA,DF,22.0,45.1,1,7,1,14.3,0.16,0.02,0.14,1.0,16.1,0.0,0,0,0.9,0.9,0.13,0.1,0.1,Maxime EsteveBurnley
EFL Championship,Burnley,James Trafford,eng ENG,GK,21.0,45.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,James TraffordBurnley
EFL Championship,Burnley,Josh Cullen,ie IRL,MF,28.0,42.2,2,23,7,30.4,0.54,0.17,0.09,0.29,19.7,0.0,0,0,1.7,1.7,0.07,0.3,0.3,Josh CullenBurnley
EFL Championship,Burnley,Jaidon Anthony,eng ENG,"FW,MF",24.0,40.7,8,97,30,30.9,2.38,0.74,0.08,0.27,17.6,6.0,0,0,9.4,9.4,0.1,-1.4,-1.4,Jaidon AnthonyBurnley
EFL Championship,Burnley,Connor Roberts,wls WAL,DF,28.0,40.4,2,26,5,19.2,0.64,0.12,0.08,0.4,19.8,0.0,0,0,2.5,2.5,0.1,-0.5,-0.5,Connor RobertsBurnley
EFL Championship,Burnley,CJ Egan-Riley,eng ENG,DF,21.0,40.0,1,15,3,20.0,0.37,0.07,0.07,0.33,18.3,2.0,0,0,1.0,1.0,0.07,0.0,0.0,CJ Egan-RileyBurnley
EFL Championship,Burnley,Josh Brownhill,eng ENG,"MF,FW",28.0,38.6,18,63,26,41.3,1.63,0.67,0.24,0.58,19.3,2.0,3,3,9.9,7.5,0.12,8.1,7.5,Josh BrownhillBurnley
EFL Championship,Burnley,Lucas,br BRA,DF,23.0,31.0,0,19,2,10.5,0.61,0.06,0.0,0.0,19.4,0.0,0,0,1.0,1.0,0.05,-1.0,-1.0,LucasBurnley
EFL Championship,Burnley,Zian Flemming,nl NED,FW,25.0,26.9,12,79,31,39.2,2.93,1.15,0.15,0.39,16.8,5.0,0,0,9.1,9.1,0.11,2.9,2.9,Zian FlemmingBurnley
