Squad,Player,PlSqu,Rk,Nation,Pos,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_p90,Ast_p90,G+A_p90,G-PK_p90,G+A-PK_p90,xG_p90,xAG_p90,xG+xAG_p90,npxG_p90,npxG+xAG_p90
Bournemouth,Max Aarons,Max AaronsBournemouth,1,eng ENG,DF,eng Premier League,24,2000,3,1,86,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,8,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Valencia,Max Aarons,Max AaronsValencia,2,eng ENG,"DF,MF",es La Liga,24,2000,4,1,120,1.3,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,6,10,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02
Valencia,Rodrigo Abajas,Rodrigo AbajasValencia,3,es ESP,DF,es La Liga,21,2003,1,1,65,0.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,2,3,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.10,0.10
Udinese,James Abankwah,James AbankwahUdinese,4,ie IRL,"DF,MF",it Serie A,20,2004,6,0,88,1.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,4,1,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06
Marseille,Keyliane Abdallah,Keyliane AbdallahMarseille,5,fr FRA,FW,fr Ligue 1,18,2006,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Saint-Etienne,Yunis Abdelhamid,Yunis AbdelhamidSaint-Etienne,6,ma MAR,DF,fr Ligue 1,36,1987,16,11,1033,11.5,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.4,4,22,3,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03
Angers,Himad Abdelli,Himad AbdelliAngers,7,dz ALG,"MF,FW",fr Ligue 1,24,1999,32,32,2842,31.6,6,1,7,3,3,4,4,0,6.4,3.2,3.2,6.4,107,207,111,0.19,0.03,0.22,0.10,0.13,0.20,0.10,0.30,0.10,0.20
Nice,Mohamed Abdelmoneim,Mohamed AbdelmoneimNice,8,eg EGY,DF,fr Ligue 1,25,1999,12,10,855,9.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,6,52,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nice,Ali Abdi,Ali AbdiNice,9,tn TUN,"DF,MF",fr Ligue 1,30,1993,25,17,1393,15.5,5,2,7,5,0,0,2,0,4.3,4.3,1.9,6.2,35,42,101,0.32,0.13,0.45,0.32,0.45,0.28,0.12,0.40,0.28,0.40
Roma,Saud Abdulhamid,Saud AbdulhamidRoma,10,sa KSA,DF,it Serie A,25,1999,4,2,205,2.3,0,1,1,0,0,0,0,0,0.0,0.0,0.2,0.2,6,9,26,0.00,0.44,0.44,0.00,0.44,0.01,0.08,0.09,0.01,0.09
Osasuna,Abel,AbelOsasuna,11,es ESP,DF,es La Liga,23,2000,35,20,2074,23.0,2,0,2,2,0,0,3,0,0.5,0.5,1.0,1.6,50,77,92,0.09,0.00,0.09,0.09,0.09,0.02,0.05,0.07,0.02,0.07
Getafe,Nabil Aberdin,Nabil AberdinGetafe,12,fr FRA,MF,es La Liga,21,2002,7,4,263,2.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,2,6,2,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02
Como,Oliver Abildgaard,Oliver AbildgaardComo,13,dk DEN,MF,it Serie A,28,1996,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nantes,Matthis Abline,Matthis AblineNantes,14,fr FRA,FW,fr Ligue 1,21,2003,34,33,2768,30.8,9,2,11,8,1,1,3,0,8.5,7.7,3.8,11.5,75,48,169,0.29,0.07,0.36,0.26,0.33,0.28,0.12,0.40,0.25,0.37
Lyon,Abner,AbnerLyon,15,br BRA,DF,fr Ligue 1,24,2000,19,12,1090,12.1,1,1,2,1,0,0,1,0,0.6,0.6,1.1,1.7,31,66,55,0.08,0.08,0.17,0.08,0.17,0.05,0.09,0.14,0.05,0.14
Toulouse,Zakaria Aboukhlal,Zakaria AboukhlalToulouse,16,ma MAR,"MF,FW",fr Ligue 1,24,2000,26,22,1901,21.1,7,2,9,6,1,2,4,0,10.2,8.6,1.6,10.2,34,22,164,0.33,0.09,0.43,0.28,0.38,0.48,0.07,0.56,0.41,0.48
Alaves,Abdel Abqar,Abdel AbqarAlaves,17,ma MAR,DF,es La Liga,25,1999,29,29,2463,27.4,0,1,1,0,0,0,13,0,0.9,0.9,0.3,1.2,16,79,4,0.00,0.04,0.04,0.00,0.04,0.03,0.01,0.04,0.03,0.04
Roma,Tammy Abraham,Tammy AbrahamRoma,18,eng ENG,FW,it Serie A,26,1997,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Milan,Tammy Abraham,Tammy AbrahamMilan,19,eng ENG,FW,it Serie A,26,1997,28,12,1183,13.1,3,4,7,2,1,2,1,0,7.1,5.4,2.2,7.6,8,26,69,0.23,0.30,0.53,0.15,0.46,0.54,0.16,0.70,0.41,0.58
Genoa,Federico Accornero,Federico AccorneroGenoa,20,it ITA,MF,it Serie A,20,2004,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Inter,Francesco Acerbi,Francesco AcerbiInter,21,it ITA,DF,it Serie A,36,1988,23,20,1710,19.0,0,1,1,0,0,0,0,0,0.4,0.4,0.6,1.0,19,62,22,0.00,0.05,0.05,0.00,0.05,0.02,0.03,0.05,0.02,0.05
Chelsea,Joshua Acheampong,Joshua AcheampongChelsea,22,eng ENG,DF,eng Premier League,18,2006,4,2,170,1.9,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,0,8,0,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12
Sevilla,Akor Adams,Akor AdamsSevilla,23,ng NGA,FW,es La Liga,24,2000,4,1,134,1.5,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,0,5,5,0.00,0.00,0.00,0.00,0.00,0.29,0.00,0.29,0.29,0.29
Montpellier,Akor Adams,Akor AdamsMontpellier,24,ng NGA,FW,fr Ligue 1,24,2000,15,13,1075,11.9,3,1,4,3,0,0,2,0,4.3,4.3,1.0,5.3,11,6,45,0.25,0.08,0.33,0.25,0.33,0.36,0.08,0.44,0.36,0.44
Torino,Che Adams,Che AdamsTorino,25,sct SCO,FW,it Serie A,28,1996,36,30,2652,29.5,9,3,12,9,0,1,2,0,9.0,8.2,2.0,10.2,23,40,153,0.31,0.10,0.41,0.31,0.41,0.31,0.07,0.37,0.28,0.35
Bournemouth,Tyler Adams,Tyler AdamsBournemouth,26,us USA,MF,eng Premier League,25,1999,28,21,1965,21.8,0,3,3,0,0,0,7,0,1.6,1.6,1.0,2.6,14,76,10,0.00,0.14,0.14,0.00,0.14,0.07,0.05,0.12,0.07,0.12
Freiburg,Junior Adamu,Junior AdamuFreiburg,27,at AUT,FW,de Bundesliga,23,2001,25,19,1545,17.2,2,2,4,2,0,0,5,1,5.5,5.5,2.4,7.9,8,14,84,0.12,0.12,0.23,0.12,0.23,0.32,0.14,0.46,0.32,0.46
Chelsea,Tosin Adarabioyo,Tosin AdarabioyoChelsea,28,eng ENG,DF,eng Premier League,26,1997,22,15,1409,15.7,1,1,2,1,0,0,4,0,0.9,0.9,0.2,1.2,5,42,1,0.06,0.06,0.13,0.06,0.13,0.06,0.01,0.07,0.06,0.07
Reims,Martin Adeline,Martin AdelineReims,29,fr FRA,MF,fr Ligue 1,20,2003,1,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Dortmund,Karim Adeyemi,Karim AdeyemiDortmund,30,de GER,"FW,MF",de Bundesliga,22,2002,25,17,1433,15.9,7,6,13,7,0,0,4,0,5.5,5.5,6.0,11.5,68,28,153,0.44,0.38,0.82,0.44,0.82,0.34,0.38,0.72,0.34,0.72
Brighton,Simon Adingra,Simon AdingraBrighton,31,ci CIV,"FW,MF",eng Premier League,22,2002,29,12,1097,12.2,2,2,4,2,0,0,0,0,2.5,2.5,2.5,4.9,50,18,136,0.16,0.16,0.33,0.16,0.33,0.20,0.20,0.40,0.20,0.40
Leverkusen,Amine Adli,Amine AdliLeverkusen,32,ma MAR,"MF,FW",de Bundesliga,24,2000,20,6,766,8.5,2,0,2,2,0,0,3,0,2.7,2.7,0.7,3.4,37,24,100,0.23,0.00,0.23,0.23,0.23,0.32,0.08,0.40,0.32,0.40
Fiorentina,Yacine Adli,Yacine AdliFiorentina,33,fr FRA,MF,it Serie A,24,2000,26,15,1234,13.7,4,6,10,4,0,0,3,1,1.0,1.0,2.4,3.4,24,103,30,0.29,0.44,0.73,0.29,0.73,0.08,0.17,0.25,0.08,0.25
Betis,Adrian,AdrianBetis,34,es ESP,GK,es La Liga,37,1987,19,19,1710,19.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lyon,Adryelson,AdryelsonLyon,35,br BRA,DF,fr Ligue 1,26,1998,1,0,1,0.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Juventus,Vasilije Adzic,Vasilije AdzicJuventus,36,me MNE,"MF,FW",it Serie A,18,2006,6,0,42,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,3,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05
