Squad,Player,Rk,Nation,Pos,Comp,Age,Born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,PlSqu
Nice,Moise Bombito,358,ca CAN,DF,fr Ligue 1,24,2000,24.4,37,25,22,12,3,24,35,68.6,11,35,19,16,18,55,121,7,Moise BombitoNice
Monza,Warren Bondo,359,fr FRA,MF,it Serie A,20,2003,18.0,35,24,19,12,4,13,19,68.4,6,16,6,10,5,40,8,4,Warren BondoMonza
Milan,Warren Bondo,360,fr FRA,MF,it Serie A,20,2003,1.8,5,3,4,1,0,3,3,100.0,0,1,0,1,0,5,2,0,Warren BondoMilan
Leverkusen,Victor Boniface,361,ng NGA,FW,de Bundesliga,23,2000,11.2,5,4,0,3,2,3,4,75.0,1,1,0,1,0,5,5,0,Victor BonifaceLeverkusen
Lecce,Kevin Bonifazi,362,it ITA,DF,it Serie A,28,1996,0.7,1,1,1,0,0,1,1,100.0,0,1,1,0,2,3,3,0,Kevin BonifaziLecce
Parma,Ange-Yoan Bonny,363,fr FRA,FW,it Serie A,20,2003,28.1,34,16,4,23,7,8,14,57.1,6,17,2,15,3,37,17,0,Ange-Yoan BonnyParma
Wolfsburg,Sebastiaan Bornauw,364,be BEL,DF,de Bundesliga,25,1999,8.8,9,6,4,4,1,4,8,50.0,4,14,12,2,12,21,36,0,Sebastiaan BornauwWolfsburg
Newcastle Utd,Sven Botman,365,nl NED,DF,eng Premier League,24,2000,4.6,12,9,6,5,1,7,9,77.8,2,5,4,1,5,17,25,1,Sven BotmanNewcastle Utd
Monaco,Saimon Bouabre,366,fr FRA,"MF,FW",fr Ligue 1,18,2006,1.1,1,0,0,1,0,0,3,0.0,3,1,0,1,0,1,0,0,Saimon BouabreMonaco
Lille,Ayyoub Bouaddi,367,fr FRA,MF,fr Ligue 1,16,2007,12.8,50,31,21,21,8,19,32,59.4,13,12,3,9,10,60,12,1,Ayyoub BouaddiLille
Nice,Badredine Bouanani,368,dz ALG,"MF,FW",fr Ligue 1,19,2004,12.2,11,4,4,4,3,6,18,33.3,12,16,3,13,11,22,4,0,Badredine BouananiNice
Saint-Etienne,Benjamin Bouchouari,369,ma MAR,MF,fr Ligue 1,22,2001,19.7,33,27,15,13,5,16,46,34.8,30,21,1,20,17,50,15,2,Benjamin BouchouariSaint-Etienne
Nice,Hicham Boudaoui,370,dz ALG,MF,fr Ligue 1,24,1999,27.1,76,52,28,37,11,31,53,58.5,22,40,11,29,22,98,45,1,Hicham BoudaouiNice
St. Pauli,Carlo Boukhalfa,371,ma MAR,MF,de Bundesliga,25,1999,18.3,26,11,7,17,2,7,19,36.8,12,22,3,19,12,38,25,1,Carlo BoukhalfaSt. Pauli
Brest,Justin Bourgault,372,fr FRA,DF,fr Ligue 1,18,2005,1.4,2,1,1,1,0,0,0,,0,0,0,0,0,2,1,0,Justin BourgaultBrest
Rennes,Benjamin Bourigeaud,373,fr FRA,MF,fr Ligue 1,30,1994,0.9,1,0,0,1,0,0,2,0.0,2,2,1,1,2,3,1,0,Benjamin BourigeaudRennes
Fiorentina,Edoardo Bove,374,it ITA,"MF,FW",it Serie A,22,2002,9.3,24,17,7,14,3,14,28,50.0,14,12,0,12,6,30,8,0,Edoardo BoveFiorentina
West Ham,Jarrod Bowen,375,eng ENG,"FW,MF",eng Premier League,27,1996,33.0,41,26,13,12,16,19,40,47.5,21,22,4,18,16,57,25,0,Jarrod BowenWest Ham
Osasuna,Enzo Boyomo,376,cm CMR,DF,es La Liga,22,2001,33.2,68,43,46,18,4,30,39,76.9,9,34,19,15,44,112,137,3,Enzo BoyomoOsasuna
Valladolid,Enzo Boyomo,377,cm CMR,DF,es La Liga,22,2001,3.0,6,2,4,2,0,3,3,100.0,0,4,3,1,1,7,7,0,Enzo BoyomoValladolid
Hellas Verona,Domagoj Bradaric,378,hr CRO,DF,it Serie A,24,1999,21.5,36,28,21,11,4,18,29,62.1,11,17,4,13,15,51,49,1,Domagoj BradaricHellas Verona
Liverpool,Conor Bradley,379,nir NIR,DF,eng Premier League,21,2003,8.4,14,10,7,5,2,11,22,50.0,11,9,2,7,4,18,31,0,Conor BradleyLiverpool
Nice,Bilal Brahimi,380,dz ALG,MF,fr Ligue 1,24,2000,0.8,0,0,0,0,0,0,0,,0,1,0,1,0,0,2,0,Bilal BrahimiNice
Dortmund,Julian Brandt,381,de GER,MF,de Bundesliga,28,1996,25.6,26,11,13,8,5,15,43,34.9,28,17,0,17,14,40,13,1,Julian BrandtDortmund
Everton,Jarrad Branthwaite,382,eng ENG,DF,eng Premier League,22,2002,27.9,36,20,26,10,0,20,28,71.4,8,31,23,8,27,63,191,4,Jarrad BranthwaiteEverton
Leganes,Darko Brasanac,383,rs SRB,MF,es La Liga,32,1992,18.0,26,11,5,15,6,9,17,52.9,8,24,11,13,16,42,34,0,Darko BrasanacLeganes
Marseille,Lilian Brassier,384,fr FRA,DF,fr Ligue 1,24,1999,8.7,8,6,8,0,0,5,6,83.3,1,8,3,5,9,17,28,2,Lilian BrassierMarseille
Rennes,Lilian Brassier,385,fr FRA,DF,fr Ligue 1,24,1999,13.7,15,12,11,4,0,9,11,81.8,2,17,10,7,22,37,62,1,Lilian BrassierRennes
Como,Matthias Braunoder,386,at AUT,MF,it Serie A,22,2002,3.0,10,4,6,3,1,7,11,63.6,4,3,0,3,2,12,4,1,Matthias BraunoderComo
Udinese,Iker Bravo,387,es ESP,"FW,MF",it Serie A,19,2005,7.6,10,6,3,5,2,5,9,55.6,4,4,1,3,1,11,4,0,Iker BravoUdinese
Southampton,James Bree,388,eng ENG,DF,eng Premier League,26,1997,11.9,19,14,8,10,1,10,25,40.0,15,10,3,7,9,28,29,0,James BreeSouthampton
Augsburg,Tim Breithaupt,389,de GER,MF,de Bundesliga,22,2002,1.3,1,1,0,1,0,0,4,0.0,4,1,0,1,2,3,0,0,Tim BreithauptAugsburg
Juventus,Gleison Bremer,390,br BRA,DF,it Serie A,27,1997,6.0,15,7,9,5,1,4,5,80.0,1,15,11,4,6,21,16,0,Gleison BremerJuventus
Udinese,Brenner,391,br BRA,"MF,FW",it Serie A,24,2000,4.3,6,4,2,3,1,3,8,37.5,5,4,0,4,1,7,6,0,BrennerUdinese
Southampton,Ben Brereton,392,cl CHI,FW,eng Premier League,25,1999,5.0,3,2,0,2,1,1,9,11.1,8,2,1,1,0,3,4,0,Ben BreretonSouthampton
Atalanta,Marco Brescianini,393,it ITA,MF,it Serie A,24,2000,11.0,18,11,5,9,4,8,10,80.0,2,15,2,13,2,20,6,0,Marco BrescianiniAtalanta
Heidenheim,Maximilian Breunig,394,de GER,"FW,MF",de Bundesliga,23,2000,3.9,4,3,1,2,1,3,6,50.0,3,9,2,7,1,5,3,0,Maximilian BreunigHeidenheim
Saint-Etienne,Anthony Briancon,395,fr FRA,DF,fr Ligue 1,29,1994,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Anthony BrianconSaint-Etienne
Ipswich Town,Nathan Broadhead,396,wls WAL,"MF,FW",eng Premier League,26,1998,7.8,9,4,3,6,0,3,12,25.0,9,8,1,7,4,13,5,0,Nathan BroadheadIpswich Town
Everton,Armando Broja,397,al ALB,FW,eng Premier League,22,2001,3.7,3,1,1,1,1,0,0,,0,3,0,3,1,4,4,0,Armando BrojaEverton
Bournemouth,David Brooks,398,wls WAL,"FW,MF",eng Premier League,27,1997,10.7,14,6,2,8,4,2,16,12.5,14,18,2,16,5,19,9,1,David BrooksBournemouth
Monza,Arvid Brorsson,399,se SWE,DF,it Serie A,25,1999,4.0,4,3,2,2,0,2,5,40.0,3,9,8,1,2,6,35,1,Arvid BrorssonMonza
Bochum,Moritz Broschinski,400,de GER,"FW,MF",de Bundesliga,23,2000,15.4,19,14,6,6,7,6,15,40.0,9,18,0,18,1,20,18,0,Moritz BroschinskiBochum
Eint Frankfurt,Nathaniel Brown,401,de GER,"DF,MF",de Bundesliga,21,2003,21.6,71,42,39,18,14,44,55,80.0,11,30,0,30,15,86,55,1,Nathaniel BrownEint Frankfurt
Hoffenheim,Jacob Bruun Larsen,402,dk DEN,"FW,MF",de Bundesliga,25,1998,4.4,4,3,1,2,1,3,8,37.5,5,5,1,4,1,5,2,0,Jacob Bruun LarsenHoffenheim
Stuttgart,Jacob Bruun Larsen,403,dk DEN,"MF,FW",de Bundesliga,25,1998,4.6,1,1,1,0,0,0,2,0.0,2,7,0,7,1,2,4,1,Jacob Bruun LarsenStuttgart
Inter,Tajon Buchanan,404,ca CAN,"DF,FW",it Serie A,25,1999,1.1,3,0,2,0,1,1,2,50.0,1,0,0,0,0,3,3,0,Tajon BuchananInter
Villarreal,Tajon Buchanan,405,ca CAN,MF,es La Liga,25,1999,4.6,10,5,6,4,0,6,9,66.7,3,6,0,6,1,11,1,0,Tajon BuchananVillarreal
Osasuna,Ante Budimir,406,hr CRO,FW,es La Liga,33,1991,32.8,20,9,3,11,6,3,13,23.1,10,19,4,15,2,22,26,0,Ante BudimirOsasuna
Aston Villa,Emi Buendia,407,ar ARG,"MF,FW",eng Premier League,27,1996,1.1,6,6,3,2,1,0,5,0.0,5,5,1,4,0,6,2,0,Emi BuendiaAston Villa
Leverkusen,Emi Buendia,408,ar ARG,MF,de Bundesliga,27,1996,2.9,6,5,1,4,1,5,8,62.5,3,6,0,6,0,6,0,0,Emi BuendiaLeverkusen
Sevilla,Manu Bueno,409,es ESP,"MF,FW",es La Liga,20,2004,1.6,4,3,0,1,3,1,2,50.0,1,0,0,0,0,4,2,0,Manu BuenoSevilla
Wolves,Santiago Bueno,410,uy URU,DF,eng Premier League,25,1998,18.7,41,21,22,18,1,17,22,77.3,5,36,21,15,15,56,70,0,Santiago BuenoWolves
Athletic Club,Endika Bujan,411,es ESP,FW,es La Liga,21,2003,0.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Endika BujanAthletic Club
Hoffenheim,Marius Bulter,412,de GER,"FW,DF",de Bundesliga,31,1993,19.2,13,10,5,6,2,9,17,52.9,8,10,3,7,4,17,14,1,Marius BulterHoffenheim
Leicester City,Facundo Buonanotte,413,ar ARG,"FW,MF",eng Premier League,19,2004,16.9,53,32,17,22,14,21,67,31.3,46,34,6,28,12,65,14,0,Facundo BuonanotteLeicester City
Napoli,Alessandro Buongiorno,414,it ITA,DF,it Serie A,25,1999,21.4,39,23,26,12,1,24,32,75.0,8,30,18,12,35,74,73,2,Alessandro BuongiornoNapoli
Ipswich Town,Cameron Burgess,415,au AUS,DF,eng Premier League,28,1995,17.1,17,12,14,3,0,9,11,81.8,2,20,15,5,14,31,128,3,Cameron BurgessIpswich Town
Mainz 05,Jonathan Burkardt,416,de GER,FW,de Bundesliga,24,2000,23.4,15,8,1,7,7,6,10,60.0,4,11,1,10,1,16,14,0,Jonathan BurkardtMainz 05
Werder Bremen,Oliver Burke,417,sct SCO,FW,de Bundesliga,27,1997,10.1,11,4,5,1,5,4,6,66.7,2,20,0,20,2,13,6,0,Oliver BurkeWerder Bremen
Newcastle Utd,Dan Burn,418,eng ENG,DF,eng Premier League,32,1992,37.0,39,24,22,15,2,20,36,55.6,16,36,26,10,27,66,197,4,Dan BurnNewcastle Utd
Lecce,Rares-Catalin Burnete,419,ro ROU,FW,it Serie A,20,2004,0.3,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Rares-Catalin BurneteLecce
Ipswich Town,Wes Burns,420,wls WAL,"FW,DF",eng Premier League,29,1994,10.3,13,11,1,9,3,4,10,40.0,6,7,2,5,10,23,13,2,Wes BurnsIpswich Town
Heidenheim,Marnon Busch,421,de GER,"DF,MF",de Bundesliga,29,1994,15.5,26,17,19,7,0,23,32,71.9,9,23,10,13,13,39,65,5,Marnon BuschHeidenheim
Venezia,Gianluca Busio,422,us USA,MF,it Serie A,22,2002,28.0,46,31,24,12,10,20,47,42.6,27,36,8,28,19,65,52,0,Gianluca BusioVenezia
Reims,Aurelio Buta,423,pt POR,DF,fr Ligue 1,27,1997,21.9,37,24,22,11,4,21,42,50.0,21,19,5,14,22,59,59,0,Aurelio ButaReims
Como,Jean Butez,424,fr FRA,GK,it Serie A,29,1995,18.5,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,18,1,Jean ButezComo
Arsenal,Nathan Butler-Oyedeji,425,eng ENG,FW,eng Premier League,21,2003,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Nathan Butler-OyedejiArsenal
Nice,Marcin Bulka,426,pl POL,GK,fr Ligue 1,24,1999,34.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,16,6,Marcin BulkaNice
Villarreal,Pau Cabanes,427,es ESP,"MF,FW",es La Liga,19,2005,1.8,4,4,0,3,1,3,4,75.0,1,5,0,5,3,7,2,1,Pau CabanesVillarreal
Alaves,Pau Cabanes,428,es ESP,"MF,FW",es La Liga,19,2005,2.1,8,2,4,3,1,6,13,46.2,7,2,0,2,0,8,1,0,Pau CabanesAlaves
Lille,Remy Cabella,429,fr FRA,"FW,MF",fr Ligue 1,34,1990,11.2,39,19,16,13,10,19,33,57.6,14,10,1,9,8,47,5,0,Remy CabellaLille
Espanyol,Leandro Cabrera,430,uy URU,DF,es La Liga,33,1991,31.9,40,23,29,8,3,19,33,57.6,14,35,25,10,30,70,199,2,Leandro CabreraEspanyol
Empoli,Liberato Cacace,431,nz NZL,"MF,DF",it Serie A,23,2000,24.8,37,25,20,13,4,22,31,71.0,9,26,9,17,22,59,59,0,Liberato CacaceEmpoli
Torino,Alessio Cacciamani,432,it ITA,"MF,DF",it Serie A,17,2007,0.3,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Alessio CacciamaniTorino
Mainz 05,Anthony Caci,433,fr FRA,DF,de Bundesliga,27,1997,29.8,60,40,23,25,12,28,44,63.6,16,33,8,25,27,87,47,2,Anthony CaciMainz 05
Saint-Etienne,Mathieu Cafaro,434,fr FRA,"MF,FW",fr Ligue 1,27,1997,8.1,10,7,4,4,2,4,15,26.7,11,7,1,6,7,17,3,0,Mathieu CafaroSaint-Etienne
Chelsea,Moises Caicedo,435,ec ECU,"MF,DF",eng Premier League,22,2001,37.2,114,73,44,54,16,54,86,62.8,32,49,10,39,49,163,60,1,Moises CaicedoChelsea
Fulham,Tom Cairney,436,sct SCO,MF,eng Premier League,33,1991,7.0,13,5,5,2,6,4,7,57.1,3,7,1,6,4,17,3,1,Tom CairneyFulham
Ipswich Town,Jens Cajuste,437,se SWE,MF,eng Premier League,24,1999,21.8,44,22,19,23,2,21,49,42.9,28,25,10,15,28,72,33,2,Jens CajusteIpswich Town
Bologna,Davide Calabria,438,it ITA,DF,it Serie A,27,1996,7.0,12,8,5,5,2,5,12,41.7,7,4,0,4,3,15,22,1,Davide CalabriaBologna
Milan,Davide Calabria,439,it ITA,DF,it Serie A,27,1996,3.5,10,7,10,0,0,4,7,57.1,3,1,0,1,8,18,8,0,Davide CalabriaMilan
Arsenal,Riccardo Calafiori,440,it ITA,DF,eng Premier League,22,2002,10.9,27,19,15,10,2,18,29,62.1,11,12,6,6,9,36,25,0,Riccardo CalafioriArsenal
Monza,Luca Caldirola,441,it ITA,DF,it Serie A,33,1991,9.7,11,7,8,3,0,4,7,57.1,3,9,6,3,11,22,43,1,Luca CaldirolaMonza
Espanyol,Fernando Calero,442,es ESP,"DF,MF",es La Liga,28,1995,7.9,18,10,13,4,1,8,12,66.7,4,16,9,7,16,34,50,1,Fernando CaleroEspanyol
Lyon,Duje Caleta-Car,443,hr CRO,DF,fr Ligue 1,27,1996,17.6,20,12,11,9,0,10,19,52.6,9,33,25,8,17,37,97,2,Duje Caleta-CarLyon
Inter,Hakan Calhanoglu,444,tr TUR,MF,it Serie A,30,1994,20.9,43,22,7,23,13,21,36,58.3,15,17,8,9,17,60,24,0,Hakan CalhanogluInter
Everton,Dominic Calvert-Lewin,445,eng ENG,FW,eng Premier League,27,1997,17.9,9,7,1,4,4,2,6,33.3,4,7,2,5,7,16,23,0,Dominic Calvert-LewinEverton
Parma,Drissa Camara,446,ci CIV,"MF,FW",it Serie A,22,2002,5.0,9,7,2,6,1,1,10,10.0,9,8,0,8,3,12,1,0,Drissa CamaraParma
Nice,Issiaga Camara,447,gn GUI,MF,fr Ligue 1,19,2005,0.2,2,1,0,2,0,0,1,0.0,1,0,0,0,3,5,0,0,Issiaga CamaraNice
Monaco,Lamine Camara,448,sn SEN,MF,fr Ligue 1,20,2004,22.8,66,41,22,34,10,26,48,54.2,22,30,4,26,31,97,32,1,Lamine CamaraMonaco
Brest,Mahdi Camara,449,fr FRA,"MF,FW",fr Ligue 1,26,1998,29.5,71,40,16,38,17,24,46,52.2,22,40,5,35,33,104,29,0,Mahdi CamaraBrest
Angers,Ousmane Camara,450,fr FRA,DF,fr Ligue 1,21,2003,2.8,4,3,3,1,0,1,2,50.0,1,1,1,0,0,4,18,0,Ousmane CamaraAngers
Milan,Francesco Camarda,451,it ITA,"FW,MF",it Serie A,16,2008,2.3,5,2,0,2,3,2,6,33.3,4,2,1,1,0,5,3,0,Francesco CamardaMilan
Real Madrid,Eduardo Camavinga,452,fr FRA,"MF,DF",es La Liga,21,2002,12.2,42,26,23,16,3,19,33,57.6,14,24,8,16,18,60,23,0,Eduardo CamavingaReal Madrid
Bologna,Nicolo Cambiaghi,453,it ITA,FW,it Serie A,23,2000,6.9,16,10,6,7,3,5,10,50.0,5,9,0,9,2,18,2,0,Nicolo CambiaghiBologna
Juventus,Andrea Cambiaso,454,it ITA,"DF,FW",it Serie A,24,2000,24.7,46,30,27,13,6,27,44,61.4,17,24,4,20,16,62,34,5,Andrea CambiasoJuventus
Brest,Axel Camblan,455,fr FRA,"MF,FW",fr Ligue 1,20,2003,0.3,1,1,0,0,1,1,2,50.0,1,1,0,1,0,1,0,0,Axel CamblanBrest
Rayo Vallecano,Sergio Camello,456,es ESP,FW,es La Liga,23,2001,12.6,9,3,2,5,2,4,6,66.7,2,8,1,7,4,13,16,0,Sergio CamelloRayo Vallecano
Las Palmas,Jose Campana,457,es ESP,MF,es La Liga,31,1993,13.2,21,16,8,11,2,11,20,55.0,9,9,1,8,19,40,19,2,Jose CampanaLas Palmas
Empoli,Thomas Campaniello,458,it ITA,FW,it Serie A,16,2008,0.3,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,0,0,Thomas CampanielloEmpoli
Dortmund,Cole Campbell,459,us USA,"MF,FW",de Bundesliga,18,2006,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Cole CampbellDortmund
Dortmund,Emre Can,460,de GER,"DF,MF",de Bundesliga,30,1994,23.4,50,28,30,16,4,18,36,50.0,18,31,17,14,20,70,89,3,Emre CanDortmund
Athletic Club,Peio Canales,461,es ESP,"MF,FW",es La Liga,19,2005,2.9,3,2,0,1,2,1,1,100.0,0,3,0,3,2,5,2,0,Peio CanalesAthletic Club
Parma,Matteo Cancellieri,462,it ITA,"FW,MF",it Serie A,22,2002,15.8,26,16,15,9,2,11,32,34.4,21,15,1,14,13,39,30,0,Matteo CancellieriParma
Venezia,Fali Cande,463,gw GNB,DF,it Serie A,26,1998,17.0,25,19,14,10,1,16,23,69.6,7,21,15,6,15,40,90,2,Fali CandeVenezia
Venezia,Antonio Candela,464,it ITA,DF,it Serie A,24,2000,11.2,31,21,13,11,7,18,26,69.2,8,7,5,2,8,39,22,2,Antonio CandelaVenezia
Valladolid,Antonio Candela,465,it ITA,DF,es La Liga,24,2000,10.1,9,6,6,2,1,4,11,36.4,7,11,6,5,6,15,33,0,Antonio CandelaValladolid
Valencia,Sergi Canos,466,es ESP,"MF,FW",es La Liga,27,1997,4.1,11,7,3,4,4,4,10,40.0,6,6,1,5,5,16,5,0,Sergi CanosValencia
Toulouse,Jaydee Canvot,467,fr FRA,"DF,MF",fr Ligue 1,18,2006,12.3,23,11,16,5,2,12,18,66.7,6,10,2,8,11,34,54,1,Jaydee CanvotToulouse
Angers,Pierrick Capelle,468,fr FRA,MF,fr Ligue 1,37,1987,5.4,24,17,10,9,5,9,18,50.0,9,4,1,3,11,35,5,1,Pierrick CapelleAngers
Monza,Gianluca Caprari,469,it ITA,"MF,FW",it Serie A,31,1993,18.3,19,11,8,8,3,7,14,50.0,7,14,0,14,8,27,2,1,Gianluca CaprariMonza
Cagliari,Elia Caprile,470,it ITA,GK,it Serie A,22,2001,18.0,1,0,1,0,0,0,2,0.0,2,0,0,0,0,1,9,1,Elia CaprileCagliari
Napoli,Elia Caprile,471,it ITA,GK,it Serie A,22,2001,3.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Elia CaprileNapoli
Lens,Gabin Capuano,472,fr FRA,FW,fr Ligue 1,18,2006,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Gabin CapuanoLens
Empoli,Francesco Caputo,473,it ITA,FW,it Serie A,36,1987,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Francesco CaputoEmpoli
Como,Maxence Caqueret,474,fr FRA,MF,it Serie A,24,2000,12.1,36,21,14,18,4,20,38,52.6,18,15,1,14,7,43,4,1,Maxence CaqueretComo
Lyon,Maxence Caqueret,475,fr FRA,MF,fr Ligue 1,24,2000,6.4,21,11,5,11,5,4,22,18.2,18,12,2,10,7,28,2,0,Maxence CaqueretLyon
Montpellier,Simon Cara,476,fr FRA,"MF,FW",fr Ligue 1,19,2005,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Simon CaraMontpellier
Monza,Andrea Carboni,477,it ITA,DF,it Serie A,23,2001,24.3,60,35,39,17,4,35,53,66.0,18,31,16,15,27,87,106,4,Andrea CarboniMonza
Venezia,Franco Carboni,478,it ITA,DF,it Serie A,21,2003,2.5,5,3,5,0,0,5,8,62.5,3,1,1,0,0,5,11,0,Franco CarboniVenezia
Marseille,Valentin Carboni,479,ar ARG,"MF,FW",fr Ligue 1,19,2005,1.1,2,2,0,1,1,0,1,0.0,1,1,0,1,1,3,1,0,Valentin CarboniMarseille
Rayo Vallecano,Dani Cardenas,480,es ESP,GK,es La Liga,27,1997,6.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,Dani CardenasRayo Vallecano
Espanyol,Irvin Cardona,481,fr FRA,"FW,MF",es La Liga,26,1997,6.7,8,5,2,4,2,6,16,37.5,10,5,1,4,4,12,10,0,Irvin CardonaEspanyol
Saint-Etienne,Irvin Cardona,482,fr FRA,FW,fr Ligue 1,26,1997,11.8,6,5,3,3,0,2,14,14.3,12,16,3,13,4,10,6,2,Irvin CardonaSaint-Etienne
Las Palmas,Marc Cardona,483,es ESP,"FW,DF",es La Liga,29,1995,1.5,4,2,1,3,0,0,1,0.0,1,0,0,0,0,4,0,0,Marc CardonaLas Palmas
Villarreal,Sergi Cardona,484,es ESP,DF,es La Liga,25,1999,32.7,71,48,44,20,7,49,79,62.0,30,52,7,45,40,111,122,1,Sergi CardonaVillarreal
Betis,Johnny Cardoso,485,us USA,MF,es La Liga,22,2001,23.8,55,31,12,35,8,20,52,38.5,32,27,12,15,48,103,64,1,Johnny CardosoBetis
Gladbach,Tiago Cardoso,486,lu LUX,GK,de Bundesliga,18,2006,4.2,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,2,2,Tiago CardosoGladbach
Nantes,Patrik Carlgren,487,se SWE,GK,fr Ligue 1,32,1992,4.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Patrik CarlgrenNantes
Aston Villa,Diego Carlos,488,br BRA,DF,eng Premier League,31,1993,9.2,8,3,6,1,1,4,6,66.7,2,13,7,6,5,13,36,2,Diego CarlosAston Villa
Las Palmas,Jose Carlos Gonzalez,489,es ESP,DF,es La Liga,18,2006,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Jose Carlos GonzalezLas Palmas
Sevilla,Carmona,490,es ESP,DF,es La Liga,22,2002,32.7,83,59,53,21,9,41,77,53.2,36,37,11,26,68,151,92,3,CarmonaSevilla
Atalanta,Marco Carnesecchi,491,it ITA,GK,it Serie A,24,2000,34.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,26,2,Marco CarnesecchiAtalanta
Celta Vigo,Sergio Carreira,492,es ESP,"MF,DF",es La Liga,23,2000,18.4,28,16,16,6,6,14,26,53.8,12,20,2,18,17,45,37,0,Sergio CarreiraCelta Vigo
Real Madrid,Dani Carvajal,493,es ESP,DF,es La Liga,32,1992,6.8,12,8,7,3,2,9,12,75.0,3,8,3,5,10,22,19,1,Dani CarvajalReal Madrid
Brentford,Fabio Carvalho,494,pt POR,"FW,MF",eng Premier League,21,2002,5.1,13,9,4,4,5,6,13,46.2,7,6,1,5,3,16,2,0,Fabio CarvalhoBrentford
Betis,William Carvalho,495,pt POR,MF,es La Liga,32,1992,5.4,9,6,3,6,0,4,6,66.7,2,6,2,4,3,12,6,0,William CarvalhoBetis
Torino,Cesare Casadei,496,it ITA,MF,it Serie A,21,2003,11.3,12,5,4,8,0,5,10,50.0,5,4,2,2,5,17,26,0,Cesare CasadeiTorino
Barcelona,Marc Casado,497,es ESP,MF,es La Liga,20,2003,17.9,44,25,7,30,7,20,41,48.8,21,20,5,15,22,66,22,1,Marc CasadoBarcelona
Bologna,Nicolo Casale,498,it ITA,DF,it Serie A,26,1998,10.0,11,5,4,6,1,5,10,50.0,5,15,7,8,17,28,43,3,Nicolo CasaleBologna
Lazio,Nicolo Casale,499,it ITA,DF,it Serie A,26,1998,1.5,5,3,4,1,0,0,0,,0,4,3,1,1,6,2,0,Nicolo CasaleLazio
Manchester Utd,Casemiro,500,br BRA,MF,eng Premier League,32,1992,16.6,83,50,50,23,10,45,74,60.8,29,39,10,29,14,97,51,3,CasemiroManchester Utd
West Ham,Kaelan Casey,501,eng ENG,DF,eng Premier League,19,2004,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Kaelan CaseyWest Ham
Aston Villa,Matty Cash,502,pl POL,DF,eng Premier League,26,1997,23.0,56,32,29,21,6,31,43,72.1,12,22,8,14,23,79,70,2,Matty CashAston Villa
Brighton,Eiran Cashin,503,ie IRL,DF,eng Premier League,22,2001,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,0,Eiran CashinBrighton
Le Havre,Josue Casimir,504,fr FRA,"FW,MF",fr Ligue 1,22,2001,22.2,37,26,15,15,7,9,18,50.0,9,19,0,19,7,44,35,1,Josue CasimirLe Havre
Atalanta,Federico Cassa,505,it ITA,"MF,FW",it Serie A,18,2006,0.2,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Federico CassaAtalanta
Toulouse,Cristian Casseres Jr.,506,ve VEN,MF,fr Ligue 1,24,2000,30.0,96,61,41,43,12,46,88,52.3,42,35,9,26,42,138,36,1,Cristian Casseres Jr.Toulouse
Fulham,Timothy Castagne,507,be BEL,DF,eng Premier League,28,1995,18.3,46,29,28,15,3,26,45,57.8,19,15,6,9,22,68,83,0,Timothy CastagneFulham
Lazio,Valentin Castellanos,508,ar ARG,FW,it Serie A,25,1998,26.5,13,6,2,4,7,1,10,10.0,9,18,2,16,6,19,25,0,Valentin CastellanosLazio
Nantes,Jean-Charles Castelletto,509,cm CMR,"DF,MF",fr Ligue 1,29,1995,29.1,34,17,17,15,2,17,27,63.0,10,27,18,9,25,59,151,0,Jean-Charles CastellettoNantes
Bologna,Santiago Castro,510,ar ARG,FW,it Serie A,19,2004,25.5,18,10,4,9,5,6,17,35.3,11,13,2,11,3,21,20,0,Santiago CastroBologna
