Squad,Player,Rk,Nation,Pos,Comp,Age,Born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,PlSqu
Milan,Tammy Abraham,19,eng ENG,FW,it Serie A,26,1997,13.1,17,11,2,10,5,6,8,75.0,2,13,0,13,2,19,16,0,Tammy AbrahamMilan
Genoa,Federico Accornero,20,it ITA,MF,it Serie A,20,2004,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Federico AccorneroGenoa
Inter,Francesco Acerbi,21,it ITA,DF,it Serie A,36,1988,19.0,23,19,16,7,0,11,17,64.7,6,22,16,6,26,49,81,0,Francesco AcerbiInter
Chelsea,Joshua Acheampong,22,eng ENG,DF,eng Premier League,18,2006,1.9,2,1,2,0,0,2,2,100.0,0,1,0,1,1,3,2,0,Joshua AcheampongChelsea
Sevilla,Akor Adams,23,ng NGA,FW,es La Liga,24,2000,1.5,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,Akor AdamsSevilla
Montpellier,Akor Adams,24,ng NGA,FW,fr Ligue 1,24,2000,11.9,4,3,1,2,1,3,4,75.0,1,2,1,1,1,5,5,1,Akor AdamsMontpellier
Torino,Che Adams,25,sct SCO,FW,it Serie A,28,1996,29.5,12,6,2,4,6,1,7,14.3,6,13,6,7,2,14,18,0,Che AdamsTorino
Bournemouth,Tyler Adams,26,us USA,MF,eng Premier League,25,1999,21.8,83,50,26,49,8,39,72,54.2,33,33,10,23,32,115,42,0,Tyler AdamsBournemouth
Freiburg,Junior Adamu,27,at AUT,FW,de Bundesliga,23,2001,17.2,9,3,3,3,3,3,11,27.3,8,14,0,14,12,21,20,0,Junior AdamuFreiburg
Chelsea,Tosin Adarabioyo,28,eng ENG,DF,eng Premier League,26,1997,15.7,17,13,11,6,0,8,12,66.7,4,9,7,2,11,28,80,0,Tosin AdarabioyoChelsea
Reims,Martin Adeline,29,fr FRA,MF,fr Ligue 1,20,2003,0.3,1,1,0,1,0,1,2,50.0,1,0,0,0,0,1,2,0,Martin AdelineReims
Dortmund,Karim Adeyemi,30,de GER,"FW,MF",de Bundesliga,22,2002,15.9,20,14,6,6,8,8,20,40.0,12,14,1,13,7,27,5,0,Karim AdeyemiDortmund
Brighton,Simon Adingra,31,ci CIV,"FW,MF",eng Premier League,22,2002,12.2,23,14,10,8,5,10,26,38.5,16,12,0,12,8,31,6,2,Simon AdingraBrighton
Leverkusen,Amine Adli,32,ma MAR,"MF,FW",de Bundesliga,24,2000,8.5,15,9,4,2,9,4,11,36.4,7,11,0,11,0,15,4,0,Amine AdliLeverkusen
Fiorentina,Yacine Adli,33,fr FRA,MF,it Serie A,24,2000,13.5,32,19,11,16,5,17,39,43.6,22,13,1,12,6,38,19,0,Yacine AdliFiorentina
Betis,Adrian,34,es ESP,GK,es La Liga,37,1987,19.0,0,0,0,0,0,0,3,0.0,3,0,0,0,0,0,14,3,AdrianBetis
Lyon,Adryelson,35,br BRA,DF,fr Ligue 1,26,1998,0.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,AdryelsonLyon
