League,Squad,Player,Nation,Pos,Age,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,PlSqu
EFL Championship,Leeds United,Ethan Ampadu,wls WAL,"DF,MF",23.0,25.4,1996.0,2236.0,89.3,35422.0,11842.0,822.0,872.0,94.3,1000.0,1061.0,94.3,146.0,241.0,60.6,0,1.5,1.4,-1.5,14.0,169.0,15.0,2.0,106.0,Ethan AmpaduLeeds United
EFL Championship,Leeds United,Wilfried Gnonto,it ITA,FW,20.0,25.3,753.0,969.0,77.7,11030.0,2382.0,433.0,513.0,84.4,254.0,305.0,83.3,33.0,59.0,55.9,6,5.7,3.7,0.3,46.0,52.0,44.0,2.0,124.0,Wilfried GnontoLeeds United
EFL Championship,Leeds United,Joe Rothwell,eng ENG,MF,29.0,25.0,1592.0,1863.0,85.5,28043.0,7357.0,707.0,761.0,92.9,690.0,761.0,90.7,161.0,282.0,57.1,4,4.6,5.4,-0.6,61.0,185.0,17.0,2.0,166.0,Joe RothwellLeeds United
EFL Championship,Leeds United,Ilia Gruev,bg BUL,MF,24.0,18.9,1217.0,1405.0,86.6,19207.0,5300.0,633.0,676.0,93.6,506.0,557.0,90.8,49.0,115.0,42.6,2,2.4,2.3,-0.4,32.0,108.0,13.0,0.0,102.0,Ilia GruevLeeds United
EFL Championship,Leeds United,Sam Byram,eng ENG,DF,30.0,15.7,765.0,944.0,81.0,11208.0,3006.0,425.0,468.0,90.8,296.0,366.0,80.9,22.0,56.0,39.3,1,1.0,1.5,0.0,7.0,48.0,13.0,1.0,75.0,Sam ByramLeeds United
EFL Championship,Leeds United,Mateo Joseph,es ESP,FW,20.0,14.3,200.0,265.0,75.5,2493.0,501.0,124.0,152.0,81.6,53.0,62.0,85.5,6.0,11.0,54.5,3,1.9,1.5,1.1,17.0,16.0,11.0,1.0,24.0,Mateo JosephLeeds United
EFL Championship,Leeds United,Largie Ramazani,be BEL,FW,23.0,8.9,187.0,259.0,72.2,2778.0,905.0,115.0,143.0,80.4,57.0,77.0,74.0,10.0,23.0,43.5,2,1.4,1.3,0.6,13.0,20.0,14.0,1.0,38.0,Largie RamazaniLeeds United
EFL Championship,Leeds United,Karl Darlow,wls WAL,GK,33.0,7.0,177.0,231.0,76.6,4205.0,2619.0,47.0,47.0,100.0,89.0,90.0,98.9,40.0,92.0,43.5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Karl DarlowLeeds United
EFL Championship,Leeds United,Maximilian Wober,at AUT,DF,26.0,3.7,151.0,208.0,72.6,2369.0,774.0,82.0,92.0,89.1,60.0,96.0,62.5,6.0,13.0,46.2,0,0.3,0.4,-0.3,3.0,10.0,5.0,1.0,17.0,Maximilian WoberLeeds United
EFL Championship,Leeds United,Georginio Rutter,fr FRA,"MF,FW",22.0,1.0,13.0,24.0,54.2,272.0,113.0,4.0,9.0,44.4,5.0,8.0,62.5,3.0,4.0,75.0,1,0.3,0.2,0.7,3.0,3.0,2.0,0.0,6.0,Georginio RutterLeeds United
EFL Championship,Leeds United,Patrick Bamford,eng ENG,FW,30.0,2.8,36.0,59.0,61.0,403.0,103.0,23.0,34.0,67.6,6.0,11.0,54.5,1.0,2.0,50.0,0,0.2,0.1,-0.2,2.0,4.0,3.0,0.0,7.0,Patrick BamfordLeeds United
EFL Championship,Leeds United,Isaac Schmidt,ch SUI,"FW,DF",24.0,0.9,43.0,56.0,76.8,614.0,193.0,22.0,29.0,75.9,18.0,19.0,94.7,1.0,3.0,33.3,0,0.3,0.0,-0.3,1.0,6.0,0.0,0.0,6.0,Isaac SchmidtLeeds United
EFL Championship,Leeds United,Josuha Guilavogui,fr FRA,"MF,DF",33.0,0.7,91.0,102.0,89.2,1510.0,475.0,42.0,46.0,91.3,38.0,38.0,100.0,9.0,12.0,75.0,0,0.1,0.0,-0.1,1.0,8.0,1.0,0.0,11.0,Josuha GuilavoguiLeeds United
EFL Championship,Leeds United,Samuel Chambers,eng ENG,FW,16.0,0.2,2.0,2.0,100.0,28.0,1.0,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Samuel ChambersLeeds United
EFL Championship,Leeds United,Joe Gelhardt,eng ENG,"FW,MF",22.0,0.1,3.0,6.0,50.0,16.0,3.0,2.0,3.0,66.7,0.0,2.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Joe GelhardtLeeds United
EFL Championship,Leeds United,Charlie Crew,wls WAL,MF,18.0,0.1,5.0,6.0,83.3,57.0,9.0,4.0,4.0,100.0,1.0,1.0,100.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Charlie CrewLeeds United
EFL Championship,Leeds United,Harry Gray,eng ENG,MF,15.0,0.1,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Harry GrayLeeds United
