League,Squad,Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,PlSqu
EFL Championship,Burnley,Luca Koleosho,it ITA,"FW,MF",19.0,18.6,4,0,0,44,15,5,74,7,16,0.0,0.0,0,77.0,4.0,23.0,14.8,Luca KoleoshoBurnley
EFL Championship,Burnley,Lyle Foster,za RSA,FW,23.0,17.7,4,0,0,30,16,6,5,3,13,0.0,0.0,0,52.0,31.0,73.0,29.8,Lyle FosterBurnley
EFL Championship,Burnley,Marcus Edwards,eng ENG,"FW,MF",25.0,10.4,1,0,0,4,24,1,25,5,5,0.0,0.0,0,32.0,2.0,6.0,25.0,Marcus EdwardsBurnley
EFL Championship,Burnley,Jeremy Sarmiento,ec ECU,"FW,MF",22.0,13.0,4,0,0,21,23,0,17,7,21,0.0,0.0,0,45.0,17.0,14.0,54.8,Jeremy SarmientoBurnley
EFL Championship,Burnley,Jay Rodriguez,eng ENG,FW,35.0,8.3,1,0,0,13,2,4,2,2,7,0.0,0.0,0,15.0,18.0,20.0,47.4,Jay RodriguezBurnley
EFL Championship,Burnley,Joe Worrall,eng ENG,DF,27.0,3.2,1,0,0,2,2,0,0,2,2,0.0,0.0,0,10.0,12.0,8.0,60.0,Joe WorrallBurnley
EFL Championship,Burnley,Vitinho,br BRA,"MF,FW",25.0,2.6,0,0,0,5,3,0,5,1,6,0.0,0.0,0,9.0,1.0,3.0,25.0,VitinhoBurnley
EFL Championship,Burnley,Andreas Hountondji,bj BEN,"FW,MF",22.0,2.3,0,0,0,2,1,1,0,1,1,0.0,0.0,0,4.0,1.0,13.0,7.1,Andreas HountondjiBurnley
EFL Championship,Burnley,Dara O'Shea,ie IRL,DF,25.0,2.0,0,0,0,1,1,2,1,3,0,0.0,0.0,0,8.0,4.0,2.0,66.7,Dara O'SheaBurnley
EFL Championship,Burnley,John Egan,ie IRL,DF,31.0,1.8,0,0,0,2,0,0,0,0,1,0.0,0.0,0,3.0,4.0,4.0,50.0,John EganBurnley
EFL Championship,Burnley,Ashley Barnes,eng ENG,"FW,MF",34.0,1.5,1,0,0,3,7,3,1,2,0,0.0,0.0,0,5.0,7.0,13.0,35.0,Ashley BarnesBurnley
EFL Championship,Burnley,Han-Noah Massengo,fr FRA,MF,23.0,1.1,1,0,0,2,1,0,2,1,0,0.0,0.0,0,6.0,1.0,5.0,16.7,Han-Noah MassengoBurnley
EFL Championship,Burnley,Vaclav Hladky,cz CZE,GK,33.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,,Vaclav HladkyBurnley
EFL Championship,Burnley,Wilson Odobert,fr FRA,MF,19.0,1.0,0,0,0,0,1,0,0,0,1,0.0,0.0,0,1.0,0.0,0.0,,Wilson OdobertBurnley
EFL Championship,Burnley,Enock Agyei,be BEL,"FW,MF",19.0,0.6,0,0,0,1,1,0,3,0,0,0.0,0.0,0,2.0,1.0,3.0,25.0,Enock AgyeiBurnley
EFL Championship,Burnley,Benson Manuel,ao ANG,"MF,FW",27.0,0.5,1,0,0,0,3,0,4,0,2,0.0,0.0,0,1.0,0.0,0.0,,Benson ManuelBurnley
EFL Championship,Burnley,Zeki Amdouni,ch SUI,MF,23.0,0.4,0,0,0,1,2,0,0,0,1,0.0,0.0,0,3.0,0.0,0.0,,Zeki AmdouniBurnley
EFL Championship,Burnley,Oliver Sonne,pe PER,DF,23.0,0.3,0,0,0,1,0,0,0,0,0,0.0,1.0,0,0.0,1.0,0.0,100.0,Oliver SonneBurnley
EFL Championship,Burnley,Wout Weghorst,nl NED,FW,31.0,0.3,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,,Wout WeghorstBurnley
EFL Championship,Burnley,Anass Zaroury,ma MAR,"FW,MF",23.0,0.3,0,0,0,0,1,0,2,0,1,0.0,0.0,0,3.0,0.0,0.0,,Anass ZarouryBurnley
EFL Championship,Burnley,Shurandy Sambo,nl NED,MF,22.0,0.2,0,0,0,2,1,0,1,2,0,0.0,0.0,0,0.0,0.0,0.0,,Shurandy SamboBurnley
EFL Championship,Burnley,Johann Berg Gudmundsson,is ISL,MF,33.0,0.2,0,0,0,0,1,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,,Johann Berg GudmundssonBurnley
EFL Championship,Burnley,Nathan Redmond,eng ENG,FW,30.0,0.2,0,0,0,1,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,,Nathan RedmondBurnley
EFL Championship,Burnley,Jonjo Shelvey,eng ENG,"MF,FW",32.0,0.1,0,0,0,0,0,0,0,1,0,0.0,0.0,0,0.0,0.0,0.0,,Jonjo ShelveyBurnley
EFL Championship,Burnley,Aaron Ramsey,eng ENG,MF,21.0,0.1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,,Aaron RamseyBurnley
EFL Championship,Burnley,Luke McNally,ie IRL,"DF,MF",24.0,0.0,0,0,0,1,0,0,0,0,1,0.0,0.0,0,0.0,1.0,2.0,33.3,Luke McNallyBurnley
EFL Championship,Burnley,Opponent Total,,,25.6,46.0,101,5,5,548,514,132,682,393,499,2.0,4.0,3,1729.0,681.0,578.0,54.1,Opponent TotalBurnley
EFL Championship,Sunderland,Luke O'Nien,eng ENG,DF,29.0,43.7,9,0,0,35,51,4,19,45,31,0.0,1.0,2,155.0,71.0,43.0,62.3,Luke O'NienSunderland
EFL Championship,Sunderland,Dan Neil,eng ENG,MF,22.0,43.1,4,1,1,42,53,1,13,47,45,0.0,1.0,0,251.0,34.0,36.0,48.6,Dan NeilSunderland
EFL Championship,Sunderland,Trai Hume,nir NIR,DF,22.0,42.3,11,1,0,43,32,3,139,45,74,0.0,0.0,0,173.0,96.0,71.0,57.5,Trai HumeSunderland
EFL Championship,Sunderland,Anthony Patterson,eng ENG,GK,24.0,42.0,3,0,0,0,8,0,0,0,1,0.0,0.0,2,46.0,6.0,0.0,100.0,Anthony PattersonSunderland
EFL Championship,Sunderland,Jobe Bellingham,eng ENG,MF,18.0,39.0,10,1,0,41,59,2,10,30,41,0.0,0.0,0,221.0,69.0,80.0,46.3,Jobe BellinghamSunderland
EFL Championship,Sunderland,Patrick Roberts,eng ENG,"FW,MF",27.0,36.4,8,0,0,26,38,6,177,19,42,0.0,0.0,0,134.0,8.0,15.0,34.8,Patrick RobertsSunderland
EFL Championship,Sunderland,Chris Mepham,wls WAL,DF,26.0,36.4,10,1,0,40,10,1,0,34,31,0.0,1.0,0,138.0,108.0,62.0,63.5,Chris MephamSunderland
