Squad,Player,Rk,Nation,Pos,Comp,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,PlSqu
Atalanta,Ademola Lookman,1514,ng NGA,"MF,FW",it Serie A,26,1997,25.0,684,944,72.5,9662,2659,436,502,86.9,178,256,69.5,42,96,43.8,5,7.1,7.9,-2.1,61,29,43,13,73,Ademola LookmanAtalanta
Nantes,Anthony Lopes,1515,pt POR,GK,fr Ligue 1,33,1990,17.4,356,547,65.1,10874,8064,45,45,100.0,166,167,99.4,145,335,43.3,0,0.0,0.0,0.0,0,4,0,0,0,Anthony LopesNantes
Mallorca,David Lopez,1516,es ESP,DF,es La Liga,21,2003,1.9,43,53,81.1,763,267,20,20,100.0,21,22,95.5,2,9,22.2,0,0.0,0.0,0.0,0,0,1,0,4,David LopezMallorca
Girona,David Lopez,1517,es ESP,DF,es La Liga,34,1989,27.0,1879,2041,92.1,35775,12404,601,632,95.1,1122,1168,96.1,144,216,66.7,1,0.6,1.3,+0.4,4,145,6,0,132,David LopezGirona
Valencia,Diego Lopez,1518,es ESP,"MF,FW",es La Liga,22,2002,30.4,680,943,72.1,10541,2502,373,457,81.6,251,320,78.4,37,61,60.7,5,5.0,4.7,0.0,38,43,34,9,85,Diego LopezValencia
Celta Vigo,Fer Lopez,1519,,"FW,MF",es La Liga,,,7.5,220,260,84.6,3701,847,107,117,91.5,91,106,85.8,17,22,77.3,0,1.9,1.4,-1.9,14,19,12,0,43,Fer LopezCelta Vigo
Barcelona,Fermin Lopez,1520,es ESP,"MF,FW",es La Liga,21,2003,13.9,552,675,81.8,8398,2128,313,350,89.4,174,210,82.9,37,63,58.7,5,3.9,4.3,+1.1,29,65,20,6,79,Fermin LopezBarcelona
Real Sociedad,Javi Lopez,1521,es ESP,DF,es La Liga,22,2002,21.5,814,1038,78.4,13096,4784,445,487,91.4,304,399,76.2,53,100,53.0,0,0.4,1.0,-0.4,5,49,14,7,73,Javi LopezReal Sociedad
Girona,Pau Lopez,1522,es ESP,GK,es La Liga,29,1994,0.5,18,24,75.0,545,414,2,2,100.0,12,12,100.0,4,10,40.0,0,0.0,0.1,0.0,0,2,1,0,0,Pau LopezGirona
Leganes,Roberto Lopez,1523,es ESP,MF,es La Liga,24,2000,4.4,152,208,73.1,2443,735,81,97,83.5,43,51,84.3,18,39,46.2,1,0.9,0.5,+0.1,10,22,2,1,20,Roberto LopezLeganes
Rayo Vallecano,Unai Lopez,1524,es ESP,MF,es La Liga,28,1995,19.0,1041,1236,84.2,17637,4425,502,547,91.8,439,490,89.6,86,161,53.4,1,1.0,1.3,0.0,19,106,11,2,112,Unai LopezRayo Vallecano
Celta Vigo,Iker Losada,1525,es ESP,"FW,MF",es La Liga,22,2001,4.0,96,128,75.0,1448,366,56,68,82.4,32,41,78.0,5,8,62.5,0,0.3,0.6,-0.3,5,14,6,2,17,Iker LosadaCelta Vigo
Betis,Iker Losada,1526,es ESP,"MF,FW",es La Liga,22,2001,3.7,107,142,75.4,1421,331,73,87,83.9,25,34,73.5,4,8,50.0,0,0.3,0.2,-0.3,6,4,5,1,14,Iker LosadaBetis
Bochum,Anthony Losilla,1527,fr FRA,MF,de Bundesliga,38,1986,12.6,321,419,76.6,5128,1937,145,177,81.9,140,175,80.0,18,38,47.4,0,0.4,0.7,-0.4,7,23,9,3,45,Anthony LosillaBochum
Nice,Jordan Lotomba,1528,ch SUI,"MF,DF",fr Ligue 1,25,1998,0.4,17,21,81.0,249,51,10,10,100.0,7,10,70.0,0,1,0.0,0,0.0,0.0,0.0,0,1,0,0,3,Jordan LotombaNice
Nice,Tom Louchet,1529,fr FRA,"DF,MF",fr Ligue 1,21,2003,8.6,371,454,81.7,5712,2114,219,238,92.0,121,146,82.9,24,46,52.2,0,1.2,1.3,-1.2,14,28,9,2,36,Tom LouchetNice
Udinese,Sandi Lovric,1530,si SVN,MF,it Serie A,26,1998,25.6,749,952,78.7,13335,3733,322,362,89.0,315,383,82.2,87,156,55.8,3,3.4,2.4,-0.4,32,81,21,4,120,Sandi LovricUdinese
Espanyol,Pol Lozano,1531,es ESP,MF,es La Liga,24,1999,21.6,694,828,83.8,12350,4139,293,329,89.1,317,365,86.8,67,94,71.3,1,0.8,1.0,+0.2,17,95,11,4,115,Pol LozanoEspanyol
Udinese,Lorenzo Lucca,1532,it ITA,FW,it Serie A,23,2000,26.1,240,375,64.0,3772,404,112,182,61.5,89,117,76.1,20,27,74.1,1,1.6,0.8,-0.6,14,17,1,0,18,Lorenzo LuccaUdinese
Bologna,Jhon Lucumi,1533,co COL,DF,it Serie A,26,1998,29.0,1859,2040,91.1,35721,10917,655,694,94.4,971,1017,95.5,207,285,72.6,1,0.4,0.7,+0.6,8,112,0,0,108,Jhon LucumiBologna
Dortmund,Yannik Luhrs,1534,de GER,DF,de Bundesliga,20,2003,1.4,152,166,91.6,2551,603,58,62,93.5,88,92,95.7,5,7,71.4,0,0.0,0.0,0.0,1,5,0,0,1,Yannik LuhrsDortmund
Valencia,Jose Luis Gaya,1535,es ESP,DF,es La Liga,29,1995,20.0,775,996,77.8,13655,4068,355,396,89.6,339,404,83.9,73,153,47.7,1,2.6,3.2,-1.6,24,44,31,23,59,Jose Luis GayaValencia
Cagliari,Jose Luis Palomino,1536,ar ARG,DF,it Serie A,34,1990,12.0,508,586,86.7,9656,3667,172,187,92.0,277,299,92.6,49,77,63.6,0,0.0,0.2,0.0,1,32,2,0,35,Jose Luis PalominoCagliari
Juventus,Douglas Luiz,1537,br BRA,MF,it Serie A,26,1998,5.9,379,438,86.5,6855,1625,177,194,91.2,146,163,89.6,50,72,69.4,0,1.0,1.3,-1.0,15,19,9,1,35,Douglas LuizJuventus
Napoli,Romelu Lukaku,1538,be BEL,FW,it Serie A,31,1993,31.6,353,497,71.0,4407,659,215,272,79.0,92,128,71.9,11,19,57.9,10,4.0,2.6,+6.0,35,15,11,1,36,Romelu LukakuNapoli
RB Leipzig,Castello Lukeba,1539,fr FRA,DF,de Bundesliga,21,2002,17.5,1054,1238,85.1,17686,7070,486,530,91.7,504,568,88.7,53,98,54.1,0,0.2,0.5,-0.2,4,90,7,1,80,Castello LukebaRB Leipzig
Sevilla,Dodi Lukebakio,1540,be BEL,FW,es La Liga,26,1997,34.4,780,1052,74.1,12204,2657,464,529,87.7,229,307,74.6,68,151,45.0,2,4.5,4.0,-2.5,54,50,24,6,93,Dodi LukebakioSevilla
Fulham,Sasa Lukic,1541,rs SRB,MF,eng Premier League,27,1996,26.0,1100,1260,87.3,18730,4635,519,565,91.9,477,521,91.6,91,129,70.5,2,2.7,1.4,-0.7,26,104,17,7,98,Sasa LukicFulham
Strasbourg,Milos Lukovic,1542,rs SRB,"FW,MF",fr Ligue 1,18,2005,0.1,2,3,66.7,43,0,0,0,,2,3,66.7,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Milos LukovicStrasbourg
Southampton,Joe Lumley,1543,eng ENG,GK,eng Premier League,29,1995,3.0,106,151,70.2,2342,1476,42,44,95.5,42,46,91.3,21,59,35.6,0,0.0,0.0,0.0,0,2,0,0,0,Joe LumleySouthampton
Mallorca,Daniel Luna,1544,co COL,MF,es La Liga,21,2003,0.2,8,13,61.5,88,16,5,6,83.3,2,5,40.0,0,1,0.0,0,0.0,0.0,0.0,0,1,0,0,0,Daniel LunaMallorca
Real Madrid,Andriy Lunin,1545,ua UKR,GK,es La Liga,25,1999,7.0,174,202,86.1,4252,2741,46,47,97.9,82,82,100.0,45,70,64.3,1,0.9,0.0,+0.1,1,1,0,0,0,Andriy LuninReal Madrid
Ipswich Town,Massimo Luongo,1546,au AUS,MF,eng Premier League,31,1992,2.2,50,66,75.8,722,183,30,34,88.2,15,20,75.0,3,8,37.5,0,0.0,0.0,0.0,0,1,0,0,6,Massimo LuongoIpswich Town
Cagliari,Sebastiano Luperto,1547,it ITA,DF,it Serie A,27,1996,36.0,1315,1568,83.9,24675,8234,432,470,91.9,778,856,90.9,95,207,45.9,3,1.3,0.8,+1.7,8,87,6,1,96,Sebastiano LupertoCagliari
Cagliari,Zito Luvumbo,1548,ao ANG,"FW,MF",it Serie A,22,2002,17.8,181,302,59.9,2768,863,104,138,75.4,59,104,56.7,12,28,42.9,2,3.1,2.1,-1.1,17,16,13,8,31,Zito LuvumboCagliari
Bologna,Charalambos Lykogiannis,1549,gr GRE,DF,it Serie A,30,1993,11.6,504,706,71.4,9875,3209,194,224,86.6,245,319,76.8,59,134,44.0,4,1.6,2.1,+2.4,19,43,13,12,49,Charalambos LykogiannisBologna
Werder Bremen,Senne Lynen,1550,be BEL,MF,de Bundesliga,25,1999,30.4,1099,1326,82.9,17538,5076,518,582,89.0,476,557,85.5,62,109,56.9,1,0.6,1.1,+0.4,8,81,15,1,91,Senne LynenWerder Bremen
Parma,Mathias Lovik,1551,no NOR,"DF,FW",it Serie A,20,2003,1.0,40,54,74.1,663,123,16,20,80.0,19,23,82.6,3,6,50.0,0,0.1,0.0,-0.1,1,1,1,0,1,Mathias LovikParma
Montpellier,Othmane Maamma,1552,ma MAR,"FW,MF",fr Ligue 1,18,2005,4.0,51,78,65.4,657,162,38,51,74.5,9,16,56.3,3,7,42.9,1,0.2,0.5,+0.8,3,2,2,1,2,Othmane MaammaMontpellier
Aston Villa,Ian Maatsen,1553,nl NED,DF,eng Premier League,22,2002,12.7,609,747,81.5,9635,2492,307,346,88.7,263,309,85.1,26,52,50.0,2,2.7,2.4,-0.7,19,22,19,3,50,Ian MaatsenAston Villa
Liverpool,Alexis Mac Allister,1554,ar ARG,MF,eng Premier League,25,1998,28.9,1273,1524,83.5,20344,5748,658,729,90.3,493,558,88.4,89,160,55.6,5,4.7,5.6,+0.3,45,122,35,2,177,Alexis Mac AllisterLiverpool
Lens,Deiver Machado,1555,co COL,"DF,MF",fr Ligue 1,30,1993,20.1,763,913,83.6,10421,3399,470,505,93.1,221,279,79.2,32,57,56.1,4,2.1,2.9,+1.9,20,30,19,15,45,Deiver MachadoLens
Angers,Lanroy Machine,1556,fr FRA,FW,fr Ligue 1,18,2005,0.1,3,5,60.0,39,12,2,3,66.7,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Lanroy MachineAngers
Holstein Kiel,Shuto Machino,1557,jp JPN,"FW,MF",de Bundesliga,24,1999,21.7,454,707,64.2,8004,2740,212,266,79.7,180,247,72.9,52,137,38.0,2,3.0,2.6,-1.0,27,35,20,6,59,Shuto MachinoHolstein Kiel
Valladolid,Darwin Machis,1558,ve VEN,"MF,FW",es La Liga,31,1993,7.1,160,268,59.7,2925,865,74,88,84.1,56,89,62.9,23,69,33.3,1,0.5,0.9,+0.5,8,17,5,4,19,Darwin MachisValladolid
Saint-Etienne,Yvann Macon,1559,fr FRA,DF,fr Ligue 1,25,1998,8.8,301,408,73.8,4965,1708,157,186,84.4,115,152,75.7,24,53,45.3,0,0.2,0.3,-0.2,6,30,7,0,46,Yvann MaconSaint-Etienne
Tottenham,James Maddison,1560,eng ENG,MF,eng Premier League,27,1996,20.1,1021,1256,81.3,16664,5028,481,529,90.9,424,492,86.2,75,162,46.3,7,4.2,5.9,+2.8,41,123,32,5,164,James MaddisonTottenham
Auxerre,Eros Maddy,1561,nl NED,DF,fr Ligue 1,23,2001,0.2,6,6,100.0,67,22,5,5,100.0,1,1,100.0,0,0,,0,0.1,0.0,-0.1,1,0,0,0,1,Eros MaddyAuxerre
Chelsea,Noni Madueke,1562,eng ENG,FW,eng Premier League,22,2002,22.6,530,685,77.4,7705,1853,325,377,86.2,164,215,76.3,22,41,53.7,3,4.2,3.2,-1.2,32,16,35,8,69,Noni MaduekeChelsea
Mallorca,Pablo Maffeo,1563,es ESP,DF,es La Liga,27,1997,26.3,736,1039,70.8,12522,5186,376,417,90.2,267,374,71.4,81,190,42.6,2,4.1,3.5,-2.1,29,49,34,25,74,Pablo MaffeoMallorca
Arsenal,Gabriel Magalhaes,1564,br BRA,DF,eng Premier League,26,1997,26.3,1480,1641,90.2,25788,7938,598,617,96.9,782,830,94.2,83,154,53.9,1,0.9,1.2,+0.1,13,145,8,0,126,Gabriel MagalhaesArsenal
Monaco,Soungoutou Magassa,1565,fr FRA,MF,fr Ligue 1,20,2003,11.4,540,638,84.6,9268,2731,250,280,89.3,238,261,91.2,39,63,61.9,1,0.9,0.7,+0.1,7,67,10,2,63,Soungoutou MagassaMonaco
Brentford,Edmond-Paris Maghoma,1566,eng ENG,"MF,FW",eng Premier League,23,2001,1.3,76,84,90.5,1259,343,38,40,95.0,29,31,93.5,6,7,85.7,0,0.1,0.0,-0.1,1,2,0,0,13,Edmond-Paris MaghomaBrentford
Hellas Verona,Giangiacomo Magnani,1567,it ITA,DF,it Serie A,28,1995,11.8,317,393,80.7,6348,2269,100,119,84.0,184,201,91.5,32,67,47.8,0,0.0,0.1,0.0,1,22,0,0,31,Giangiacomo MagnaniHellas Verona
Brest,Hugo Magnetti,1568,fr FRA,MF,fr Ligue 1,26,1998,25.8,920,1083,84.9,14889,3635,458,506,90.5,390,442,88.2,52,86,60.5,0,0.4,0.7,-0.4,6,70,6,1,80,Hugo MagnettiBrest
Toulouse,Frank Magri,1569,cm CMR,"FW,MF",fr Ligue 1,24,1999,16.8,178,251,70.9,2361,438,103,133,77.4,55,71,77.5,5,13,38.5,1,1.5,1.9,-0.5,9,15,7,1,25,Frank MagriToulouse
Manchester Utd,Harry Maguire,1570,eng ENG,DF,eng Premier League,31,1993,19.5,965,1128,85.5,17965,6236,354,392,90.3,517,568,91.0,80,139,57.6,0,0.6,0.3,-0.6,9,48,4,0,51,Harry MaguireManchester Utd
Real Sociedad,Jon Magunazelaia,1571,es ESP,MF,es La Liga,23,2001,0.1,7,13,53.8,117,30,3,7,42.9,4,4,100.0,0,0,,0,0.0,0.1,0.0,0,0,0,0,1,Jon MagunazelaiaReal Sociedad
Augsburg,Arne Maier,1572,de GER,MF,de Bundesliga,25,1999,10.4,450,588,76.5,7914,2094,204,238,85.7,183,218,83.9,52,95,54.7,0,1.5,2.6,-1.5,25,40,10,3,44,Arne MaierAugsburg
Milan,Mike Maignan,1573,fr FRA,GK,it Serie A,29,1995,36.6,1338,1553,86.2,33388,21322,220,224,98.2,785,789,99.5,329,532,61.8,0,0.8,0.2,-0.8,5,19,0,0,4,Mike MaignanMilan
Heidenheim,Patrick Mainka,1574,de GER,DF,de Bundesliga,29,1994,34.0,1425,1669,85.4,28334,12007,435,491,88.6,834,911,91.5,145,227,63.9,1,0.3,0.7,+0.7,7,88,5,0,102,Patrick MainkaHeidenheim
Manchester Utd,Kobbie Mainoo,1575,eng ENG,MF,eng Premier League,19,2005,18.3,723,836,86.5,9649,2346,452,490,92.2,192,219,87.7,31,45,68.9,0,1.6,1.8,-1.6,14,50,12,1,65,Kobbie MainooManchester Utd
Lyon,Ainsley Maitland-Niles,1576,eng ENG,DF,fr Ligue 1,26,1997,22.1,1049,1234,85.0,16150,5054,575,626,91.9,386,444,86.9,61,97,62.9,4,3.4,3.2,+0.6,27,66,30,7,102,Ainsley Maitland-NilesLyon
Monaco,Radoslaw Majecki,1577,pl POL,GK,fr Ligue 1,24,1999,15.0,304,407,74.7,7178,5015,68,68,100.0,172,172,100.0,61,164,37.2,0,0.0,0.0,0.0,0,1,0,0,1,Radoslaw MajeckiMonaco
Wolfsburg,Lovro Majer,1578,hr CRO,MF,de Bundesliga,26,1998,3.4,98,141,69.5,1511,571,58,67,86.6,31,46,67.4,6,19,31.6,1,1.1,0.8,-0.1,8,13,3,0,17,Lovro MajerWolfsburg
Brest,Hamidou Makalou,1579,ml MLI,"FW,MF",fr Ligue 1,18,2006,0.4,17,18,94.4,211,58,10,10,100.0,6,6,100.0,0,1,0.0,0,0.0,0.0,0.0,0,3,0,0,2,Hamidou MakalouBrest
Freiburg,Jordy Makengo,1580,fr FRA,DF,de Bundesliga,22,2001,8.3,242,306,79.1,3945,879,110,123,89.4,109,136,80.1,15,32,46.9,0,0.2,0.5,-0.2,2,12,5,5,15,Jordy MakengoFreiburg
Cagliari,Antoine Makoumbou,1581,cg CGO,MF,it Serie A,26,1998,23.9,1051,1183,88.8,16948,4056,511,539,94.8,462,504,91.7,55,94,58.5,3,0.9,1.0,+2.1,8,70,14,3,92,Antoine MakoumbouCagliari
Montpellier,Nikola Maksimovic,1582,rs SRB,DF,fr Ligue 1,32,1991,6.5,288,310,92.9,5904,1883,77,82,93.9,172,177,97.2,36,46,78.3,0,0.0,0.1,0.0,2,12,2,0,11,Nikola MaksimovicMontpellier
Manchester Utd,Tyrell Malacia,1583,nl NED,DF,eng Premier League,24,1999,1.1,49,55,89.1,642,260,31,33,93.9,13,14,92.9,2,2,100.0,0,0.0,0.0,0.0,1,7,1,0,3,Tyrell MalaciaManchester Utd
Stuttgart,Jarzinho Malanga,1584,de GER,DF,de Bundesliga,18,2006,0.0,2,2,100.0,25,0,2,2,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Jarzinho MalangaStuttgart
Werder Bremen,Julian Malatini,1585,ar ARG,DF,de Bundesliga,23,2001,5.0,261,302,86.4,4349,1255,111,120,92.5,133,144,92.4,12,28,42.9,1,0.5,0.5,+0.5,2,13,4,1,24,Julian MalatiniWerder Bremen
Monza,Daniel Maldini,1586,it ITA,"MF,FW",it Serie A,22,2001,14.5,261,382,68.3,4254,837,135,172,78.5,96,133,72.2,22,43,51.2,0,0.9,1.1,-0.9,12,14,8,2,34,Daniel MaldiniMonza
Atalanta,Daniel Maldini,1587,it ITA,"FW,MF",it Serie A,22,2001,2.9,61,97,62.9,788,163,43,57,75.4,13,19,68.4,3,9,33.3,0,0.2,0.3,-0.2,3,3,1,0,7,Daniel MaldiniAtalanta
Empoli,Youssef Maleh,1588,ma MAR,MF,it Serie A,25,1998,16.8,398,560,71.1,6528,2261,194,240,80.8,145,196,74.0,36,74,48.6,1,0.9,0.4,+0.1,12,62,11,2,72,Youssef MalehEmpoli
Aston Villa,Donyell Malen,1589,nl NED,FW,eng Premier League,25,1999,3.4,53,77,68.8,712,144,33,40,82.5,14,19,73.7,3,7,42.9,0,0.2,0.2,-0.2,3,2,2,0,6,Donyell MalenAston Villa
Dortmund,Donyell Malen,1590,nl NED,"FW,MF",de Bundesliga,25,1999,6.8,136,190,71.6,1735,423,98,119,82.4,33,46,71.7,3,9,33.3,0,0.2,0.5,-0.2,1,6,6,1,17,Donyell MalenDortmund
Genoa,Ruslan Malinovskyi,1591,ua UKR,"MF,FW",it Serie A,31,1993,4.3,164,201,81.6,2906,846,82,94,87.2,62,73,84.9,18,28,64.3,2,1.5,0.7,+0.5,8,22,9,0,32,Ruslan MalinovskyiGenoa
Heidenheim,Lennard Maloney,1592,us USA,MF,de Bundesliga,24,1999,8.4,194,271,71.6,3751,1219,72,90,80.0,95,114,83.3,24,52,46.2,0,0.0,0.1,0.0,1,12,1,0,14,Lennard MaloneyHeidenheim
Mainz 05,Lennard Maloney,1593,us USA,MF,de Bundesliga,24,1999,0.3,8,14,57.1,115,58,4,6,66.7,2,4,50.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0,Lennard MaloneyMainz 05
Lille,Aaron Malouda,1594,fr FRA,FW,fr Ligue 1,18,2005,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Aaron MaloudaLille
Valencia,Giorgi Mamardashvili,1595,ge GEO,GK,es La Liga,23,2000,34.0,732,1080,67.8,20581,15111,131,131,100.0,393,398,98.7,208,548,38.0,0,0.1,0.1,-0.1,2,11,1,0,0,Giorgi MamardashviliValencia
Parma,Dennis Man,1596,ro ROU,"FW,MF",it Serie A,25,1998,22.2,631,793,79.6,8923,2252,397,464,85.6,167,200,83.5,39,66,59.1,4,4.2,2.7,-0.2,45,46,25,5,60,Dennis ManParma
Brest,Hianga Mananga Mbock,1597,fr FRA,MF,fr Ligue 1,24,1999,0.2,14,17,82.4,232,77,8,9,88.9,6,7,85.7,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Hianga Mananga MbockBrest
Roma,Gianluca Mancini,1598,it ITA,DF,it Serie A,28,1996,34.9,1689,1965,86.0,31192,10669,625,675,92.6,897,973,92.2,142,259,54.8,0,0.9,0.8,-0.9,14,138,17,4,139,Gianluca ManciniRoma
Rennes,Steve Mandanda,1599,fr FRA,GK,fr Ligue 1,39,1985,16.5,353,499,70.7,9384,6967,67,67,100.0,179,185,96.8,106,245,43.3,0,0.1,0.0,-0.1,2,8,0,0,0,Steve MandandaRennes
Lazio,Christos Mandas,1600,gr GRE,GK,it Serie A,22,2001,9.0,240,335,71.6,6911,4716,39,40,97.5,101,103,98.1,98,187,52.4,0,0.0,0.0,0.0,0,11,1,0,3,Christos MandasLazio
Atletico Madrid,Reinildo Mandava,1601,mz MOZ,DF,es La Liga,30,1994,10.5,515,612,84.2,7852,2969,284,302,94.0,204,247,82.6,20,45,44.4,0,0.1,0.2,-0.1,2,24,2,0,34,Reinildo MandavaAtletico Madrid
Lille,Aissa Mandi,1602,dz ALG,DF,fr Ligue 1,32,1991,19.3,1104,1244,88.7,22008,6980,366,396,92.4,590,631,93.5,136,181,75.1,0,0.4,1.2,-0.4,5,107,6,2,82,Aissa MandiLille
Fiorentina,Rolando Mandragora,1603,it ITA,MF,it Serie A,27,1997,21.5,724,931,77.8,13418,4153,283,323,87.6,349,411,84.9,83,155,53.5,3,4.8,2.7,-1.8,31,69,16,7,92,Rolando MandragoraFiorentina
Wolves,Mateus Mane,1604,,MF,eng Premier League,,,0.0,4,5,80.0,60,0,3,4,75.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Mateus ManeWolves
Everton,Orel Mangala,1605,be BEL,MF,eng Premier League,26,1998,14.0,437,490,89.2,6998,1567,219,242,90.5,187,197,94.9,23,30,76.7,0,0.6,0.6,-0.6,8,50,8,1,34,Orel MangalaEverton
Lyon,Orel Mangala,1606,be BEL,MF,fr Ligue 1,26,1998,0.7,29,32,90.6,535,176,10,10,100.0,11,11,100.0,6,6,100.0,0,0.0,0.1,0.0,1,5,0,0,7,Orel MangalaLyon
Southampton,Ryan Manning,1607,ie IRL,"DF,MF",eng Premier League,28,1996,16.2,619,803,77.1,10360,3336,317,344,92.2,233,288,80.9,55,125,44.0,1,3.2,2.8,-2.2,34,33,12,8,35,Ryan ManningSouthampton
Celta Vigo,Javier Manquillo,1608,es ESP,DF,es La Liga,30,1994,5.7,335,373,89.8,5537,1582,156,169,92.3,163,172,94.8,13,23,56.5,0,0.0,0.1,0.0,0,22,2,0,24,Javier ManquilloCelta Vigo
Freiburg,Johan Manzambi,1609,ch SUI,"FW,MF",de Bundesliga,18,2005,3.7,108,143,75.5,1826,276,48,60,80.0,54,62,87.1,6,16,37.5,1,0.4,0.6,+0.6,3,6,3,0,10,Johan ManzambiFreiburg
Atalanta,Alberto Manzoni,1610,it ITA,MF,it Serie A,19,2005,0.1,11,12,91.7,196,29,5,6,83.3,6,6,100.0,0,0,,0,0.0,0.0,0.0,0,4,0,0,0,Alberto ManzoniAtalanta
Strasbourg,Sekou Mara,1611,fr FRA,"FW,MF",fr Ligue 1,22,2002,8.5,128,185,69.2,1759,307,74,95,77.9,45,62,72.6,2,5,40.0,1,1.0,0.5,0.0,5,9,2,0,11,Sekou MaraStrasbourg
Genoa,Alessandro Marcandalli,1612,it ITA,DF,it Serie A,21,2002,0.5,12,20,60.0,236,47,3,4,75.0,8,13,61.5,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,1,Alessandro MarcandalliGenoa
Venezia,Alessandro Marcandalli,1613,it ITA,DF,it Serie A,21,2002,3.9,110,150,73.3,1891,791,47,55,85.5,54,69,78.3,6,19,31.6,0,0.0,0.0,0.0,0,10,0,0,10,Alessandro MarcandalliVenezia
Sevilla,Marcao,1614,br BRA,DF,es La Liga,28,1996,6.1,284,315,90.2,5073,2049,122,125,97.6,136,146,93.2,25,37,67.6,0,0.0,0.1,0.0,0,14,0,0,19,MarcaoSevilla
Brighton,Solly March,1615,eng ENG,"FW,MF",eng Premier League,30,1994,1.9,60,95,63.2,990,222,35,40,87.5,16,28,57.1,7,18,38.9,0,0.3,0.3,-0.3,3,2,4,4,2,Solly MarchBrighton
Lecce,Filip Marchwinski,1616,pl POL,MF,it Serie A,22,2002,0.2,4,5,80.0,60,6,2,3,66.7,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Filip MarchwinskiLecce
Athletic Club,Oscar de Marcos,1617,es ESP,DF,es La Liga,35,1989,17.4,800,1010,79.2,14337,5393,358,405,88.4,355,424,83.7,84,142,59.2,4,2.6,2.2,+1.4,19,101,25,16,102,Oscar de MarcosAthletic Club
Valencia,Alberto Mari,1618,es ESP,FW,es La Liga,23,2001,0.1,2,4,50.0,33,7,1,1,100.0,1,1,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,1,Alberto MariValencia
Monza,Pablo Mari,1619,es ESP,DF,it Serie A,30,1993,18.1,997,1112,89.7,19296,6940,319,334,95.5,556,585,95.0,108,168,64.3,0,0.1,0.1,-0.1,3,50,0,0,58,Pablo MariMonza
Fiorentina,Pablo Mari,1620,es ESP,DF,it Serie A,30,1993,12.2,565,619,91.3,10152,3710,200,211,94.8,330,341,96.8,33,57,57.9,0,0.0,0.1,0.0,0,31,0,0,27,Pablo MariFiorentina
Atletico Madrid,Jose Maria Gimenez,1621,uy URU,DF,es La Liga,29,1995,22.2,1250,1362,91.8,25411,9603,366,388,94.3,707,738,95.8,162,214,75.7,1,0.2,0.3,+0.8,2,61,0,0,64,Jose Maria GimenezAtletico Madrid
Empoli,Luca Marianucci,1622,it ITA,DF,it Serie A,20,2004,11.9,354,461,76.8,7473,3116,109,125,87.2,174,202,86.1,64,118,54.2,0,0.2,0.2,-0.2,3,29,2,1,28,Luca MarianucciEmpoli
Monza,Mirko Maric,1623,hr CRO,"FW,MF",it Serie A,29,1995,1.2,26,41,63.4,384,111,15,26,57.7,11,12,91.7,0,0,,0,0.0,0.1,0.0,1,1,3,1,3,Mirko MaricMonza
Venezia,Mirko Maric,1624,hr CRO,FW,it Serie A,29,1995,4.0,85,114,74.6,1122,251,46,62,74.2,28,32,87.5,2,4,50.0,0,0.0,0.1,0.0,2,9,1,0,9,Mirko MaricVenezia
Real Sociedad,Arkaitz Mariezkurrena,1625,es ESP,"FW,MF",es La Liga,19,2005,2.7,47,68,69.1,662,125,33,42,78.6,12,14,85.7,1,4,25.0,0,0.1,0.2,-0.1,2,1,4,1,4,Arkaitz MariezkurrenaReal Sociedad
Napoli,Rafa Marin,1626,es ESP,DF,it Serie A,22,2002,1.6,115,118,97.5,2493,903,33,34,97.1,58,59,98.3,24,25,96.0,0,0.0,0.0,0.0,0,4,0,0,5,Rafa MarinNapoli
Real Sociedad,Pablo Marin,1627,es ESP,MF,es La Liga,21,2003,13.8,374,467,80.1,5952,1090,173,209,82.8,165,195,84.6,23,35,65.7,2,1.0,0.8,+1.0,14,38,9,2,45,Pablo MarinReal Sociedad
Cagliari,Razvan Marin,1628,ro ROU,MF,it Serie A,28,1996,15.6,564,741,76.1,10324,3201,258,295,87.5,227,267,85.0,71,151,47.0,2,3.6,3.5,-1.6,34,56,20,2,84,Razvan MarinCagliari
Torino,Guillermo Maripan,1629,cl CHI,DF,it Serie A,30,1994,26.0,1151,1333,86.3,23605,8277,297,344,86.3,724,772,93.8,126,191,66.0,1,1.0,0.9,0.0,5,79,5,0,96,Guillermo MaripanTorino
